Pair,Feature A,Feature B,LR statistic,Interaction p,Interaction OR,p_fdr_bh
LV × eGFR,LV,eGFR,9.812778798151044,0.001733034551976422,1.2448330302021036,0.027728552831622753
Men × eGFR,Men,eGFR,8.52728192699999,0.0034986180807518694,0.3418070759353077,0.027988944646014955
WBC × eGFR,WBC,eGFR,2.6485021943858555,0.10364751339154238,1.125265045275733,0.552786738088226
Current smoker × DAPT,Current smoker,DAPT,2.073823992395546,0.1498453967584968,1.8607144981666388,0.5993815870339873
Aspirin × Clopidogrel,Aspirin,Clopidogrel,1.4936631466591734,0.22164897065953426,2.9665203959258784,0.622666705517505
Diabetes × HbA1c,Diabetes,HbA1c,1.2483373861663267,0.2638702652372131,0.7869669512145435,0.622666705517505
Men × Previous PCI,Men,Previous PCI,1.1943333546705617,0.27445720679098523,0.44201724749144305,0.622666705517505
LV × Previous PCI,LV,Previous PCI,0.9638518430396061,0.32621831295438125,0.7861049772568822,0.622666705517505
LV × Men,LV,Men,0.8725511048855878,0.35025002185359655,1.1747648534873376,0.622666705517505
DAPT × Diabetes,DAPT,Diabetes,0.4276905802200872,0.5131243265265082,1.488708686445323,0.8209989224424131
No.of stents per lesion × Total stent length,No.of stents per lesion,Total stent length,0.2969804657810755,0.5857816191670562,0.976689144873264,0.8225184269957744
Previous PCI × eGFR,Previous PCI,eGFR,0.18556969675455548,0.6666297878582128,1.1908614869646468,0.8225184269957744
1.1:1Post dilation × Men,1.1:1Post dilation,Men,0.13072090851039775,0.7176857442639202,0.7858765905138896,0.8225184269957744
1.1:1Post dilation × Previous PCI,1.1:1Post dilation,Previous PCI,0.12877685494231628,0.7197036236213026,1.4576673946129612,0.8225184269957744
1.1:1Post dilation × LV,1.1:1Post dilation,LV,0.019947392476979076,0.8876841091082037,0.9739554187932585,0.912324578056364
1.1:1Post dilation × eGFR,1.1:1Post dilation,eGFR,0.012123534416900839,0.912324578056364,0.9787012530173712,0.912324578056364
