Feature,logOR,SE,Wald_p,OR,OR_lo,OR_hi,OR_lo_boot,OR_hi_boot,Univariate OR,Domain,n,events
Age,-0.013639884918701174,0.12260329353992881,0.9114163667504646,0.9864527168078393,0.7757399548865828,1.25440098369026,0.7559501565391009,1.2681575401644256,1.0923482212318067,Demographics / lifestyle,5185,92
WBC,0.6673153751036248,0.08867626478073087,5.259995717231046e-14,1.9489979624739788,1.6380607781658465,2.318957335625266,1.6879587774960894,2.3264044107287654,2.089663136414745,Laboratory,5185,92
eGFR,-0.9821089351909137,0.14564750356366318,1.550918729157784e-11,0.37452042609933717,0.28151408514534165,0.4982541086468621,0.28813731199537984,0.457728669964571,0.4693078640446345,Laboratory,5185,92
LV,0.970721802918732,0.11521239481412869,3.5921909769747145e-17,2.639849222713545,2.1062511445194914,3.3086291427279595,2.144940068377016,3.4351428585920845,2.0979784014799367,Cardiac function,5185,92
LVEF,0.5840284080274971,0.10011389399731462,5.423109111048219e-09,1.7932478337608502,1.4737479493833154,2.1820134132390794,1.5358655070682083,2.1690776709634654,0.8863246831507197,Cardiac function,5185,92
No.of stents per lesion,0.5269524683187246,0.09134428157308588,7.980907177977285e-09,1.6937626399493044,1.416120324005843,2.025839070208981,1.4306757593187207,2.0404791253597123,1.3832887538492473,Procedural / stent,5185,92
Men,1.0919086887553062,0.30356622931946314,0.0003219860759939476,2.9799564572673383,1.6436671495639268,5.402639147205231,1.6434653946871869,6.343594511678172,1.2855856198332607,Demographics / lifestyle,5185,92
Current smoker,0.18973991036016974,0.2514307220963956,0.4504644666890759,1.2089351252622107,0.7385582902258647,1.9788879990038375,0.7239607536327824,2.126418673169646,1.105299000946615,Demographics / lifestyle,5185,92
Current drinking,0.1776394382806845,0.3477596062325247,0.6094833937090318,1.1943945906198465,0.6041354415474964,2.3613553186811256,0.51633958784471,2.2750653586548184,0.9812450570557,Demographics / lifestyle,5185,92
1.1:1Post dilation,-1.8929491542935646,0.32131730819561255,3.833677644077293e-09,0.15062693109170394,0.08024109362747044,0.28275377795122125,0.0653541143349858,0.26432892541251773,0.1921862582137285,Procedural / stent,5185,92
Previous PCI,2.0272132316916998,0.44707060095783224,5.775748637718747e-06,7.592897202566224,3.1612608629133945,18.237054905872668,2.0031276157770863,18.27301069087745,6.733333333333333,Comorbidities / history,5185,92
Diabetes,0.41616129963596177,0.2464389381365676,0.0912770408330667,1.516130400430273,0.935335356917811,2.457569228093283,0.859896230327708,2.5974401901954036,1.8980983884706035,Comorbidities / history,5185,92
