Feature,logOR,SE,Wald_p,OR,OR_lo,OR_hi,OR_lo_boot,OR_hi_boot,Domain model,n,events,pseudo_R2,LR_vs_null,LR_p
Age,0.12369492165693044,0.10774628041814538,0.2509601664893373,1.1316705701475063,0.9162336160851208,1.3977639074301365,0.8886193953778453,1.4368344381311933,Demographics / lifestyle,5185,92,0.0030863325793580865,2.852380488277845,0.5828251698239794
Men,0.32381519912512624,0.24955796864897303,0.19444028138312486,1.382391816295673,0.8476313796704295,2.254526176820253,0.8689263876085664,2.392969713084051,Demographics / lifestyle,5185,92,0.0030863325793580865,2.852380488277845,0.5828251698239794
Current smoker,0.09962986089702623,0.22103842694403017,0.6521802094912335,1.1047619267998998,0.7163420553859383,1.7037934681205724,0.728434026537741,1.7380147107861026,Demographics / lifestyle,5185,92,0.0030863325793580865,2.852380488277845,0.5828251698239794
Current drinking,-0.12263408517726429,0.3107824856937514,0.6931397372959744,0.8845872869480277,0.4810632290626771,1.6265942207944601,0.44157422823366094,1.5749508204307625,Demographics / lifestyle,5185,92,0.0030863325793580865,2.852380488277845,0.5828251698239794
Age,0.11809550862055442,0.10982371459146191,0.28223200721080366,1.1253515870125497,0.9074153307660743,1.3956301502229498,0.8794923373600522,1.4610926416802075,Comorbidities / history,5185,92,0.03671541287896185,33.93228844339194,9.179624541493515e-05
Men,0.3652720173068734,0.2533208075801347,0.14932084651902114,1.4409059061893355,0.8770181054354558,2.367351161422641,0.9139361503828486,2.5240963454638194,Comorbidities / history,5185,92,0.03671541287896185,33.93228844339194,9.179624541493515e-05
Current smoker,0.1881229154841518,0.2253681742311066,0.40386639942458125,1.2069818629923594,0.7760094436116194,1.8773034652934135,0.7816675497477014,1.9205014222450678,Comorbidities / history,5185,92,0.03671541287896185,33.93228844339194,9.179624541493515e-05
Current drinking,-0.1274457813884638,0.31335175878197724,0.6842151637053788,0.8803411454148762,0.47634926534307526,1.626958596760314,0.4226011578665137,1.5029457206223338,Comorbidities / history,5185,92,0.03671541287896185,33.93228844339194,9.179624541493515e-05
Previous PCI,1.9464617107586333,0.42342772742045404,4.287903092304667e-06,7.003861996890123,3.054324987818523,16.0605315633152,2.3487686034527187,17.101568313180653,Comorbidities / history,5185,92,0.03671541287896185,33.93228844339194,9.179624541493515e-05
Diabetes,0.649039575835799,0.22016902430259924,0.003199249869747345,1.9137019804928228,1.2429855877009228,2.9463376779098542,1.195246686356321,2.962892876814145,Comorbidities / history,5185,92,0.03671541287896185,33.93228844339194,9.179624541493515e-05
Stroke/TIA,0.5758547480607872,0.32014256480016295,0.07205907138928534,1.7786501751513553,0.9496961868362416,3.3311668398974557,0.8460017886863828,3.2252976298527547,Comorbidities / history,5185,92,0.03671541287896185,33.93228844339194,9.179624541493515e-05
Previous MI,-0.17742142162802074,0.4152460064493903,0.6691839781018836,0.8374268003850764,0.37109817119501,1.8897523632221458,0.27949681903903945,1.761926063554846,Comorbidities / history,5185,92,0.03671541287896185,33.93228844339194,9.179624541493515e-05
Chronic renal insufficiency,0.32054894506445764,0.7391729041439967,0.6645361205045366,1.3778839393556004,0.32361416376165897,5.8667523332890825,0.00026592686345664493,4.340286763809289,Comorbidities / history,5185,92,0.03671541287896185,33.93228844339194,9.179624541493515e-05
Age,0.12764855267694114,0.1073329379418997,0.2343308359941586,1.1361536343693235,0.9206087526966871,1.4021646840847677,0.8937286036815543,1.4294390473306258,Presentation / ACS,5185,92,0.008053901675912467,7.443394839728853,0.3842166911969634
Men,0.3055849714799045,0.2499414402665779,0.2214708852841062,1.3574188221000365,0.8316935380661141,2.2154625162483557,0.8403362565955032,2.2542158412521607,Presentation / ACS,5185,92,0.008053901675912467,7.443394839728853,0.3842166911969634
Current smoker,0.08334650415502208,0.22160688144876245,0.7068420308597108,1.0869183650349312,0.7039872722268222,1.6781433114739153,0.7205290201000498,1.6756105774499406,Presentation / ACS,5185,92,0.008053901675912467,7.443394839728853,0.3842166911969634
