Feature,Corr cluster,Domain,P-value,p_fdr_bh
TIMI-1,1,Anatomy / lesion,0.7837747666510047,1.0
Slow flow,2,Procedural / stent,1.0,1.0
TIMI-2,3,Anatomy / lesion,1.0,1.0
Previous PCI,4,Comorbidities / history,1.25052788367341e-05,0.00017820022342346093
Previous MI,5,Comorbidities / history,0.12778791286616617,0.3538081914108028
Previous CABG,6,Comorbidities / history,0.3251434623364961,0.686413976043714
History of HF,7,Comorbidities / history,1.0,1.0
Fast-Glu,8,Laboratory,0.02458279422964183,0.053635187410127634
HbA1c,9,Laboratory,0.0001975000249745339,0.0006771429427698305
Diabetes,10,Comorbidities / history,0.002769502309228314,0.02255166166085913
HDL,11,Laboratory,0.8993117604945001,0.9384122718203479
TG,12,Laboratory,0.5582882325538095,0.7052061884890225
LDL,13,Laboratory,0.32742239625050396,0.49113359437575593
TCL,13,Laboratory,0.3807222453766603,0.5374902287670498
HL,14,Comorbidities / history,0.8036093917908292,1.0
LV,15,Cardiac function,5.4383309460018465e-17,3.262998567601108e-16
LVEF,16,Cardiac function,0.03330140576588231,0.06660281153176462
TIMI-0,17,Anatomy / lesion,0.016884411481108683,0.07403165034024575
Pre-TIMI flow-3,17,Anatomy / lesion,0.02182609526343254,0.08886338785826106
Thrombus aspiration,18,Procedural / stent,0.5748790464009405,0.9362315898529602
Visual thrombus,18,Anatomy / lesion,0.8406285259031926,1.0
Initial diagnosis-AMI,19,Presentation / ACS,0.054154679589692556,0.18157745509485151
UA,19,Presentation / ACS,0.16769090278821963,0.43447188449675084
STEMI,19,Presentation / ACS,0.7202760386801217,1.0
WBC,20,Laboratory,7.902144282841582e-21,9.482573139409899e-20
NSTEMI,21,Presentation / ACS,0.13035038630924312,0.3538081914108028
Cardiogenic shock,22,Presentation / ACS,0.45396657979084043,0.8809834223277005
Platelet,23,Laboratory,0.8159502280273638,0.9384122718203479
Fiberinogen,24,Laboratory,0.011910976196995151,0.028586342872788363
Current smoker,25,Demographics / lifestyle,0.6264718289130093,0.9651052499470684
Current drinking,26,Demographics / lifestyle,0.868929809834284,1.0
CKD90,27,Laboratory,6.550244235288351e-06,0.00012445464047047868
CKD5,27,Laboratory,1.1864369030549834e-05,5.69489713466392e-05
Men,28,Demographics / lifestyle,0.2680570836658024,0.6366355737062807
eGFR,29,Laboratory,4.6430610786181575e-20,3.714448862894526e-19
HGB,30,Laboratory,0.038765041300497856,0.07156623009322681
Age,31,Demographics / lifestyle,0.4633458211201912,0.6177944281602549
CKD60,32,Laboratory,0.5548593229811211,0.9362315898529602
Cre,33,Laboratory,0.8785448928231391,0.9384122718203479
Chronic renal insufficiency,34,Comorbidities / history,0.31467899090474816,0.686413976043714
Hypertension,35,Comorbidities / history,0.5666751649351782,0.9362315898529602
Stroke/TIA,36,Comorbidities / history,0.03301329283908383,0.12545051278851854
History of peripheral vascualr disease,37,Comorbidities / history,0.6698481728455976,1.0
Moderate/severe calcification,38,Anatomy / lesion,1.0,1.0
Moderate/severe tortuosity,39,Anatomy / lesion,1.0,1.0
PES,40,Procedural / stent,0.004421005519799075,0.031499664328568405
ZES,41,Procedural / stent,0.05391994141823923,0.18157745509485151
EVS,42,Procedural / stent,0.08754072119413052,0.26262216358239154
Lesion location-Ostial,43,Anatomy / lesion,1.0,1.0
P-LM,44,Anatomy / lesion,0.7101289645075537,1.0
1.1:1Post dilation,45,Procedural / stent,1.2951772451909664e-10,3.691255148794254e-09
No postdilation,45,Procedural / stent,1.2951772451909664e-10,3.691255148794254e-09
No.of stents per lesion,46,Procedural / stent,0.00014121979786497457,0.0005648791914598983
stent overlap,46,Procedural / stent,0.012546205280342889,0.05959447508162872
Total stent length,47,Procedural / stent,0.0011222634842722242,0.0029927026247259314
P-RCA,48,Anatomy / lesion,0.7437283460384675,1.0
P-LAD,48,Anatomy / lesion,0.7644927543550093,1.0
P-LCX,49,Anatomy / lesion,0.7591727489367808,1.0
Proximal,50,Anatomy / lesion,0.9788762756724867,1.0
Min-stent diameter,51,Procedural / stent,0.10584011246770593,0.16934417994832948
Max-stent diameter,51,Procedural / stent,0.8854726672269677,0.9384122718203479
Stent release pressure,52,Procedural / stent,0.9486375470511298,0.9486375470511298
NO.of vessels,53,Anatomy / lesion,0.0004766856673643825,0.0014300570020931475
Multi-vessel CAD,53,Anatomy / lesion,0.006160274021242302,0.03511356192108112
Single-vessel disease,53,Anatomy / lesion,0.006160274021242302,0.03511356192108112
3-vessel disease,54,Anatomy / lesion,0.0001807138876244862,0.002060138318919143
2-vessel disease,55,Anatomy / lesion,0.46367548543563186,0.8809834223277005
Bifurcation,56,Anatomy / lesion,0.06893784593319656,0.2183031787884558
Staged PCI,57,Procedural / stent,0.927859712023575,1.0
Chronic total occlusion,58,Anatomy / lesion,1.0,1.0
Clopidogrel,59,Medications (1y),0.002196624637642745,0.020867934057606077
DAPT,59,Medications (1y),0.22562445375589293,0.5591562549602564
Aspirin,60,Medications (1y),0.0117144605337541,0.05959447508162872
Ticagrelor,61,Medications (1y),1.0,1.0
Vessel dialation,62,Anatomy / lesion,0.2816797041351217,0.6422297254280775
Dissection,63,Procedural / stent,0.614680274396358,0.9651052499470684
CaI,64,Laboratory,0.050713641980663055,0.08693767196685095
