Feature,Type,Univariate OR,Adjusted OR,95% CI
WBC,continuous (per 1 SD),2.694,3.002,"[2.424, 4.225]"
eGFR,continuous (per 1 SD),0.334,0.113,"[0.060, 0.158]"
LV,continuous (per 1 SD),3.116,3.282,"[2.335, 5.254]"
CKD5,continuous (per 1 SD),1.391,0.156,"[0.023, 0.285]"
No.of stents per lesion,continuous (per 1 SD),1.379,1.297,"[0.693, 2.177]"
HbA1c,continuous (per 1 SD),1.367,0.870,"[0.569, 1.280]"
NO.of vessels,continuous (per 1 SD),1.456,1.498,"[0.774, 3.392]"
Total stent length,continuous (per 1 SD),1.391,1.127,"[0.658, 2.269]"
Fiberinogen,continuous (per 1 SD),1.220,1.045,"[0.804, 1.348]"
1.1:1Post dilation,binary,0.187,0.144,"[0.040, 0.245]"
No postdilation,binary,5.353,0.895,"[0.429, 1.358]"
CKD90,binary,2.625,12.540,"[2.708, 639.506]"
Previous PCI,binary,6.465,8.977,"[3.226, 28.618]"
3-vessel disease,binary,2.168,0.605,"[0.135, 2.936]"
Clopidogrel,binary,0.504,0.464,"[0.195, 0.817]"
Diabetes,binary,1.889,1.875,"[0.678, 4.331]"
PES,binary,2.156,1.239,"[0.585, 4.056]"
