Feature,Type,Univariate OR,Adjusted OR,Adj OR 95% CI low,Adj OR 95% CI high
WBC,continuous (per 1 SD),2.693871405790802,3.002282032900209,2.42396827254636,4.2254531856914594
eGFR,continuous (per 1 SD),0.3342358023997586,0.11293332326148117,0.05954069451874488,0.15825347312731253
LV,continuous (per 1 SD),3.1160733054451777,3.2817620903377596,2.3345765008416826,5.2536543354119525
CKD5,continuous (per 1 SD),1.3914316959759954,0.1556449403345301,0.02304955146387726,0.2847466564763049
No.of stents per lesion,continuous (per 1 SD),1.3793856201309398,1.297284665434625,0.6934513351746041,2.177458215048603
HbA1c,continuous (per 1 SD),1.367008833674905,0.8704498010307551,0.5688812728645728,1.280088509825737
NO.of vessels,continuous (per 1 SD),1.4563937792011246,1.4982833179068547,0.7740923316656381,3.392259269973123
Total stent length,continuous (per 1 SD),1.3914866063084694,1.1273747840610824,0.6580748999567482,2.268911105280581
Fiberinogen,continuous (per 1 SD),1.2201577718385814,1.0454440763002384,0.8040284854801466,1.3476711606011085
1.1:1Post dilation,binary,0.18703668894898146,0.1441554854325417,0.03950545247021029,0.24463576355134575
No postdilation,binary,5.353486449327602,0.8949264810744112,0.4286344554553562,1.3578677369255474
CKD90,binary,2.625288308735751,12.539690795587513,2.7076020947680686,639.5062540604664
Previous PCI,binary,6.464922925544627,8.97684955001507,3.22611712782737,28.617994416326713
3-vessel disease,binary,2.167547195861256,0.6052591765283458,0.134790958239323,2.9356043708262605
Clopidogrel,binary,0.5037169909795529,0.4643720760969007,0.19501427834234597,0.8166711022366028
Diabetes,binary,1.8894599114100241,1.8749769427866418,0.6778051969272796,4.331498219306354
PES,binary,2.1562966289975707,1.2393171146739592,0.5847591088717767,4.05630137368729
