Feature,VIF,spec
WBC,1.0478098155449649,"Table 4 (17 covariates, unidentified)"
eGFR,1.7706840883342525,"Table 4 (17 covariates, unidentified)"
LV,1.0345781235089655,"Table 4 (17 covariates, unidentified)"
CKD5,6.8406621844471704,"Table 4 (17 covariates, unidentified)"
No.of stents per lesion,3.9576413036000053,"Table 4 (17 covariates, unidentified)"
HbA1c,1.7860367468617306,"Table 4 (17 covariates, unidentified)"
NO.of vessels,3.9416418220957303,"Table 4 (17 covariates, unidentified)"
Total stent length,4.02384228104862,"Table 4 (17 covariates, unidentified)"
Fiberinogen,1.0325013245277004,"Table 4 (17 covariates, unidentified)"
1.1:1Post dilation,inf,"Table 4 (17 covariates, unidentified)"
No postdilation,inf,"Table 4 (17 covariates, unidentified)"
CKD90,6.610112743755948,"Table 4 (17 covariates, unidentified)"
Previous PCI,1.0067637147980304,"Table 4 (17 covariates, unidentified)"
3-vessel disease,3.867951625322464,"Table 4 (17 covariates, unidentified)"
Clopidogrel,1.003284714572167,"Table 4 (17 covariates, unidentified)"
Diabetes,1.771592997806516,"Table 4 (17 covariates, unidentified)"
PES,1.029342926027118,"Table 4 (17 covariates, unidentified)"
WBC,1.0465649763574085,"Table 4b (13 covariates, one per block)"
eGFR,1.038361997779245,"Table 4b (13 covariates, one per block)"
LV,1.0251040414980688,"Table 4b (13 covariates, one per block)"
No.of stents per lesion,3.956644377993708,"Table 4b (13 covariates, one per block)"
HbA1c,1.7855992320297673,"Table 4b (13 covariates, one per block)"
NO.of vessels,1.0578846178236696,"Table 4b (13 covariates, one per block)"
Total stent length,4.023214909130531,"Table 4b (13 covariates, one per block)"
Fiberinogen,1.0266349925747602,"Table 4b (13 covariates, one per block)"
1.1:1Post dilation,1.0743279462611675,"Table 4b (13 covariates, one per block)"
Previous PCI,1.0064185176253784,"Table 4b (13 covariates, one per block)"
Clopidogrel,1.0022582931209276,"Table 4b (13 covariates, one per block)"
Diabetes,1.7705188191197452,"Table 4b (13 covariates, one per block)"
PES,1.0276800899123162,"Table 4b (13 covariates, one per block)"
