iter	Logloss
0	0.6925571489
1	0.6897055895
2	0.6889073221
3	0.6881463023
4	0.6867760966
5	0.6861389615
6	0.6854365688
7	0.6849615561
8	0.6841726095
9	0.6834069463
10	0.6828419914
11	0.6824480255
12	0.6820385956
13	0.6814660447
14	0.6809119075
15	0.6800673615
16	0.678731361
17	0.6782504296
18	0.677075474
19	0.6759048463
20	0.6752599967
21	0.6746674923
22	0.6745115372
23	0.674110338
24	0.6734762027
25	0.6722962472
26	0.6721117606
27	0.6715040301
28	0.6704879237
29	0.6698495092
30	0.6693312678
31	0.6690090299
32	0.6679596461
33	0.6672936079
34	0.6669135273
35	0.6664629845
36	0.6661100679
37	0.6658821858
38	0.6654743927
39	0.6653199653
40	0.6643519861
41	0.6642618183
42	0.6642124563
43	0.663781146
44	0.6633390991
45	0.6630252431
46	0.6620921905
47	0.6617194171
48	0.6615617443
49	0.6606699136
50	0.6605901957
51	0.6601772351
52	0.6597489979
53	0.6596449823
54	0.6591297879
55	0.6589231883
56	0.6579485294
57	0.6557932637
58	0.6555185878
59	0.655330355
60	0.6550774524
61	0.654406904
62	0.6542552984
63	0.6537374229
64	0.6535934791
65	0.6533711905
66	0.6529136782
67	0.6526520587
68	0.6516136416
69	0.6499086057
70	0.6492450866
71	0.6488387027
72	0.648768827
73	0.648570831
74	0.6482476418
75	0.6481321278
76	0.647403311
77	0.6466325128
78	0.6464634758
79	0.6462588934
80	0.6455396356
81	0.6449721572
82	0.6446477056
83	0.6445711058
84	0.6442623065
85	0.6433784667
86	0.6430000688
87	0.6424498962
88	0.6416991587
89	0.6416360718
90	0.641514837
91	0.6411611264
92	0.6408381904
93	0.6405513188
94	0.6404271581
95	0.6400241661
96	0.6386282323
97	0.6383882599
98	0.6383274992
99	0.6381175975
100	0.6379607972
101	0.6371178485
102	0.6365301057
103	0.6363796977
104	0.636286644
105	0.6362138781
106	0.6360159028
107	0.6354704795
108	0.6353988049
109	0.6352568849
110	0.6350743358
111	0.6344656979
112	0.6340319906
113	0.6339788659
114	0.6339504188
115	0.633867722
116	0.6338193906
117	0.6337244252
118	0.6335242143
119	0.6331366406
120	0.632994357
121	0.6322950201
122	0.6317609793
123	0.6315122171
124	0.631504763
125	0.6314346483
126	0.6312172601
127	0.6306455421
128	0.630555405
129	0.630537126
130	0.6301066245
131	0.6300287719
132	0.6298097482
133	0.6295192117
134	0.6294105654
135	0.6291181586
136	0.6290866936
137	0.6290052791
138	0.6289970371
139	0.6285783294
140	0.6285582796
141	0.6281307879
142	0.627757356
143	0.6276653634
144	0.6272528182
145	0.6272416421
146	0.6272141321
147	0.6270538023
148	0.6269661024
149	0.6265725829
150	0.6265243101
151	0.6264409754
152	0.6262200453
153	0.6260940412
154	0.6258635792
155	0.625798737
156	0.6257064215
157	0.6255331865
158	0.625458139
159	0.625449323
160	0.6249184871
161	0.62481615
162	0.624771939
163	0.6247447877
164	0.6245749157
165	0.6245620925
166	0.624276623
167	0.6242113897
168	0.6241522165
169	0.624007467
170	0.623355091
171	0.6232117373
172	0.6231634661
173	0.6230854495
174	0.622576668
175	0.6223974503
176	0.6222307819
177	0.6221182392
178	0.6220814245
179	0.6215317418
180	0.6214854468
181	0.6212165378
182	0.6200457959
183	0.6200223178
184	0.6200071326
185	0.6199683102
186	0.6198894023
187	0.6198292938
188	0.6196662948
189	0.6195387791
190	0.6193475533
191	0.6189807374
192	0.6185235199
193	0.6184371777
194	0.6182739388
195	0.6178529043
196	0.6177800055
197	0.6175905428
198	0.6175203925
199	0.617463216
200	0.6172859852
201	0.6172019894
202	0.6168721765
203	0.6168521754
204	0.616708299
205	0.6166632574
206	0.6165975834
207	0.6164634789
208	0.6163419195
209	0.6162012244
210	0.6161286887
211	0.6159080994
