iter	Passed	Remaining
0	13	2754
1	24	2406
2	33	2218
3	42	2085
4	51	1996
5	60	1952
6	69	1902
7	77	1860
8	86	1834
9	95	1808
10	103	1786
11	112	1764
12	121	1742
13	129	1721
14	138	1707
15	147	1699
16	157	1692
17	165	1677
18	174	1662
19	183	1651
20	192	1636
21	201	1626
22	209	1614
23	218	1603
24	226	1588
25	235	1578
26	245	1574
27	255	1571
28	266	1569
29	275	1563
30	285	1556
31	294	1548
32	305	1544
33	313	1532
34	322	1520
35	331	1510
36	340	1501
37	350	1492
38	359	1483
39	369	1476
40	378	1466
41	386	1454
42	395	1442
43	404	1433
44	413	1424
45	422	1413
46	430	1402
47	438	1389
48	447	1379
49	456	1368
50	465	1359
51	474	1350
52	483	1340
53	491	1329
54	500	1319
55	509	1310
56	518	1300
57	527	1290
58	535	1280
59	544	1270
60	552	1259
61	562	1251
62	570	1241
63	580	1232
64	589	1224
65	598	1215
66	607	1206
67	616	1196
68	625	1187
69	634	1177
70	643	1168
71	652	1159
72	661	1150
73	670	1141
74	680	1133
75	689	1125
76	700	1118
77	709	1109
78	719	1101
79	727	1091
80	737	1082
81	746	1073
82	754	1063
83	765	1056
84	775	1049
85	784	1039
86	793	1030
87	802	1021
88	812	1013
89	821	1003
90	830	994
91	838	984
92	847	975
93	856	965
94	865	956
95	874	947
96	883	938
97	892	928
98	901	919
99	910	910
100	919	900
101	928	891
102	937	882
103	946	873
104	955	864
105	964	855
106	974	846
107	984	838
108	997	832
109	1007	824
110	1020	818
111	1029	808
112	1037	799
113	1046	789
114	1055	780
115	1064	771
116	1074	762
117	1083	753
118	1092	743
119	1100	733
120	1109	724
121	1118	715
122	1127	705
123	1136	696
124	1145	687
125	1154	677
126	1162	668
127	1172	659
128	1183	651
129	1193	642
130	1204	634
131	1213	625
132	1222	615
133	1231	606
134	1239	596
135	1248	587
136	1256	577
137	1266	568
138	1276	560
139	1284	550
140	1293	541
141	1303	532
142	1312	523
143	1322	514
144	1332	505
145	1341	496
146	1351	487
147	1360	477
148	1369	468
149	1379	459
150	1387	450
151	1397	441
152	1408	432
153	1416	423
154	1425	413
155	1434	404
156	1443	395
157	1451	385
158	1460	376
159	1469	367
160	1478	358
161	1487	348
162	1497	339
163	1505	330
164	1514	321
165	1523	312
166	1532	302
167	1541	293
168	1550	284
169	1559	275
170	1568	266
171	1584	257
172	1598	249
173	1618	241
174	1631	233
175	1647	224
176	1658	215
177	1667	206
178	1676	196
179	1686	187
180	1696	178
181	1706	168
182	1716	159
183	1727	150
184	1737	140
185	1747	131
186	1758	122
187	1768	112
188	1778	103
189	1788	94
190	1799	84
191	1809	75
192	1819	65
193	1829	56
194	1838	47
195	1847	37
196	1856	28
197	1864	18
198	1873	9
199	1882	0
