Feature,n (no VLST),n (VLST),Skewness,Kurtosis (excess),Skew label,Kurtosis label,Var (no VLST),Var (VLST),Variance ratio,Levene p-value,Unequal variance flag,Primary test,Reason,Brunner-Munzel check
Age,5093,92,-0.07179213205814514,-0.2771976313660973,Symmetric,Typical tails,98.54256994297273,128.40742952699472,1.3030655644692948,0.24585295376874874,No,Welch t-test,"approx symmetric, kurtosis not extreme",No
CKD5,5093,92,2.617649795750054,7.507913488284668,High skew,Heavy tails,0.24927094456309812,0.3287147634973721,1.3187046892830476,0.0004620758248689542,Yes,Mann-Whitney U,|skew|=2.62>1.0; kurtosis=7.51>3.0,Yes
CaI,5093,92,2.834163684086525,9.432386019351197,High skew,Heavy tails,3799.3913407862724,5220.232248224557,1.3739654012961577,0.3901623479547468,No,Mann-Whitney U,|skew|=2.83>1.0; kurtosis=9.43>3.0,No
Cre,5093,92,7.484055870112697,161.33526196542107,High skew,Heavy tails,615.3169365666629,362.8955697563307,1.695575773988706,0.47522377714476804,No,Mann-Whitney U,|skew|=7.48>1.0; kurtosis=161.34>3.0,No
Fast-Glu,5093,92,2.4171445283493194,7.838604116358161,High skew,Heavy tails,7.426516473853412,15.847400513616819,2.133894211291508,5.2204101430078173e-05,Yes,Mann-Whitney U,|skew|=2.42>1.0; kurtosis=7.84>3.0,Yes
Fiberinogen,5093,92,1.6216889126576615,5.653460069981927,High skew,Heavy tails,0.7740026546610114,1.0133830864787385,1.3092759829390614,0.9544205556353841,No,Mann-Whitney U,|skew|=1.62>1.0; kurtosis=5.65>3.0,No
HDL,5093,92,0.914836863690002,1.7309212669379148,Moderate skew,Typical tails,0.0780664342676338,0.12329216435738177,1.5793236301110076,0.027864720104815617,Yes,Welch t-test,"approx symmetric, kurtosis not extreme",No
HGB,5093,92,-0.40910456138767126,0.5230731098683568,Symmetric,Typical tails,262.972826634342,171.10881509794555,1.5368748038130704,0.018816825851022123,Yes,Welch t-test,"approx symmetric, kurtosis not extreme",No
HbA1c,5093,92,1.3963697934258823,1.9186329802951994,High skew,Typical tails,2.606245084168172,2.3444598542761588,1.1116612124598901,0.6074178515677953,No,Mann-Whitney U,|skew|=1.40>1.0,No
LDL,5093,92,1.0558994419433987,4.671017706108448,High skew,Heavy tails,0.6600981618872476,1.1750580506450068,1.7801262274166434,0.07411031310394242,No,Mann-Whitney U,|skew|=1.06>1.0; kurtosis=4.67>3.0,No
LV,5093,92,0.9653129420947535,2.467569125000784,Moderate skew,Typical tails,16.334920671889346,17.922121356903965,1.0971661091532585,0.18751891565669201,No,Welch t-test,"approx symmetric, kurtosis not extreme",No
LVEF,5093,92,-1.4825876213217128,7.41634107026748,High skew,Heavy tails,20.387139349497616,13.524486383182033,1.5074242948589476,0.3716775362874094,No,Mann-Whitney U,|skew|=1.48>1.0; kurtosis=7.42>3.0,No
Max-stent diameter,5093,92,0.5862400949672213,0.29899081746258505,Moderate skew,Typical tails,0.1690997102364211,0.14399187768752983,1.174369783574714,0.3999546123501678,No,Welch t-test,"approx symmetric, kurtosis not extreme",No
Min-stent diameter,5093,92,0.763485319104499,0.7208137196710775,Moderate skew,Typical tails,0.16471624562400927,0.15074056378404208,1.092713477309196,0.8860758431118005,No,Welch t-test,"approx symmetric, kurtosis not extreme",No
NO.of vessels,5093,92,0.24368589995641388,-1.477432482620077,Symmetric,Light tails / flat,0.6754528380141928,0.7017439082656473,1.03892362097219,0.4665703698115284,No,Welch t-test,"approx symmetric, kurtosis not extreme",No
No.of stents per lesion,5093,92,2.1318247177630667,4.700423365982788,High skew,Heavy tails,0.20786096592384012,0.42271858576206395,2.0336602588335286,1.3657724411343179e-05,Yes,Mann-Whitney U,|skew|=2.13>1.0; kurtosis=4.70>3.0,Yes
Platelet,5093,92,1.3169473047092235,6.91760660495785,High skew,Heavy tails,3905.405140891592,3145.5685618729094,1.241557786477325,0.20645832796267766,No,Mann-Whitney U,|skew|=1.32>1.0; kurtosis=6.92>3.0,No
Stent release pressure,5093,92,0.07044171273644274,-0.5611290425250419,Symmetric,Typical tails,8.909300213206395,7.86383182035356,1.132946433333798,0.6665468102656387,No,Welch t-test,"approx symmetric, kurtosis not extreme",No
TCL,5093,92,0.8714025645535277,2.745044983883812,Moderate skew,Typical tails,1.0937368705471784,1.7162268872431912,1.5691405615544363,0.23359867623950942,No,Welch t-test,"approx symmetric, kurtosis not extreme",No
TG,5093,92,2.134846438141654,8.837294047035812,High skew,Heavy tails,1.9339484198541845,2.9348931199235553,1.5175653547910237,0.1033894298553413,No,Mann-Whitney U,|skew|=2.13>1.0; kurtosis=8.84>3.0,No
Time since stent implantation,5093,92,-2.3592759599156397,13.211716590790491,High skew,Heavy tails,11598.698606006827,147282.2937171524,12.698174055568327,1.1553853394622504e-237,Yes,Mann-Whitney U,|skew|=2.36>1.0; kurtosis=13.21>3.0,Yes
Total stent length,5093,92,1.7371898070924356,4.154200804857775,High skew,Heavy tails,244.1268550290596,428.8442427138079,1.7566450961028457,0.004752862209092601,Yes,Mann-Whitney U,|skew|=1.74>1.0; kurtosis=4.15>3.0,Yes
WBC,5093,92,1.211996253105933,2.1243793121323122,High skew,Typical tails,10.508482793158022,15.402377161968467,1.4657089386868307,0.014367527248110298,Yes,Mann-Whitney U,|skew|=1.21>1.0,Yes
eGFR,5093,92,0.06304154762421546,-0.5779428456585292,Symmetric,Typical tails,1163.0311925236015,385.32975617534635,3.0182750589195555,7.205105929079755e-10,Yes,Welch t-test,"approx symmetric, kurtosis not extreme",No
