Feature,Correlation,Abs_Correlation
Time since stent implantation,-0.5383538401143654,0.5383538401143654
WBC,0.1502029608414167,0.1502029608414167
LV,0.14724450456698066,0.14724450456698066
eGFR,-0.09365721371707741,0.09365721371707741
1.1:1Post dilation,-0.08926551318755799,0.08926551318755799
No postdilation,0.08926551318755743,0.08926551318755743
Previous PCI,0.08497349923754337,0.08497349923754337
CKD90,0.06260233311723953,0.06260233311723953
No.of stents per lesion,0.06036049706183504,0.06036049706183504
Total stent length,0.05665098561587253,0.05665098561587253
Fast-Glu,0.053843912092175504,0.053843912092175504
3-vessel disease,0.0520026909595266,0.0520026909595266
NO.of vessels,0.05114928385236095,0.05114928385236095
CKD5,0.04861479257928424,0.04861479257928424
Clopidogrel,-0.04252747824350278,0.04252747824350278
Diabetes,0.041554700786878285,0.041554700786878285
PES,0.03953017685657355,0.03953017685657355
HbA1c,0.03878733592897861,0.03878733592897861
Multi-vessel CAD,0.038039749306572425,0.038039749306572425
Single-vessel disease,-0.03803974930657186,0.03803974930657186
Aspirin,-0.0350053885733153,0.0350053885733153
stent overlap,0.034668838694049374,0.034668838694049374
TIMI-0,0.03318034359973494,0.03318034359973494
Pre-TIMI flow-3,-0.03184943834072087,0.03184943834072087
LDL,0.029883088033971956,0.029883088033971956
Stroke/TIA,0.02960716662235993,0.02960716662235993
Fiberinogen,0.029210766650388867,0.029210766650388867
ZES,-0.026767962377462304,0.026767962377462304
Initial diagnosis-AMI,0.02674182741748721,0.02674182741748721
Bifurcation,0.02525904832605514,0.02525904832605514
EVS,-0.023727094433756916,0.023727094433756916
HGB,0.023655262853439402,0.023655262853439402
Min-stent diameter,-0.021725017614509422,0.021725017614509422
Previous MI,0.02114911673724919,0.02114911673724919
NSTEMI,0.021007996317175825,0.021007996317175825
UA,-0.019160116882802128,0.019160116882802128
TG,0.018549735424992213,0.018549735424992213
LVEF,-0.01758374045024342,0.01758374045024342
DAPT,-0.016827644734030298,0.016827644734030298
Men,0.015381127270743391,0.015381127270743391
TCL,0.015197793945125541,0.015197793945125541
Vessel dialation,0.013128245290585502,0.013128245290585502
Previous CABG,0.012846281136686259,0.012846281136686259
Age,0.011620139690611314,0.011620139690611314
Chronic renal insufficiency,0.011437305602621371,0.011437305602621371
2-vessel disease,-0.010176908638922675,0.010176908638922675
Aneurysm,0.010030342109727478,0.010030342109727478
Cardiogenic shock,0.009955336219168831,0.009955336219168831
Hypertension,0.00795694088443515,0.00795694088443515
Thrombus aspiration,-0.007789254842198248,0.007789254842198248
CKD60,0.007076326362483934,0.007076326362483934
Ticagrelor,-0.006838347168516206,0.006838347168516206
CaI,0.006772707279769221,0.006772707279769221
Current smoker,0.006759053022343207,0.006759053022343207
Ulceration,0.005207832049074471,0.005207832049074471
STEMI,0.004972991181227462,0.004972991181227462
History of peripheral vascualr disease,0.004960335546321368,0.004960335546321368
P-RCA,0.004540118554885568,0.004540118554885568
P-LCX,0.004257468509258629,0.004257468509258629
P-LAD,-0.004160519224297046,0.004160519224297046
History of HF,-0.0039244830738059695,0.0039244830738059695
No reflow,0.0034924449782961554,0.0034924449782961554
HL,-0.003453536577589547,0.003453536577589547
TIMI-1,0.0028579380083987,0.0028579380083987
Visual thrombus,-0.0027926415588229725,0.0027926415588229725
Slow flow,-0.002624124403153471,0.002624124403153471
Current drinking,-0.002291695721225998,0.002291695721225998
Platelet,-0.00227491081599754,0.00227491081599754
Moderate/severe calcification,-0.0022252868757294607,0.0022252868757294607
HDL,-0.0021963914501030067,0.0021963914501030067
TIMI-2,-0.0021542995828188667,0.0021542995828188667
Max-stent diameter,-0.0018564377548653148,0.0018564377548653148
Chronic total occlusion,-0.0016769025575549838,0.0016769025575549838
P-LM,0.0014202051765244592,0.0014202051765244592
Staged PCI,0.0012573507159787194,0.0012573507159787194
Lesion location-Ostial,-0.0010875294171319005,0.0010875294171319005
Moderate/severe tortuosity,-0.0008825544218353284,0.0008825544218353284
Dissection,0.0008655585864964853,0.0008655585864964853
Stent release pressure,-0.000844735039480764,0.000844735039480764
Cre,-0.0004951596901089352,0.0004951596901089352
Proximal,0.0003677111441786566,0.0003677111441786566
