Feature,Feature type,Test / method,P-value,p_fdr_bh,Effect,Odds Ratio,Domain,neglog10p,Is time-at-risk,p_fdr_within_domain
3-vessel disease,binary,Chi-square,0.0001807138876244862,0.002060138318919143,0.052002690959526386,2.168523206751055,Anatomy / lesion,3.7430084711970886,False,0.004156419415363182
NO.of vessels,continuous,Welch t-test,0.0004766856673643825,0.0014300570020931475,0.38787576599932666,,Anatomy / lesion,3.3217679059251437,False,0.005481885174690398
Multi-vessel CAD,binary,Chi-square,0.006160274021242302,0.03511356192108112,0.03803974930657197,1.889548041513224,Anatomy / lesion,2.210399969123463,False,0.035421575622143237
Single-vessel disease,binary,Chi-square,0.006160274021242302,0.03511356192108112,-0.03803974930657197,0.5292270839534521,Anatomy / lesion,2.210399969123463,False,0.035421575622143237
TIMI-0,binary,Chi-square,0.016884411481108683,0.07403165034024575,0.03318034359973481,1.6507382329430573,Anatomy / lesion,1.7725140724263395,False,0.07766829281309993
Pre-TIMI flow-3,binary,Chi-square,0.02182609526343254,0.08886338785826106,-0.03184943834072057,0.6192230408573343,Anatomy / lesion,1.661023953582073,False,0.08366669850982474
Bifurcation,binary,Chi-square,0.06893784593319656,0.2183031787884558,0.025259048326055276,1.6322920021470746,Anatomy / lesion,1.1615422909011168,False,0.2265100652090744
Vessel dialation,binary,Fisher exact,0.2816797041351217,0.6422297254280775,0.013128245290585537,1.9633528265107212,Anatomy / lesion,0.550244444102852,False,0.809829149388475
Aneurysm,binary,Fisher exact,0.3950441849044032,0.8041970906982493,0.010030342109727445,2.061864061864062,Anatomy / lesion,0.40335432668496896,False,1.0
2-vessel disease,binary,Chi-square,0.46367548543563186,0.8809834223277005,-0.010176908638922465,0.8411616041199752,Anatomy / lesion,0.3337858646853216,False,1.0
Ulceration,binary,Fisher exact,0.5038135388096225,0.9263668294241446,0.005207832049074493,1.4618276460381723,Anatomy / lesion,0.2977301660334068,False,1.0
P-LM,binary,Fisher exact,0.7101289645075537,1.0,0.0014202051765245254,1.0765911542610571,Anatomy / lesion,0.148662773128946,False,1.0
P-RCA,binary,Chi-square,0.7437283460384675,1.0,0.004540118554885847,1.0748766528517861,Anatomy / lesion,0.1285856657446137,False,1.0
P-LCX,binary,Chi-square,0.7591727489367808,1.0,0.0042574685092587085,1.0866590822904816,Anatomy / lesion,0.11965938962026891,False,1.0
P-LAD,binary,Chi-square,0.7644927543550093,1.0,-0.0041605192242959,0.9389096031154197,Anatomy / lesion,0.11662662635179086,False,1.0
TIMI-1,binary,Fisher exact,0.7837747666510047,1.0,0.002857938008398706,1.1120454545454546,Anatomy / lesion,0.10580872258875636,False,1.0
Visual thrombus,binary,Chi-square,0.8406285259031926,1.0,-0.00279264155882293,0.9343371494939439,Anatomy / lesion,0.07539587672393501,False,1.0
Proximal,binary,Chi-square,0.9788762756724867,1.0,0.0003677111441785985,1.0060129372257278,Anatomy / lesion,0.009272197051132894,False,1.0
Lesion location-Ostial,binary,Fisher exact,1.0,1.0,-0.0010875294171319393,0.9451092117758785,Anatomy / lesion,-0.0,False,1.0
