Feature,Pearson,Spearman,Abs_Diff
Time since stent implantation,-0.5383538401143654,-0.1701274028333615,0.3682264372810039
Fast-Glu,0.053843912092175504,0.031221271906484414,0.02262264018569109
CaI,0.006772707279769221,-0.027137917876915846,0.020365210597146625
WBC,0.1502029608414167,0.13001371135378229,0.020189249487634425
LDL,0.029883088033971956,0.013602140563068176,0.016280947470903778
HbA1c,0.03878733592897861,0.05169761288782234,0.012910276958843732
CKD5,0.04861479257928424,0.06083498622600412,0.012220193646719876
LVEF,-0.01758374045024342,-0.029562026512110113,0.011978286061866694
Total stent length,0.05665098561587253,0.045249578762142174,0.011401406853730353
TCL,0.015197793945125541,0.004308511921676105,0.010889282023449437
TG,0.018549735424992213,0.008130848517781966,0.010418886907210247
LV,0.14724450456698066,0.13904593052045985,0.008198574046520801
No.of stents per lesion,0.06036049706183504,0.05286212322933037,0.007498373832504672
Age,0.011620139690611314,0.017371570985608393,0.005751431294997078
Fiberinogen,0.029210766650388867,0.034927861390272937,0.00571709473988407
HGB,0.023655262853439402,0.019030909025311765,0.004624353828127637
HDL,-0.0021963914501030067,-0.005880571370257805,0.003684179920154798
eGFR,-0.09365721371707741,-0.09634234693877902,0.0026851332217016077
Cre,-0.0004951596901089352,0.002122905821367876,0.001627746131258941
Max-stent diameter,-0.0018564377548653148,0.003050729816793242,0.001194292061927927
Platelet,-0.00227491081599754,0.003233221942598684,0.000958311126601144
NO.of vessels,0.05114928385236095,0.050256031416824075,0.0008932524355368746
Stent release pressure,-0.000844735039480764,-0.0017255356232526717,0.0008808005837719077
Min-stent diameter,-0.021725017614509422,-0.021746994877033656,2.1977262524234403e-05
P-LAD,-0.004160519224297046,-0.0041605192242959,1.145784855882681e-15
No postdilation,0.08926551318755743,0.08926551318755811,6.800116025829084e-16
Men,0.015381127270743391,0.015381127270744045,6.539907504432563e-16
Multi-vessel CAD,0.038039749306572425,0.03803974930657197,4.579669976578771e-16
Hypertension,0.00795694088443515,0.007956940884434693,4.562322741819003e-16
STEMI,0.004972991181227462,0.004972991181227142,3.200564813177209e-16
Pre-TIMI flow-3,-0.03184943834072087,-0.03184943834072057,2.983724378680108e-16
Current smoker,0.006759053022343207,0.006759053022342914,2.931682674400804e-16
P-RCA,0.004540118554885568,0.004540118554885847,2.7842311789427754e-16
Clopidogrel,-0.04252747824350278,-0.04252747824350305,2.706168622523819e-16
Initial diagnosis-AMI,0.02674182741748721,0.026741827417487467,2.5673907444456745e-16
3-vessel disease,0.0520026909595266,0.052002690959526386,2.1510571102112408e-16
2-vessel disease,-0.010176908638922675,-0.010176908638922465,2.0990154059319366e-16
stent overlap,0.034668838694049374,0.03466883869404917,2.0122792321330962e-16
DAPT,-0.016827644734030298,-0.016827644734030117,1.8041124150158794e-16
Stroke/TIA,0.02960716662235993,0.029607166622360095,1.6306400674181987e-16
Previous CABG,0.012846281136686259,0.012846281136686406,1.474514954580286e-16
Bifurcation,0.02525904832605514,0.025259048326055276,1.3530843112619095e-16
TIMI-0,0.03318034359973494,0.03318034359973481,1.3183898417423734e-16
1.1:1Post dilation,-0.08926551318755799,-0.08926551318755811,1.249000902703301e-16
UA,-0.019160116882802128,-0.019160116882802017,1.1102230246251565e-16
Single-vessel disease,-0.03803974930657186,-0.03803974930657197,1.0408340855860843e-16
Diabetes,0.041554700786878285,0.04155470078687838,9.71445146547012e-17
Thrombus aspiration,-0.007789254842198248,-0.00778925484219816,8.760353553682876e-17
Staged PCI,0.0012573507159787194,0.0012573507159787994,8.001412032943023e-17
P-LCX,0.004257468509258629,0.0042574685092587085,7.979727989493313e-17
NSTEMI,0.021007996317175825,0.021007996317175898,7.28583859910259e-17
Previous MI,0.02114911673724919,0.02114911673724912,7.28583859910259e-17
P-LM,0.0014202051765244592,0.0014202051765245254,6.613633252161577e-17
Slow flow,-0.002624124403153471,-0.0026241244031535355,6.461844948013606e-17
Proximal,0.0003677111441786566,0.0003677111441785985,5.811323644522304e-17
Chronic total occlusion,-0.0016769025575549838,-0.001676902557555037,5.312590645178972e-17
History of HF,-0.0039244830738059695,-0.0039244830738059166,5.2909066017292616e-17
PES,0.03953017685657355,0.0395301768565735,4.85722573273506e-17
CKD60,0.007076326362483934,0.0070763263624839794,4.5102810375396984e-17
Visual thrombus,-0.0027926415588229725,-0.00279264155882293,4.2500725161431774e-17
CKD90,0.06260233311723953,0.06260233311723949,4.163336342344337e-17
Aspirin,-0.0350053885733153,-0.035005388573315345,4.163336342344337e-17
Lesion location-Ostial,-0.0010875294171319005,-0.0010875294171319393,3.881443777498106e-17
Current drinking,-0.002291695721225998,-0.002291695721226036,3.8163916471489756e-17
History of peripheral vascualr disease,0.004960335546321368,0.004960335546321406,3.8163916471489756e-17
Vessel dialation,0.013128245290585502,0.013128245290585537,3.469446951953614e-17
Aneurysm,0.010030342109727478,0.010030342109727445,3.2959746043559335e-17
Moderate/severe calcification,-0.0022252868757294607,-0.002225286875729492,3.122502256758253e-17
TIMI-2,-0.0021542995828188667,-0.002154299582818895,2.8189256484623115e-17
Previous PCI,0.08497349923754337,0.0849734992375434,2.7755575615628914e-17
Ulceration,0.005207832049074471,0.005207832049074493,2.168404344971009e-17
Moderate/severe tortuosity,-0.0008825544218353284,-0.0008825544218353464,1.7997756063259374e-17
Chronic renal insufficiency,0.011437305602621371,0.011437305602621356,1.5612511283791264e-17
HL,-0.003453536577589547,-0.0034535365775895614,1.431146867680866e-17
Cardiogenic shock,0.009955336219168831,0.009955336219168817,1.3877787807814457e-17
ZES,-0.026767962377462304,-0.026767962377462297,6.938893903907228e-18
TIMI-1,0.0028579380083987,0.0028579380083987066,6.5052130349130266e-18
No reflow,0.0034924449782961554,0.0034924449782961497,5.637851296924623e-18
EVS,-0.023727094433756916,-0.023727094433756913,3.469446951953614e-18
Ticagrelor,-0.006838347168516206,-0.0068383471685162026,3.469446951953614e-18
Dissection,0.0008655585864964853,0.0008655585864964842,1.0842021724855044e-18
