Feature,Test,Odds Ratio,Relative Risk,Phi,VLST rate (feat=1),VLST rate (feat=0),p (raw),q (FDR),p (Holm)
1.1:1Post dilation,Chi-square,0.187,0.191,-0.089,0.0056,0.0292,1.30e-10,3.69e-09,7.38e-09
No postdilation,Chi-square,5.355,5.228,0.089,0.0292,0.0056,1.30e-10,3.69e-09,7.38e-09
CKD90,Chi-square,2.625,2.567,0.063,0.0359,0.0140,6.55e-06,0.0001,0.0004
Previous PCI,Fisher exact,6.485,5.958,0.085,0.0962,0.0161,1.25e-05,0.0002,0.0007
3-vessel disease,Chi-square,2.169,2.135,0.052,0.0287,0.0134,0.0002,0.0021,0.0096
Clopidogrel,Chi-square,0.503,0.509,-0.043,0.0117,0.0229,0.0022,0.0209,0.1142
Diabetes,Chi-square,1.889,1.865,0.042,0.0271,0.0145,0.0028,0.0226,0.1412
PES,Chi-square,2.158,2.133,0.040,0.0212,0.0100,0.0044,0.0315,0.2211
Multi-vessel CAD,Chi-square,1.890,1.870,0.038,0.0219,0.0117,0.0062,0.0351,0.3019
Single-vessel disease,Chi-square,0.529,0.535,-0.038,0.0117,0.0219,0.0062,0.0351,0.3019
