Feature,Test,Direction,Effect size,ES value,Mean diff (VLST−no),Median diff (VLST−no),p (raw),q (FDR),p (Holm),Note
Time since stent implantation,Mann-Whitney U,Negative,Mann-Whitney r,-0.170,-572.055,-683.000,1.70e-34,4.07e-33,4.07e-33,Structural / time-at-risk (exclude from baseline predictors)
WBC,Mann-Whitney U,Positive,Mann-Whitney r,0.130,3.745,3.820,7.90e-21,9.48e-20,1.82e-19,Candidate univariate association
eGFR,Welch t-test,Negative,Cohen's d,-0.712,-24.153,-17.575,4.64e-20,3.71e-19,1.02e-18,Candidate univariate association
LV,Welch t-test,Positive,Cohen's d,1.127,4.560,4.000,5.44e-17,3.26e-16,1.14e-15,Candidate univariate association
CKD5,Mann-Whitney U,Positive,Mann-Whitney r,0.040,0.185,0.000,1.19e-05,5.69e-05,0.0002,Candidate univariate association
No.of stents per lesion,Mann-Whitney U,Positive,Mann-Whitney r,0.037,0.211,0.000,0.0001,0.0006,0.0027,Candidate univariate association
HbA1c,Mann-Whitney U,Positive,Mann-Whitney r,0.052,0.474,1.050,0.0002,0.0007,0.0036,Candidate univariate association
NO.of vessels,Welch t-test,Positive,Cohen's d,0.388,0.319,0.000,0.0005,0.0014,0.0081,Candidate univariate association
Total stent length,Mann-Whitney U,Positive,Mann-Whitney r,0.045,6.759,2.000,0.0011,0.0030,0.0180,Candidate univariate association
Fiberinogen,Mann-Whitney U,Positive,Mann-Whitney r,0.035,0.195,0.170,0.0119,0.0286,0.1787,Candidate univariate association
