Family,Feature,Test,p (raw),q (joint FDR),p (joint Holm),Note
binary,1.1:1Post dilation,Chi-square,1.30e-10,1.77e-09,1.01e-08,
binary,No postdilation,Chi-square,1.30e-10,1.77e-09,1.01e-08,
binary,CKD90,Chi-square,6.55e-06,6.71e-05,0.0005,
binary,Previous PCI,Fisher exact,1.25e-05,0.0001,0.0009,
binary,3-vessel disease,Chi-square,0.0002,0.0012,0.0128,
binary,Clopidogrel,Chi-square,0.0022,0.0113,0.1472,
binary,Diabetes,Chi-square,0.0028,0.0134,0.1828,
binary,PES,Chi-square,0.0044,0.0201,0.2874,
binary,Multi-vessel CAD,Chi-square,0.0062,0.0253,0.3943,
binary,Single-vessel disease,Chi-square,0.0062,0.0253,0.3943,
binary,Aspirin,Chi-square,0.0117,0.0444,0.7263,
binary,stent overlap,Chi-square,0.0125,0.0447,0.7528,
categorical,Stent type-SES,Chi-square,3.85e-07,4.51e-06,2.92e-05,
continuous,Time since stent implantation,Mann-Whitney U,1.70e-34,1.39e-32,1.39e-32,Structural / time-at-risk
continuous,WBC,Mann-Whitney U,7.90e-21,3.24e-19,6.40e-19,
continuous,eGFR,Welch t-test,4.64e-20,1.27e-18,3.71e-18,
continuous,LV,Welch t-test,5.44e-17,1.11e-15,4.30e-15,
continuous,CKD5,Mann-Whitney U,1.19e-05,0.0001,0.0009,
continuous,No.of stents per lesion,Mann-Whitney U,0.0001,0.0011,0.0102,
continuous,HbA1c,Mann-Whitney U,0.0002,0.0012,0.0138,
continuous,NO.of vessels,Welch t-test,0.0005,0.0028,0.0329,
continuous,Total stent length,Mann-Whitney U,0.0011,0.0061,0.0763,
continuous,Fiberinogen,Mann-Whitney U,0.0119,0.0444,0.7266,
