Feature,Test,P-value,p_fdr_bh,p_holm,p_bonferroni,Cohen's d,Glass's delta,Mann-Whitney r,Primary effect size name,Primary effect size,Pearson r,Direction (Pearson),Spearman rho,Direction (Spearman),Mean (no VLST),Mean (VLST),Median (no VLST),Median (VLST)
Time since stent implantation,Mann-Whitney U,1.6979128236682988e-34,4.074990776803917e-33,4.074990776803917e-33,4.074990776803917e-33,-4.838038439534978,-5.311693643368343,-0.17011018843223838,Mann-Whitney r,-0.17011018843223838,-0.5383538401143654,Negative,-0.1701274028333615,Negative,1420.1091694482623,848.054347826087,1419.0,736.0
LV,Welch t-test,5.4383309460018465e-17,3.262998567601108e-16,1.1420494986603877e-15,1.3051994270404433e-15,1.1274130867030432,1.128374351339475,0.13800107363316966,Cohen's d,1.1274130867030432,0.14724450456698066,Positive,0.13904593052045985,Positive,44.54820341645396,49.108695652173914,44.0,48.0
WBC,Mann-Whitney U,7.902144282841582e-21,9.482573139409899e-20,1.817493185053564e-19,1.8965146278819798e-19,1.1505828047740325,1.1552771776572877,0.12967930767190222,Mann-Whitney r,0.12967930767190222,0.1502029608414167,Positive,0.13001371135378229,Positive,8.746701354800706,12.49173913043478,8.0,11.82
eGFR,Welch t-test,4.6430610786181575e-20,3.714448862894526e-19,1.0214734372959946e-18,1.1143346588683578e-18,-0.712424119481934,-0.7082297113788799,-0.09633271201920537,Cohen's d,-0.712424119481934,-0.09365721371707741,Negative,-0.09634234693877902,Negative,120.02890830551738,95.87597826086957,114.46,96.88499999999999
CKD5,Mann-Whitney U,1.1864369030549834e-05,5.69489713466392e-05,0.00023728738061099667,0.000284744856733196,0.368609465225085,0.3696393268079019,0.03987655179751219,Mann-Whitney r,0.03987655179751219,0.04861479257928424,Positive,0.06083498622600412,Positive,1.2067543687414097,1.391304347826087,1.0,1.0
No.of stents per lesion,Mann-Whitney U,0.00014121979786497457,0.0005648791914598983,0.002683176159434517,0.00338927514875939,0.45796220447890934,0.46209915650687233,0.036543746501660396,Mann-Whitney r,0.036543746501660396,0.06036049706183504,Positive,0.05286212322933037,Positive,1.2132338503828786,1.423913043478261,1.0,1.0
HbA1c,Mann-Whitney U,0.0001975000249745339,0.0006771429427698305,0.00355500044954161,0.004740000599388813,0.2939687186001029,0.29370938857836465,0.05159651044989407,Mann-Whitney r,0.05159651044989407,0.03878733592897861,Positive,0.05169761288782234,Positive,5.8000785391714125,6.274239130434783,5.4,6.45
NO.of vessels,Welch t-test,0.0004766856673643825,0.0014300570020931475,0.008103656345194502,0.01144045601674518,0.38787576599932666,0.38800828003760046,0.047120401668217876,Cohen's d,0.38787576599932666,0.05114928385236095,Positive,0.050256031416824075,Positive,1.8658943648144513,2.1847826086956523,2.0,2.0
Total stent length,Mann-Whitney U,0.0011222634842722242,0.0029927026247259314,0.017956215748355587,0.026934323622533382,0.42972411110245345,0.4325690758822515,0.04506606633944246,Mann-Whitney r,0.04506606633944246,0.05665098561587253,Positive,0.045249578762142174,Positive,31.697820537993323,38.45652173913044,28.0,30.0
Fiberinogen,Mann-Whitney U,0.011910976196995151,0.028586342872788363,0.17866464295492726,0.2858634287278836,0.2213158675984057,0.22191593573902524,0.03492370058918193,Mann-Whitney r,0.03492370058918193,0.029210766650388867,Positive,0.034927861390272937,Positive,3.1704162576084824,3.365652173913044,3.03,3.2
Fast-Glu,Mann-Whitney U,0.02458279422964183,0.053635187410127634,0.34415911921498565,0.589987061511404,0.4083676209251893,0.4124125273378336,0.031218089547205577,Mann-Whitney r,0.031218089547205577,0.053843912092175504,Positive,0.031221271906484414,Positive,6.700347535833496,7.824239130434783,5.8,6.08
LVEF,Mann-Whitney U,0.03330140576588231,0.06660281153176462,0.43291827495647,0.7992337383811754,-0.13318724860320635,-0.13279308938215997,-0.029340397778766677,Mann-Whitney r,-0.029340397778766677,-0.01758374045024342,Negative,-0.029562026512110113,Negative,55.15393677596701,54.55434782608695,55.0,54.0
HGB,Welch t-test,0.038765041300497856,0.07156623009322681,0.4651804956059743,0.9303609912119486,0.1791981635572917,0.17864777965069598,0.01902431626198737,Cohen's d,0.1791981635572917,0.023655262853439402,Positive,0.019030909025311765,Positive,141.6355782446495,144.5326086956522,143.0,143.0
