Feature,Spearman_Correlation,Abs_Spearman_Correlation
Time since stent implantation,-0.1701274028333615,0.1701274028333615
LV,0.13904593052045985,0.13904593052045985
WBC,0.13001371135378229,0.13001371135378229
eGFR,-0.09634234693877902,0.09634234693877902
No postdilation,0.08926551318755811,0.08926551318755811
1.1:1Post dilation,-0.08926551318755811,0.08926551318755811
Previous PCI,0.0849734992375434,0.0849734992375434
CKD90,0.06260233311723949,0.06260233311723949
CKD5,0.06083498622600412,0.06083498622600412
No.of stents per lesion,0.05286212322933037,0.05286212322933037
3-vessel disease,0.052002690959526386,0.052002690959526386
HbA1c,0.05169761288782234,0.05169761288782234
NO.of vessels,0.050256031416824075,0.050256031416824075
Total stent length,0.045249578762142174,0.045249578762142174
Clopidogrel,-0.04252747824350305,0.04252747824350305
Diabetes,0.04155470078687838,0.04155470078687838
PES,0.0395301768565735,0.0395301768565735
Single-vessel disease,-0.03803974930657197,0.03803974930657197
Multi-vessel CAD,0.03803974930657197,0.03803974930657197
Aspirin,-0.035005388573315345,0.035005388573315345
Fiberinogen,0.034927861390272937,0.034927861390272937
stent overlap,0.03466883869404917,0.03466883869404917
TIMI-0,0.03318034359973481,0.03318034359973481
Pre-TIMI flow-3,-0.03184943834072057,0.03184943834072057
Fast-Glu,0.031221271906484414,0.031221271906484414
Stroke/TIA,0.029607166622360095,0.029607166622360095
LVEF,-0.029562026512110113,0.029562026512110113
CaI,-0.027137917876915846,0.027137917876915846
ZES,-0.026767962377462297,0.026767962377462297
Initial diagnosis-AMI,0.026741827417487467,0.026741827417487467
Bifurcation,0.025259048326055276,0.025259048326055276
EVS,-0.023727094433756913,0.023727094433756913
Min-stent diameter,-0.021746994877033656,0.021746994877033656
Previous MI,0.02114911673724912,0.02114911673724912
NSTEMI,0.021007996317175898,0.021007996317175898
UA,-0.019160116882802017,0.019160116882802017
HGB,0.019030909025311765,0.019030909025311765
Age,0.017371570985608393,0.017371570985608393
DAPT,-0.016827644734030117,0.016827644734030117
Men,0.015381127270744045,0.015381127270744045
LDL,0.013602140563068176,0.013602140563068176
Vessel dialation,0.013128245290585537,0.013128245290585537
Previous CABG,0.012846281136686406,0.012846281136686406
Chronic renal insufficiency,0.011437305602621356,0.011437305602621356
2-vessel disease,-0.010176908638922465,0.010176908638922465
Aneurysm,0.010030342109727445,0.010030342109727445
Cardiogenic shock,0.009955336219168817,0.009955336219168817
TG,0.008130848517781966,0.008130848517781966
Hypertension,0.007956940884434693,0.007956940884434693
Thrombus aspiration,-0.00778925484219816,0.00778925484219816
CKD60,0.0070763263624839794,0.0070763263624839794
Ticagrelor,-0.0068383471685162026,0.0068383471685162026
Current smoker,0.006759053022342914,0.006759053022342914
HDL,-0.005880571370257805,0.005880571370257805
Ulceration,0.005207832049074493,0.005207832049074493
STEMI,0.004972991181227142,0.004972991181227142
History of peripheral vascualr disease,0.004960335546321406,0.004960335546321406
P-RCA,0.004540118554885847,0.004540118554885847
TCL,0.004308511921676105,0.004308511921676105
P-LCX,0.0042574685092587085,0.0042574685092587085
P-LAD,-0.0041605192242959,0.0041605192242959
History of HF,-0.0039244830738059166,0.0039244830738059166
No reflow,0.0034924449782961497,0.0034924449782961497
HL,-0.0034535365775895614,0.0034535365775895614
Platelet,0.003233221942598684,0.003233221942598684
Max-stent diameter,0.003050729816793242,0.003050729816793242
TIMI-1,0.0028579380083987066,0.0028579380083987066
Visual thrombus,-0.00279264155882293,0.00279264155882293
Slow flow,-0.0026241244031535355,0.0026241244031535355
Current drinking,-0.002291695721226036,0.002291695721226036
Moderate/severe calcification,-0.002225286875729492,0.002225286875729492
TIMI-2,-0.002154299582818895,0.002154299582818895
Cre,0.002122905821367876,0.002122905821367876
Stent release pressure,-0.0017255356232526717,0.0017255356232526717
Chronic total occlusion,-0.001676902557555037,0.001676902557555037
P-LM,0.0014202051765245254,0.0014202051765245254
Staged PCI,0.0012573507159787994,0.0012573507159787994
Lesion location-Ostial,-0.0010875294171319393,0.0010875294171319393
Moderate/severe tortuosity,-0.0008825544218353464,0.0008825544218353464
Dissection,0.0008655585864964842,0.0008655585864964842
Proximal,0.0003677111441785985,0.0003677111441785985
