iter	Logloss
0	0.6189707678
1	0.5913612459
2	0.5411545383
3	0.5015215623
4	0.4715349281
5	0.4242304334
6	0.3966719459
7	0.3889688297
8	0.3755473969
9	0.3565977607
10	0.3402522228
11	0.3292398461
12	0.3202025194
13	0.3138557061
14	0.305276738
15	0.292716224
16	0.2829743156
17	0.2744310709
18	0.2706311635
19	0.2629260974
20	0.2553026279
21	0.2520169629
22	0.2457010996
23	0.2418704807
24	0.2386255134
25	0.2266430551
26	0.2218790591
27	0.2164216048
28	0.2103707352
29	0.2064512047
30	0.2026085543
31	0.1943853533
32	0.1908947015
33	0.1885582611
34	0.1858568224
35	0.1828594304
36	0.1782213125
37	0.1748382389
38	0.1715335587
39	0.1664779714
40	0.1635848904
41	0.1602378006
42	0.1579226434
43	0.1544136267
44	0.1518285928
45	0.1502120864
46	0.1494409614
47	0.1484029002
48	0.1473971475
49	0.1455654767
