iter	Passed	Remaining
0	7	6629
1	15	6463
2	23	6540
3	31	6544
4	40	6714
5	48	6736
6	56	6764
7	67	7023
8	78	7258
9	90	7484
10	101	7605
11	109	7566
12	118	7547
13	127	7519
14	136	7506
15	145	7471
16	153	7425
17	160	7338
18	168	7277
19	176	7208
20	183	7156
21	191	7119
22	198	7056
23	206	7002
24	213	6944
25	220	6892
26	227	6849
27	234	6805
28	242	6773
29	249	6735
30	257	6705
31	265	6685
32	272	6653
33	279	6618
34	287	6596
35	294	6568
36	302	6551
37	309	6528
38	317	6510
39	324	6486
40	332	6480
41	341	6485
42	350	6486
43	357	6464
44	365	6440
45	372	6418
46	380	6403
47	387	6388
48	394	6368
49	402	6350
50	409	6334
51	417	6321
52	425	6315
53	433	6308
54	442	6302
55	449	6287
56	457	6281
57	466	6279
58	474	6276
59	497	6460
60	510	6507
61	527	6605
62	612	7544
63	641	7773
64	653	7777
65	665	7793
66	677	7804
67	686	7788
68	695	7760
69	704	7734
70	712	7706
71	721	7682
72	731	7678
73	741	7667
74	751	7655
75	761	7648
76	772	7643
77	782	7632
78	790	7608
79	799	7585
80	808	7562
81	816	7539
82	825	7514
83	833	7491
84	841	7468
85	850	7447
86	859	7425
87	867	7403
88	875	7381
89	884	7362
90	892	7339
91	901	7319
92	909	7298
93	918	7282
94	927	7261
95	935	7239
96	943	7220
97	952	7203
98	961	7188
99	970	7170
100	978	7150
101	986	7131
102	995	7113
103	1004	7095
104	1012	7074
105	1020	7057
106	1028	7038
107	1037	7020
108	1045	7004
109	1054	6988
110	1063	6972
111	1071	6957
112	1080	6939
113	1088	6924
114	1097	6906
115	1105	6890
116	1114	6875
117	1122	6861
118	1131	6844
119	1139	6827
120	1148	6814
121	1157	6800
122	1165	6787
123	1174	6773
124	1183	6759
125	1192	6745
126	1200	6731
127	1209	6717
128	1217	6702
129	1226	6688
130	1235	6676
131	1243	6662
132	1252	6648
133	1261	6635
134	1269	6620
135	1277	6606
136	1286	6593
137	1295	6579
138	1303	6565
139	1312	6552
140	1320	6539
141	1329	6526
142	1338	6516
143	1347	6503
144	1356	6490
145	1364	6477
146	1373	6464
147	1381	6451
148	1390	6439
149	1399	6427
150	1408	6415
151	1416	6402
152	1425	6390
153	1433	6378
154	1442	6366
155	1451	6356
156	1460	6346
157	1469	6333
158	1478	6324
159	1487	6313
160	1496	6302
161	1505	6290
162	1515	6285
163	1523	6268
164	1530	6252
165	1538	6236
166	1546	6221
167	1553	6205
168	1562	6193
169	1570	6180
170	1578	6166
171	1586	6153
172	1594	6138
173	1603	6127
174	1611	6112
175	1618	6097
176	1626	6084
177	1634	6070
178	1642	6056
179	1649	6040
180	1658	6029
181	1667	6018
182	1675	6005
183	1682	5990
184	1690	5976
185	1698	5962
186	1705	5947
187	1713	5933
188	1720	5918
189	1728	5905
190	1737	5893
191	1744	5879
192	1752	5866
193	1760	5852
194	1768	5839
195	1776	5826
196	1784	5815
197	1792	5804
198	1801	5795
199	1811	5788
200	1820	5778
201	1829	5769
202	1838	5759
203	1846	5747
204	1854	5734
205	1864	5730
206	1876	5729
207	1886	5723
208	1894	5711
209	1902	5699
210	1911	5688
211	1919	5678
212	1928	5666
213	1936	5655
214	1945	5645
215	1953	5634
216	1961	5622
217	1969	5611
218	1977	5599
219	1987	5592
220	1995	5580
221	2003	5567
222	2012	5559
223	2020	5548
224	2029	5537
225	2037	5525
226	2045	5514
227	2053	5503
228	2061	5492
229	2070	5481
230	2078	5470
231	2086	5460
232	2095	5450
233	2104	5441
234	2112	5430
235	2121	5419
236	2129	5408
237	2137	5396
238	2145	5386
239	2154	5376
240	2163	5367
241	2171	5356
242	2179	5346
243	2188	5335
244	2196	5325
245	2205	5315
246	2212	5303
247	2221	5293
248	2229	5282
249	2237	5272
250	2246	5261
251	2254	5251
252	2262	5240
253	2270	5229
254	2278	5219
255	2287	5209
256	2295	5198
257	2303	5187
258	2311	5176
259	2320	5166
260	2328	5156
261	2336	5146
262	2345	5136
263	2353	5126
264	2363	5118
265	2372	5109
