rank,model,algorithm,metric,step,feature,index,holdout_score,marginal_gain
1,lr,FFS,pr_auc,1,LV,7,0.04988876193250547,
2,lr,FFS,pr_auc,2,No.of stents per lesion,6,0.06689002215277362,0.017001260220268148
3,lr,FFS,pr_auc,3,NSTEMI,37,0.0771180789725586,0.010228056819784975
4,lr,FFS,pr_auc,4,Clopidogrel,76,0.08690054622424268,0.00978246725168408
5,lr,FFS,pr_auc,5,Cre,12,0.09342770568520291,0.006527159460960233
6,lr,FFS,pr_auc,6,CKD5,14,0.11134179814229109,0.01791409245708818
7,lr,FFS,pr_auc,7,Men,22,0.1586051019566806,0.04726330381438951
8,lr,FFS,pr_auc,8,eGFR,13,0.18169376895340925,0.023088666996728652
9,lr,FFS,pr_auc,9,HGB,10,0.1946780980742704,0.012984329120861143
10,lr,FFS,pr_auc,10,Previous PCI,33,0.22030269234341776,0.02562459426914737
11,lr,FFS,pr_auc,11,LDL,16,0.22122984677819413,0.0009271544347763672
12,lr,FFS,pr_auc,12,Stent type-SES_xx,86,0.2224031951842931,0.0011733484060989785
