rank,model,algorithm,metric,step,feature,index,holdout_score,marginal_gain
1,xgb_b,FFS,pr_auc,1,CaI,9,0.07437600279802292,
2,xgb_b,FFS,pr_auc,2,PES,67,0.13969184057027678,0.06531583777225386
3,xgb_b,FFS,pr_auc,3,HGB,10,0.19424983770685683,0.05455799713658005
4,xgb_b,FFS,pr_auc,4,No postdilation,72,0.25024371830010167,0.05599388059324484
5,xgb_b,FFS,pr_auc,5,LVEF,8,0.2593756048034847,0.009131886503383035
6,xgb_b,FFS,pr_auc,6,CKD5,14,0.2732670725926784,0.013891467789193701
7,xgb_b,FFS,pr_auc,7,Cre,12,0.3116789934153699,0.038411920822691514
8,xgb_b,FFS,pr_auc,8,eGFR,13,0.45010500363991285,0.13842601022454293
9,xgb_b,FFS,pr_auc,9,Stent type-SES_tivoli,83,0.5208324937293026,0.07072749008938978
10,xgb_b,FFS,pr_auc,10,Total stent length,4,0.5375463369174547,0.016713843188152055
11,xgb_b,FFS,pr_auc,11,Stent type-SES_xiencev,84,0.5758825444256814,0.03833620750822675
12,xgb_b,FFS,pr_auc,12,Previous PCI,33,0.5606711117919396,-0.015211432633741806
