rank,model,algorithm,metric,step,feature,index,holdout_score,marginal_gain
1,xgb,FFS,pr_auc,1,CaI,9,0.07711442064993516,
2,xgb,FFS,pr_auc,2,HGB,10,0.1381046246630497,0.06099020401311454
3,xgb,FFS,pr_auc,3,LVEF,8,0.21466555128458017,0.07656092662153047
4,xgb,FFS,pr_auc,4,1.1:1Post dilation,71,0.24789295880348464,0.03322740751890446
5,xgb,FFS,pr_auc,5,Stent type-SES_xx,86,0.2491858388081641,0.0012928800046794753
6,xgb,FFS,pr_auc,6,Stent type-SES_resolute,82,0.2547425614042071,0.005556722596042979
7,xgb,FFS,pr_auc,7,Stent type-SES_tivoli,83,0.2719280418846795,0.017185480480472415
8,xgb,FFS,pr_auc,8,Initial diagnosis-AMI,35,0.2815068078669234,0.009578765982243886
9,xgb,FFS,pr_auc,9,Stent type-SES_other,80,0.28487347233212457,0.0033666644652011746
10,xgb,FFS,pr_auc,10,eGFR,13,0.27805991733464314,-0.00681355499748143
