rank,model,algorithm,metric,feature,index,importance,score_without,baseline
1,cat,LOCO,pr_auc,eGFR,13,0.22657628298505528,0.34674340622706956,0.5733196892121248
2,cat,LOCO,pr_auc,Cre,12,0.15500389558001748,0.41831579363210736,0.5733196892121248
3,cat,LOCO,pr_auc,Bifurcation,49,0.08178421896249982,0.491535470249625,0.5733196892121248
4,cat,LOCO,pr_auc,Single-vessel disease,41,0.06338910543895737,0.5099305837731675,0.5733196892121248
5,cat,LOCO,pr_auc,HbA1c,20,0.055492832204712794,0.517826857007412,0.5733196892121248
6,cat,LOCO,pr_auc,TIMI-0,61,0.054651426487965504,0.5186682627241593,0.5733196892121248
7,cat,LOCO,pr_auc,LDL,16,0.0517691394115013,0.5215505498006235,0.5733196892121248
8,cat,LOCO,pr_auc,STEMI,36,0.04573711892623922,0.5275825702858856,0.5733196892121248
9,cat,LOCO,pr_auc,Hypertension,24,0.04561678244259215,0.5277029067695327,0.5733196892121248
10,cat,LOCO,pr_auc,Clopidogrel,76,0.04417614916559465,0.5291435400465302,0.5733196892121248
11,cat,LOCO,pr_auc,CKD5,14,0.041742554231396056,0.5315771349807288,0.5733196892121248
12,cat,LOCO,pr_auc,No.of stents per lesion,6,0.028121475697207576,0.5451982135149173,0.5733196892121248
13,cat,LOCO,pr_auc,HGB,10,0.027451004990850403,0.5458686842212744,0.5733196892121248
14,cat,LOCO,pr_auc,stent overlap,70,0.025287608556349928,0.5480320806557749,0.5733196892121248
15,cat,LOCO,pr_auc,LV,7,0.025188661941384027,0.5481310272707408,0.5733196892121248
16,cat,LOCO,pr_auc,TG,18,0.023729436997405484,0.5495902522147194,0.5733196892121248
17,cat,LOCO,pr_auc,Pre-TIMI flow-3,58,0.022685211083873447,0.5506344781282514,0.5733196892121248
18,cat,LOCO,pr_auc,UA,38,0.020785550776853512,0.5525341384352713,0.5733196892121248
19,cat,LOCO,pr_auc,No postdilation,72,0.01820512873657254,0.5551145604755523,0.5733196892121248
20,cat,LOCO,pr_auc,Stent type-SES_xiencev,84,0.012408526333879677,0.5609111628782452,0.5733196892121248
21,cat,LOCO,pr_auc,P-LCX,56,0.011659488283949915,0.5616602009281749,0.5733196892121248
22,cat,LOCO,pr_auc,LVEF,8,0.009348205812631849,0.563971483399493,0.5733196892121248
23,cat,LOCO,pr_auc,2-vessel disease,42,0.008224598057401722,0.5650950911547231,0.5733196892121248
24,cat,LOCO,pr_auc,NSTEMI,37,0.006910221591138965,0.5664094676209859,0.5733196892121248
25,cat,LOCO,pr_auc,Max-stent diameter,3,0.005283307506429358,0.5680363817056955,0.5733196892121248
26,cat,LOCO,pr_auc,Multi-vessel CAD,40,0.004430425055237386,0.5688892641568875,0.5733196892121248
27,cat,LOCO,pr_auc,CKD90,74,0.004063186179983136,0.5692565030321417,0.5733196892121248
28,cat,LOCO,pr_auc,Platelet,11,-0.00048358026962036504,0.5738032694817452,0.5733196892121248
29,cat,LOCO,pr_auc,Previous CABG,32,-0.0036675110671073874,0.5769872002792322,0.5733196892121248
30,cat,LOCO,pr_auc,Fast-Glu,19,-0.003869136702073228,0.5771888259141981,0.5733196892121248
31,cat,LOCO,pr_auc,Total stent length,4,-0.004152832650501925,0.5774725218626268,0.5733196892121248
32,cat,LOCO,pr_auc,Stent type-SES_resolute,82,-0.004289866030213418,0.5776095552423383,0.5733196892121248
33,cat,LOCO,pr_auc,TCL,15,-0.009276475060701062,0.5825961642728259,0.5733196892121248
34,cat,LOCO,pr_auc,Aspirin,75,-0.009507136795686044,0.5828268260078109,0.5733196892121248
35,cat,LOCO,pr_auc,Current smoker,26,-0.010483685598234649,0.5838033748103595,0.5733196892121248
36,cat,LOCO,pr_auc,Stent type-SES_tivoli,83,-0.010973403226059997,0.5842930924381848,0.5733196892121248
37,cat,LOCO,pr_auc,Stent release pressure,5,-0.012150253270241662,0.5854699424823665,0.5733196892121248
38,cat,LOCO,pr_auc,DAPT,78,-0.012153188641894852,0.5854728778540197,0.5733196892121248
39,cat,LOCO,pr_auc,Men,22,-0.013167940193482663,0.5864876294056075,0.5733196892121248
40,cat,LOCO,pr_auc,Initial diagnosis-AMI,35,-0.0133374438027839,0.5866571330149087,0.5733196892121248
41,cat,LOCO,pr_auc,P-LAD,55,-0.016491671223947346,0.5898113604360722,0.5733196892121248
42,cat,LOCO,pr_auc,Proximal,48,-0.017704151947851465,0.5910238411599763,0.5733196892121248
43,cat,LOCO,pr_auc,HDL,17,-0.022919181054509852,0.5962388702666347,0.5733196892121248
44,cat,LOCO,pr_auc,Thrombus aspiration,63,-0.02367040633294104,0.5969900955450659,0.5733196892121248
45,cat,LOCO,pr_auc,Min-stent diameter,2,-0.026552098542774405,0.5998717877548992,0.5733196892121248
46,cat,LOCO,pr_auc,ZES,68,-0.026591561175814404,0.5999112503879392,0.5733196892121248
47,cat,LOCO,pr_auc,NO.of vessels,1,-0.028143712917240937,0.6014634021293658,0.5733196892121248
48,cat,LOCO,pr_auc,CaI,9,-0.03174105778281444,0.6050607469949393,0.5733196892121248
49,cat,LOCO,pr_auc,Stent type-SES_partner,81,-0.034909695656149875,0.6082293848682747,0.5733196892121248
50,cat,LOCO,pr_auc,Current drinking,27,-0.03502013384084002,0.6083398230529649,0.5733196892121248
51,cat,LOCO,pr_auc,1.1:1Post dilation,71,-0.037986567437626184,0.611306256649751,0.5733196892121248
52,cat,LOCO,pr_auc,P-RCA,57,-0.040526853077090697,0.6138465422892155,0.5733196892121248
53,cat,LOCO,pr_auc,Stent type-SES_firebird,79,-0.04565203487129055,0.6189717240834154,0.5733196892121248
54,cat,LOCO,pr_auc,HL,25,-0.050590142485300915,0.6239098316974258,0.5733196892121248
55,cat,LOCO,pr_auc,Previous PCI,33,-0.051408072886079625,0.6247277620982045,0.5733196892121248
56,cat,LOCO,pr_auc,PES,67,-0.052049317169260756,0.6253690063813856,0.5733196892121248
57,cat,LOCO,pr_auc,Fiberinogen,21,-0.06039968228704562,0.6337193714991705,0.5733196892121248
58,cat,LOCO,pr_auc,Diabetes,23,-0.06321039498273273,0.6365300841948576,0.5733196892121248
59,cat,LOCO,pr_auc,Age,0,-0.06572380534190236,0.6390434945540272,0.5733196892121248
60,cat,LOCO,pr_auc,3-vessel disease,43,-0.07676352524711194,0.6500832144592368,0.5733196892121248
