rank,model,algorithm,metric,feature,index,importance,score_without,baseline
1,lgb,LOCO,pr_auc,eGFR,13,0.20659320717526347,0.43845759940396806,0.6450508065792315
2,lgb,LOCO,pr_auc,Cre,12,0.1937116872429122,0.4513391193363193,0.6450508065792315
3,lgb,LOCO,pr_auc,LDL,16,0.12232935380870169,0.5227214527705298,0.6450508065792315
4,lgb,LOCO,pr_auc,Total stent length,4,0.09727183236253345,0.5477789742166981,0.6450508065792315
5,lgb,LOCO,pr_auc,Platelet,11,0.07672359455699651,0.568327212022235,0.6450508065792315
6,lgb,LOCO,pr_auc,Clopidogrel,76,0.0750287964668046,0.5700220101124269,0.6450508065792315
7,lgb,LOCO,pr_auc,LVEF,8,0.07155321312134055,0.573497593457891,0.6450508065792315
8,lgb,LOCO,pr_auc,Stent type-SES_xiencev,84,0.06973170840153686,0.5753190981776947,0.6450508065792315
9,lgb,LOCO,pr_auc,Previous PCI,33,0.0654245265790292,0.5796262800002023,0.6450508065792315
10,lgb,LOCO,pr_auc,Diabetes,23,0.06282386258266237,0.5822269439965692,0.6450508065792315
11,lgb,LOCO,pr_auc,HbA1c,20,0.059809409535987346,0.5852413970432442,0.6450508065792315
12,lgb,LOCO,pr_auc,No postdilation,72,0.057219854080434174,0.5878309524987974,0.6450508065792315
13,lgb,LOCO,pr_auc,DAPT,78,0.05716209825328533,0.5878887083259462,0.6450508065792315
14,lgb,LOCO,pr_auc,Previous MI,34,0.05713891750234834,0.5879118890768832,0.6450508065792315
15,lgb,LOCO,pr_auc,PES,67,0.05394030096380986,0.5911105056154217,0.6450508065792315
16,lgb,LOCO,pr_auc,HDL,17,0.05330210596974905,0.5917487006094825,0.6450508065792315
17,lgb,LOCO,pr_auc,Current smoker,26,0.0529824309635436,0.5920683756156879,0.6450508065792315
18,lgb,LOCO,pr_auc,Stent type-SES_partner,81,0.050702697388949725,0.5943481091902818,0.6450508065792315
19,lgb,LOCO,pr_auc,P-LAD,55,0.049309173951610386,0.5957416326276211,0.6450508065792315
20,lgb,LOCO,pr_auc,Fast-Glu,19,0.04924725850978129,0.5958035480694502,0.6450508065792315
21,lgb,LOCO,pr_auc,TIMI-1,60,0.04714121702929419,0.5979095895499373,0.6450508065792315
22,lgb,LOCO,pr_auc,Cardiogenic shock,39,0.04535252787584565,0.5996982787033859,0.6450508065792315
23,lgb,LOCO,pr_auc,Pre-TIMI flow-3,58,0.04271962224697945,0.6023311843322521,0.6450508065792315
24,lgb,LOCO,pr_auc,Initial diagnosis-AMI,35,0.04266493161687668,0.6023858749623549,0.6450508065792315
25,lgb,LOCO,pr_auc,Max-stent diameter,3,0.04187055371284265,0.6031802528663889,0.6450508065792315
26,lgb,LOCO,pr_auc,Thrombus aspiration,63,0.04122556669724631,0.6038252398819852,0.6450508065792315
27,lgb,LOCO,pr_auc,Age,0,0.03890025291169463,0.6061505536675369,0.6450508065792315
28,lgb,LOCO,pr_auc,ZES,68,0.03837899913528231,0.6066718074439492,0.6450508065792315
29,lgb,LOCO,pr_auc,Men,22,0.03705842227035905,0.6079923843088725,0.6450508065792315
30,lgb,LOCO,pr_auc,P-RCA,57,0.03692707079626434,0.6081237357829672,0.6450508065792315
31,lgb,LOCO,pr_auc,Lesion location-Ostial,47,0.036058638814917554,0.608992167764314,0.6450508065792315
32,lgb,LOCO,pr_auc,2-vessel disease,42,0.03585348748641548,0.609197319092816,0.6450508065792315
33,lgb,LOCO,pr_auc,Proximal,48,0.032324343315834114,0.6127264632633974,0.6450508065792315
34,lgb,LOCO,pr_auc,Stroke/TIA,28,0.031681359806403075,0.6133694467728285,0.6450508065792315
35,lgb,LOCO,pr_auc,Current drinking,27,0.029747601589145023,0.6153032049900865,0.6450508065792315
36,lgb,LOCO,pr_auc,Hypertension,24,0.02765917631148307,0.6173916302677485,0.6450508065792315
37,lgb,LOCO,pr_auc,LV,7,0.026615440472275376,0.6184353661069562,0.6450508065792315
38,lgb,LOCO,pr_auc,TCL,15,0.026529612527380064,0.6185211940518515,0.6450508065792315
39,lgb,LOCO,pr_auc,Bifurcation,49,0.025159105841137896,0.6198917007380936,0.6450508065792315
40,lgb,LOCO,pr_auc,Previous CABG,32,0.025033465556292933,0.6200173410229386,0.6450508065792315
41,lgb,LOCO,pr_auc,Visual thrombus,50,0.02403236513271656,0.621018441446515,0.6450508065792315
42,lgb,LOCO,pr_auc,Staged PCI,62,0.020653701757173404,0.6243971048220581,0.6450508065792315
43,lgb,LOCO,pr_auc,Aspirin,75,0.018704190304152712,0.6263466162750788,0.6450508065792315
44,lgb,LOCO,pr_auc,Stent type-SES_xx,86,0.015053879269981696,0.6299969273092498,0.6450508065792315
45,lgb,LOCO,pr_auc,STEMI,36,0.014080276795325197,0.6309705297839063,0.6450508065792315
46,lgb,LOCO,pr_auc,Stent release pressure,5,0.013751414680134966,0.6312993918990966,0.6450508065792315
47,lgb,LOCO,pr_auc,Stent type-SES_tivoli,83,0.011564134219789635,0.6334866723594419,0.6450508065792315
48,lgb,LOCO,pr_auc,Min-stent diameter,2,0.010939787626277009,0.6341110189529545,0.6450508065792315
49,lgb,LOCO,pr_auc,NSTEMI,37,0.009672629488888806,0.6353781770903427,0.6450508065792315
50,lgb,LOCO,pr_auc,HGB,10,0.0077809056742358385,0.6372699009049957,0.6450508065792315
51,lgb,LOCO,pr_auc,HL,25,0.006507791852052747,0.6385430147271788,0.6450508065792315
52,lgb,LOCO,pr_auc,1.1:1Post dilation,71,0.0,0.6450508065792315,0.6450508065792315
53,lgb,LOCO,pr_auc,NO.of vessels,1,0.0,0.6450508065792315,0.6450508065792315
54,lgb,LOCO,pr_auc,3-vessel disease,43,0.0,0.6450508065792315,0.6450508065792315
55,lgb,LOCO,pr_auc,TG,18,-0.00688436708749518,0.6519351736667267,0.6450508065792315
56,lgb,LOCO,pr_auc,Moderate/severe calcification,45,-0.00797866785033019,0.6530294744295617,0.6450508065792315
57,lgb,LOCO,pr_auc,UA,38,-0.008650262639350648,0.6537010692185822,0.6450508065792315
