rank,model,algorithm,metric,feature,index,importance,score_without,baseline
1,lr,LOCO,pr_auc,Men,22,0.12120855160971561,0.21008866608761156,0.3312972176973272
2,lr,LOCO,pr_auc,Stent type-SES_xiencev,84,0.11579198483190667,0.2155052328654205,0.3312972176973272
3,lr,LOCO,pr_auc,Stent type-SES_other,80,0.10448267274468845,0.22681454495263872,0.3312972176973272
4,lr,LOCO,pr_auc,Cre,12,0.09599505429617691,0.23530216340115026,0.3312972176973272
5,lr,LOCO,pr_auc,LV,7,0.07699112130673813,0.25430609639058904,0.3312972176973272
6,lr,LOCO,pr_auc,Initial diagnosis-AMI,35,0.07195136816242387,0.2593458495349033,0.3312972176973272
7,lr,LOCO,pr_auc,TG,18,0.053086762021691714,0.27821045567563546,0.3312972176973272
8,lr,LOCO,pr_auc,Clopidogrel,76,0.045022320879091415,0.28627489681823576,0.3312972176973272
9,lr,LOCO,pr_auc,Fiberinogen,21,0.038634906042618156,0.292662311654709,0.3312972176973272
10,lr,LOCO,pr_auc,DAPT,78,0.038549290647648005,0.29274792704967917,0.3312972176973272
11,lr,LOCO,pr_auc,Min-stent diameter,2,0.038501282148850846,0.2927959355484763,0.3312972176973272
12,lr,LOCO,pr_auc,eGFR,13,0.03066200139933828,0.3006352162979889,0.3312972176973272
13,lr,LOCO,pr_auc,STEMI,36,0.02744553277392575,0.3038516849234014,0.3312972176973272
14,lr,LOCO,pr_auc,TCL,15,0.027028148882751513,0.30426906881457566,0.3312972176973272
15,lr,LOCO,pr_auc,Total stent length,4,0.023328598642140375,0.3079686190551868,0.3312972176973272
16,lr,LOCO,pr_auc,UA,38,0.021240166216725087,0.3100570514806021,0.3312972176973272
17,lr,LOCO,pr_auc,History of peripheral vascualr disease,29,0.020285367120679354,0.3110118505766478,0.3312972176973272
18,lr,LOCO,pr_auc,Current smoker,26,0.018496337670867835,0.31280088002645934,0.3312972176973272
19,lr,LOCO,pr_auc,Ticagrelor,77,0.0170990086591728,0.3141982090381544,0.3312972176973272
20,lr,LOCO,pr_auc,Chronic total occlusion,44,0.015613543743522973,0.3156836739538042,0.3312972176973272
21,lr,LOCO,pr_auc,Aspirin,75,0.015469301819590775,0.3158279158777364,0.3312972176973272
22,lr,LOCO,pr_auc,Max-stent diameter,3,0.015179005412745528,0.31611821228458165,0.3312972176973272
23,lr,LOCO,pr_auc,P-LM,54,0.014996040853561154,0.316301176843766,0.3312972176973272
24,lr,LOCO,pr_auc,Stent type-SES_partner,81,0.014087231590423521,0.31720998610690365,0.3312972176973272
25,lr,LOCO,pr_auc,LVEF,8,0.012991280494218216,0.31830593720310896,0.3312972176973272
26,lr,LOCO,pr_auc,Previous PCI,33,0.012965964095859595,0.3183312536014676,0.3312972176973272
27,lr,LOCO,pr_auc,Thrombus aspiration,63,0.011444861270626772,0.3198523564267004,0.3312972176973272
28,lr,LOCO,pr_auc,EVS,69,0.010998236387191107,0.32029898131013607,0.3312972176973272
29,lr,LOCO,pr_auc,Diabetes,23,0.010530685147160268,0.3207665325501669,0.3312972176973272
30,lr,LOCO,pr_auc,NSTEMI,37,0.010239858245345068,0.3210573594519821,0.3312972176973272
31,lr,LOCO,pr_auc,Visual thrombus,50,0.01015044292507139,0.3211467747722558,0.3312972176973272
32,lr,LOCO,pr_auc,No.of stents per lesion,6,0.009531199616878927,0.32176601808044825,0.3312972176973272
33,lr,LOCO,pr_auc,Current drinking,27,0.009137607080575594,0.3221596106167516,0.3312972176973272
34,lr,LOCO,pr_auc,Vessel dialation,52,0.008679289368966336,0.32261792832836084,0.3312972176973272
35,lr,LOCO,pr_auc,History of HF,31,0.008021707283669022,0.32327551041365815,0.3312972176973272
36,lr,LOCO,pr_auc,PES,67,0.007971592258538496,0.3233256254387887,0.3312972176973272
37,lr,LOCO,pr_auc,Stent type-SES_resolute,82,0.007084634581419502,0.32421258311590767,0.3312972176973272
38,lr,LOCO,pr_auc,P-LCX,56,0.006487410081718881,0.3248098076156083,0.3312972176973272
39,lr,LOCO,pr_auc,Stent type-SES_firebird,79,0.0038440438917144992,0.3274531738056127,0.3312972176973272
40,lr,LOCO,pr_auc,stent overlap,70,0.0031620715513153153,0.32813514614601186,0.3312972176973272
41,lr,LOCO,pr_auc,ZES,68,0.0023246497310158154,0.32897256796631136,0.3312972176973272
42,lr,LOCO,pr_auc,TIMI-0,61,0.0012710571459862985,0.3300261605513409,0.3312972176973272
43,lr,LOCO,pr_auc,LDL,16,0.0007597532735827972,0.3305374644237444,0.3312972176973272
44,lr,LOCO,pr_auc,HL,25,0.0005851028655191048,0.33071211483180807,0.3312972176973272
45,lr,LOCO,pr_auc,TIMI-2,59,0.00012047914333562781,0.33117673855399155,0.3312972176973272
46,lr,LOCO,pr_auc,Pre-TIMI flow-3,58,-1.7575669756519918e-05,0.3313147933670837,0.3312972176973272
47,lr,LOCO,pr_auc,CKD90,74,-0.0002493012873279743,0.33154651898465515,0.3312972176973272
48,lr,LOCO,pr_auc,Stent type-SES_xv,85,-0.0008334015636844994,0.3321306192610117,0.3312972176973272
49,lr,LOCO,pr_auc,1.1:1Post dilation,71,-0.0010809149185067035,0.3323781326158339,0.3312972176973272
50,lr,LOCO,pr_auc,No postdilation,72,-0.0010809149185067035,0.3323781326158339,0.3312972176973272
51,lr,LOCO,pr_auc,Stent type-SES_xx,86,-0.0012566926944158063,0.332553910391743,0.3312972176973272
52,lr,LOCO,pr_auc,P-RCA,57,-0.0015361502512110659,0.33283336794853824,0.3312972176973272
53,lr,LOCO,pr_auc,CKD5,14,-0.0016953163783376413,0.3329925340756648,0.3312972176973272
54,lr,LOCO,pr_auc,CKD60,73,-0.0018122237985180312,0.3331094414958452,0.3312972176973272
