rank,model,algorithm,metric,feature,index,importance,score_without,baseline
1,rf_b,LOCO,pr_auc,eGFR,13,0.16896059932429636,0.37780571700795246,0.5467663163322488
2,rf_b,LOCO,pr_auc,Platelet,11,0.11578006301561228,0.43098625331663654,0.5467663163322488
3,rf_b,LOCO,pr_auc,Fast-Glu,19,0.10910464496176586,0.43766167137048295,0.5467663163322488
4,rf_b,LOCO,pr_auc,ZES,68,0.10879223807599886,0.43797407825624995,0.5467663163322488
5,rf_b,LOCO,pr_auc,Cre,12,0.09765433930836892,0.4491119770238799,0.5467663163322488
6,rf_b,LOCO,pr_auc,CaI,9,0.09675551747343658,0.45001079885881223,0.5467663163322488
7,rf_b,LOCO,pr_auc,Clopidogrel,76,0.09540878124145363,0.4513575350907952,0.5467663163322488
8,rf_b,LOCO,pr_auc,HbA1c,20,0.0921580230387663,0.4546082932934825,0.5467663163322488
9,rf_b,LOCO,pr_auc,Thrombus aspiration,63,0.09069070570786353,0.4560756106243853,0.5467663163322488
10,rf_b,LOCO,pr_auc,EVS,69,0.08808409665018657,0.45868221968206224,0.5467663163322488
11,rf_b,LOCO,pr_auc,TIMI-0,61,0.08314969403188444,0.4636166223003644,0.5467663163322488
12,rf_b,LOCO,pr_auc,Stent type-SES_xiencev,84,0.08225677525712521,0.4645095410751236,0.5467663163322488
13,rf_b,LOCO,pr_auc,CKD90,74,0.07870434396682119,0.4680619723654276,0.5467663163322488
14,rf_b,LOCO,pr_auc,No.of stents per lesion,6,0.0766063343947217,0.4701599819375271,0.5467663163322488
15,rf_b,LOCO,pr_auc,Stent type-SES_partner,81,0.07514092809832368,0.47162538823392514,0.5467663163322488
16,rf_b,LOCO,pr_auc,PES,67,0.07231719520122726,0.47444912113102156,0.5467663163322488
17,rf_b,LOCO,pr_auc,P-LCX,56,0.0717017778473002,0.4750645384849486,0.5467663163322488
18,rf_b,LOCO,pr_auc,HDL,17,0.07143223576874869,0.4753340805635001,0.5467663163322488
19,rf_b,LOCO,pr_auc,DAPT,78,0.07008202881468467,0.47668428751756414,0.5467663163322488
20,rf_b,LOCO,pr_auc,Previous PCI,33,0.06688096747789679,0.479885348854352,0.5467663163322488
21,rf_b,LOCO,pr_auc,LVEF,8,0.06663350887369945,0.48013280745854936,0.5467663163322488
22,rf_b,LOCO,pr_auc,Max-stent diameter,3,0.06565355083662533,0.4811127654956235,0.5467663163322488
