rank,model,algorithm,metric,feature,index,importance,score_without,baseline
1,rf,LOCO,pr_auc,eGFR,13,0.1565324576650981,0.36656393037024687,0.523096388035345
2,rf,LOCO,pr_auc,HGB,10,0.07866787732173436,0.4444285107136106,0.523096388035345
3,rf,LOCO,pr_auc,Cre,12,0.07415880343255166,0.4489375846027933,0.523096388035345
4,rf,LOCO,pr_auc,Stent type-SES_xiencev,84,0.06670036828414205,0.4563960197512029,0.523096388035345
5,rf,LOCO,pr_auc,Clopidogrel,76,0.0664801037612166,0.45661628427412837,0.523096388035345
6,rf,LOCO,pr_auc,TG,18,0.06072512739036873,0.46237126064497625,0.523096388035345
7,rf,LOCO,pr_auc,LVEF,8,0.05977323949457225,0.4633231485407727,0.523096388035345
8,rf,LOCO,pr_auc,STEMI,36,0.05336492319583719,0.4697314648395078,0.523096388035345
9,rf,LOCO,pr_auc,1.1:1Post dilation,71,0.05332215217506481,0.46977423586028016,0.523096388035345
10,rf,LOCO,pr_auc,Current smoker,26,0.05328478077981508,0.4698116072555299,0.523096388035345
11,rf,LOCO,pr_auc,LV,7,0.05125681722011949,0.4718395708152255,0.523096388035345
12,rf,LOCO,pr_auc,Hypertension,24,0.04933287026022576,0.4737635177751192,0.523096388035345
13,rf,LOCO,pr_auc,Platelet,11,0.046304748225222125,0.47679163981012285,0.523096388035345
14,rf,LOCO,pr_auc,Fast-Glu,19,0.04428052938200833,0.47881585865333665,0.523096388035345
15,rf,LOCO,pr_auc,NSTEMI,37,0.04321098815467195,0.479885399880673,0.523096388035345
16,rf,LOCO,pr_auc,Staged PCI,62,0.041241908321287934,0.48185447971405704,0.523096388035345
17,rf,LOCO,pr_auc,Men,22,0.04011765589504618,0.4829787321402988,0.523096388035345
18,rf,LOCO,pr_auc,CKD90,74,0.037952469659871535,0.48514391837547344,0.523096388035345
19,rf,LOCO,pr_auc,NO.of vessels,1,0.035780688923840065,0.4873156991115049,0.523096388035345
20,rf,LOCO,pr_auc,LDL,16,0.035119844631822106,0.48797654340352287,0.523096388035345
21,rf,LOCO,pr_auc,Max-stent diameter,3,0.03317593600824281,0.48992045202710216,0.523096388035345
22,rf,LOCO,pr_auc,Multi-vessel CAD,40,0.031173117415683238,0.49192327061966173,0.523096388035345
23,rf,LOCO,pr_auc,HbA1c,20,0.030303419212675875,0.4927929688226691,0.523096388035345
24,rf,LOCO,pr_auc,Stent type-SES_resolute,82,0.02962001387282226,0.4934763741625227,0.523096388035345
25,rf,LOCO,pr_auc,Total stent length,4,0.029176675042552336,0.49391971299279264,0.523096388035345
26,rf,LOCO,pr_auc,CaI,9,0.02485856521625296,0.498237822819092,0.523096388035345
27,rf,LOCO,pr_auc,Stent type-SES_firebird,79,0.023695542149074322,0.49940084588627065,0.523096388035345
28,rf,LOCO,pr_auc,PES,67,0.023419224466219524,0.49967716356912545,0.523096388035345
29,rf,LOCO,pr_auc,Min-stent diameter,2,0.023305736388790688,0.4997906516465543,0.523096388035345
30,rf,LOCO,pr_auc,HL,25,0.020956094646848777,0.5021402933884962,0.523096388035345
31,rf,LOCO,pr_auc,Diabetes,23,0.017721170358780958,0.505375217676564,0.523096388035345
32,rf,LOCO,pr_auc,TCL,15,0.01762443423679716,0.5054719537985478,0.523096388035345
33,rf,LOCO,pr_auc,2-vessel disease,42,0.016624562034686208,0.5064718260006588,0.523096388035345
34,rf,LOCO,pr_auc,Aspirin,75,0.015937057910252683,0.5071593301250923,0.523096388035345
35,rf,LOCO,pr_auc,UA,38,0.015144794909067394,0.5079515931262776,0.523096388035345
36,rf,LOCO,pr_auc,Stent type-SES_tivoli,83,0.013390375311181923,0.509706012724163,0.523096388035345
37,rf,LOCO,pr_auc,No.of stents per lesion,6,0.01213585715371257,0.5109605308816324,0.523096388035345
38,rf,LOCO,pr_auc,Single-vessel disease,41,0.011491939307752608,0.5116044487275924,0.523096388035345
39,rf,LOCO,pr_auc,P-LCX,56,0.009531812774393189,0.5135645752609518,0.523096388035345
40,rf,LOCO,pr_auc,P-LAD,55,0.007867161855454441,0.5152292261798905,0.523096388035345
41,rf,LOCO,pr_auc,Previous PCI,33,0.004810328599389679,0.5182860594359553,0.523096388035345
42,rf,LOCO,pr_auc,Pre-TIMI flow-3,58,0.004410758544517002,0.518685629490828,0.523096388035345
43,rf,LOCO,pr_auc,P-RCA,57,0.003623429809584189,0.5194729582257608,0.523096388035345
44,rf,LOCO,pr_auc,Initial diagnosis-AMI,35,0.0018859234137601488,0.5212104646215848,0.523096388035345
45,rf,LOCO,pr_auc,TIMI-0,61,0.001104924373781957,0.521991463661563,0.523096388035345
46,rf,LOCO,pr_auc,3-vessel disease,43,5.378305026448871e-06,0.5230910097303185,0.523096388035345
47,rf,LOCO,pr_auc,TIMI-2,59,-0.0012838889407374987,0.5243802769760825,0.523096388035345
48,rf,LOCO,pr_auc,Bifurcation,49,-0.0014676183939867915,0.5245640064293318,0.523096388035345
49,rf,LOCO,pr_auc,CKD5,14,-0.002445063264322256,0.5255414512996672,0.523096388035345
50,rf,LOCO,pr_auc,Proximal,48,-0.0035085831491571406,0.5266049711845021,0.523096388035345
51,rf,LOCO,pr_auc,DAPT,78,-0.004083718733803865,0.5271801067691488,0.523096388035345
52,rf,LOCO,pr_auc,HDL,17,-0.00905054796833471,0.5321469360036797,0.523096388035345
53,rf,LOCO,pr_auc,ZES,68,-0.01416642298767623,0.5372628110230212,0.523096388035345
54,rf,LOCO,pr_auc,EVS,69,-0.026185034327657175,0.5492814223630021,0.523096388035345
55,rf,LOCO,pr_auc,No postdilation,72,-0.026818735078373845,0.5499151231137188,0.523096388035345
56,rf,LOCO,pr_auc,Fiberinogen,21,-0.02770761394434529,0.5508040019796903,0.523096388035345
57,rf,LOCO,pr_auc,Age,0,-0.033898103473330776,0.5569944915086757,0.523096388035345
58,rf,LOCO,pr_auc,Stent type-SES_partner,81,-0.03848488839622288,0.5615812764315679,0.523096388035345
59,rf,LOCO,pr_auc,Stent release pressure,5,-0.044347906302451,0.567444294337796,0.523096388035345
60,rf,LOCO,pr_auc,stent overlap,70,-0.04777598977991815,0.5708723778152631,0.523096388035345
