rank,model,algorithm,metric,feature,index,importance,score_without,baseline
1,xgb_b,LOCO,pr_auc,eGFR,13,0.2625390378367861,0.41587819379495483,0.678417231631741
2,xgb_b,LOCO,pr_auc,Cre,12,0.13573390582208766,0.5426833258096533,0.678417231631741
3,xgb_b,LOCO,pr_auc,LV,7,0.10608622768537712,0.5723310039463638,0.678417231631741
4,xgb_b,LOCO,pr_auc,Men,22,0.09004418729722752,0.5883730443345134,0.678417231631741
5,xgb_b,LOCO,pr_auc,Fast-Glu,19,0.08470788953433928,0.5937093420974017,0.678417231631741
6,xgb_b,LOCO,pr_auc,History of HF,31,0.08302595781171529,0.5953912738200257,0.678417231631741
7,xgb_b,LOCO,pr_auc,HbA1c,20,0.08002847659357548,0.5983887550381655,0.678417231631741
8,xgb_b,LOCO,pr_auc,Stent type-SES_xx,86,0.07251784889320823,0.6058993827385327,0.678417231631741
9,xgb_b,LOCO,pr_auc,Pre-TIMI flow-3,58,0.07240993312127886,0.6060072985104621,0.678417231631741
10,xgb_b,LOCO,pr_auc,Stent type-SES_partner,81,0.06559856875890491,0.612818662872836,0.678417231631741
11,xgb_b,LOCO,pr_auc,CKD5,14,0.06444279779943973,0.6139744338323012,0.678417231631741
12,xgb_b,LOCO,pr_auc,P-RCA,57,0.058265824754096696,0.6201514068776443,0.678417231631741
13,xgb_b,LOCO,pr_auc,Stent type-SES_xiencev,84,0.05146639786145102,0.6269508337702899,0.678417231631741
14,xgb_b,LOCO,pr_auc,Cardiogenic shock,39,0.05049739418185328,0.6279198374498877,0.678417231631741
15,xgb_b,LOCO,pr_auc,TIMI-2,59,0.04692827913736486,0.6314889524943761,0.678417231631741
16,xgb_b,LOCO,pr_auc,HGB,10,0.046239070737903676,0.6321781608938373,0.678417231631741
17,xgb_b,LOCO,pr_auc,LVEF,8,0.046018123503134944,0.632399108128606,0.678417231631741
18,xgb_b,LOCO,pr_auc,LDL,16,0.04561714155363894,0.632800090078102,0.678417231631741
19,xgb_b,LOCO,pr_auc,Lesion location-Ostial,47,0.04502104055877698,0.633396191072964,0.678417231631741
20,xgb_b,LOCO,pr_auc,NSTEMI,37,0.04401331724698532,0.6344039143847556,0.678417231631741
21,xgb_b,LOCO,pr_auc,Clopidogrel,76,0.042647232553706726,0.6357699990780342,0.678417231631741
22,xgb_b,LOCO,pr_auc,Stent type-SES_tivoli,83,0.04230163267321618,0.6361155989585248,0.678417231631741
23,xgb_b,LOCO,pr_auc,TG,18,0.03786002482434947,0.6405572068073915,0.678417231631741
24,xgb_b,LOCO,pr_auc,NO.of vessels,1,0.034953182829754015,0.6434640488019869,0.678417231631741
25,xgb_b,LOCO,pr_auc,DAPT,78,0.0317072457914257,0.6467099858403152,0.678417231631741
26,xgb_b,LOCO,pr_auc,TCL,15,0.028428872920658765,0.6499883587110822,0.678417231631741
27,xgb_b,LOCO,pr_auc,Total stent length,4,0.02825372728506692,0.650163504346674,0.678417231631741
28,xgb_b,LOCO,pr_auc,EVS,69,0.027829984626162485,0.6505872470055785,0.678417231631741
29,xgb_b,LOCO,pr_auc,Thrombus aspiration,63,0.027479817507921278,0.6509374141238197,0.678417231631741
30,xgb_b,LOCO,pr_auc,Age,0,0.025554717706088526,0.6528625139256524,0.678417231631741
31,xgb_b,LOCO,pr_auc,TIMI-1,60,0.02537630484301434,0.6530409267887266,0.678417231631741
32,xgb_b,LOCO,pr_auc,No.of stents per lesion,6,0.024563019062806668,0.6538542125689343,0.678417231631741
33,xgb_b,LOCO,pr_auc,PES,67,0.02213807231203757,0.6562791593197034,0.678417231631741
34,xgb_b,LOCO,pr_auc,No reflow,65,0.021744837423002594,0.6566723942087384,0.678417231631741
35,xgb_b,LOCO,pr_auc,Ticagrelor,77,0.020872309991088467,0.6575449216406525,0.678417231631741
36,xgb_b,LOCO,pr_auc,Proximal,48,0.020189370836948828,0.6582278607947921,0.678417231631741
37,xgb_b,LOCO,pr_auc,No postdilation,72,0.0192147062846596,0.6592025253470813,0.678417231631741
38,xgb_b,LOCO,pr_auc,Min-stent diameter,2,0.018925401529880093,0.6594918301018609,0.678417231631741
39,xgb_b,LOCO,pr_auc,Chronic total occlusion,44,0.018921814380442492,0.6594954172512985,0.678417231631741
40,xgb_b,LOCO,pr_auc,Platelet,11,0.017932062427757023,0.6604851692039839,0.678417231631741
41,xgb_b,LOCO,pr_auc,STEMI,36,0.01781228074889485,0.6606049508828461,0.678417231631741
42,xgb_b,LOCO,pr_auc,Bifurcation,49,0.013021530109821322,0.6653957015219196,0.678417231631741
43,xgb_b,LOCO,pr_auc,Diabetes,23,0.010548062541362646,0.6678691690903783,0.678417231631741
44,xgb_b,LOCO,pr_auc,Stent type-SES_other,80,0.010220090321893971,0.668197141309847,0.678417231631741
45,xgb_b,LOCO,pr_auc,Previous PCI,33,0.009361517062573932,0.669055714569167,0.678417231631741
46,xgb_b,LOCO,pr_auc,Vessel dialation,52,0.006487446823019938,0.671929784808721,0.678417231631741
47,xgb_b,LOCO,pr_auc,1.1:1Post dilation,71,0.006082731606490532,0.6723345000252504,0.678417231631741
48,xgb_b,LOCO,pr_auc,TIMI-0,61,0.0020403030467057715,0.6763769285850352,0.678417231631741
49,xgb_b,LOCO,pr_auc,Initial diagnosis-AMI,35,0.0011905040714209614,0.67722672756032,0.678417231631741
50,xgb_b,LOCO,pr_auc,HDL,17,-0.003418014600284236,0.6818352462320252,0.678417231631741
