rank,model,algorithm,metric,feature,index,importance,score_without,baseline
1,xgb,LOCO,pr_auc,eGFR,13,0.18048462612037564,0.46141662845384657,0.6419012545742222
2,xgb,LOCO,pr_auc,Cre,12,0.14960070430100253,0.4923005502732197,0.6419012545742222
3,xgb,LOCO,pr_auc,LV,7,0.08437003270373378,0.5575312218704884,0.6419012545742222
4,xgb,LOCO,pr_auc,HbA1c,20,0.04555987581389498,0.5963413787603272,0.6419012545742222
5,xgb,LOCO,pr_auc,Clopidogrel,76,0.036020116042597805,0.6058811385316244,0.6419012545742222
6,xgb,LOCO,pr_auc,Current smoker,26,0.03558412875936856,0.6063171258148536,0.6419012545742222
7,xgb,LOCO,pr_auc,LVEF,8,0.033369360445596796,0.6085318941286254,0.6419012545742222
8,xgb,LOCO,pr_auc,Platelet,11,0.02727286122408701,0.6146283933501352,0.6419012545742222
9,xgb,LOCO,pr_auc,Lesion location-Ostial,47,0.022332879195945954,0.6195683753782762,0.6419012545742222
10,xgb,LOCO,pr_auc,Fast-Glu,19,0.020751795912040016,0.6211494586621822,0.6419012545742222
11,xgb,LOCO,pr_auc,Dissection,66,0.020636787473791163,0.621264467100431,0.6419012545742222
12,xgb,LOCO,pr_auc,STEMI,36,0.019811287592667592,0.6220899669815546,0.6419012545742222
13,xgb,LOCO,pr_auc,UA,38,0.01951648235448189,0.6223847722197403,0.6419012545742222
14,xgb,LOCO,pr_auc,TG,18,0.018253912830292762,0.6236473417439294,0.6419012545742222
15,xgb,LOCO,pr_auc,HGB,10,0.0149357397696398,0.6269655148045824,0.6419012545742222
16,xgb,LOCO,pr_auc,Stent type-SES_xx,86,0.01233933480862126,0.6295619197656009,0.6419012545742222
17,xgb,LOCO,pr_auc,Total stent length,4,0.010089149574493472,0.6318121049997287,0.6419012545742222
18,xgb,LOCO,pr_auc,Proximal,48,0.009053252631105901,0.6328480019431163,0.6419012545742222
19,xgb,LOCO,pr_auc,TCL,15,0.008830384079951847,0.6330708704942704,0.6419012545742222
20,xgb,LOCO,pr_auc,Visual thrombus,50,0.0075361792865993316,0.6343650752876229,0.6419012545742222
21,xgb,LOCO,pr_auc,LDL,16,0.006821257010285908,0.6350799975639363,0.6419012545742222
22,xgb,LOCO,pr_auc,TIMI-0,61,0.006716406785966855,0.6351848477882553,0.6419012545742222
23,xgb,LOCO,pr_auc,Thrombus aspiration,63,0.004308168853630723,0.6375930857205915,0.6419012545742222
24,xgb,LOCO,pr_auc,Diabetes,23,0.00034443318315469096,0.6415568213910675,0.6419012545742222
25,xgb,LOCO,pr_auc,ZES,68,-0.0012228042959097074,0.6431240588701319,0.6419012545742222
26,xgb,LOCO,pr_auc,NSTEMI,37,-0.003467921999920631,0.6453691765741428,0.6419012545742222
27,xgb,LOCO,pr_auc,Current drinking,27,-0.00571197281163438,0.6476132273858566,0.6419012545742222
28,xgb,LOCO,pr_auc,Stent release pressure,5,-0.005874361967580288,0.6477756165418025,0.6419012545742222
29,xgb,LOCO,pr_auc,Chronic renal insufficiency,30,-0.006436610045648106,0.6483378646198703,0.6419012545742222
30,xgb,LOCO,pr_auc,Men,22,-0.006806430409670217,0.6487076849838924,0.6419012545742222
31,xgb,LOCO,pr_auc,Cardiogenic shock,39,-0.00718531704504044,0.6490865716192626,0.6419012545742222
32,xgb,LOCO,pr_auc,1.1:1Post dilation,71,-0.007297076271061798,0.649198330845284,0.6419012545742222
33,xgb,LOCO,pr_auc,No postdilation,72,-0.008104594120235564,0.6500058486944578,0.6419012545742222
34,xgb,LOCO,pr_auc,No reflow,65,-0.009631798760856625,0.6515330533350788,0.6419012545742222
35,xgb,LOCO,pr_auc,Min-stent diameter,2,-0.010302359556246588,0.6522036141304688,0.6419012545742222
36,xgb,LOCO,pr_auc,Stent type-SES_tivoli,83,-0.010533031549257221,0.6524342861234794,0.6419012545742222
37,xgb,LOCO,pr_auc,CaI,9,-0.01318978108696578,0.655091035661188,0.6419012545742222
38,xgb,LOCO,pr_auc,PES,67,-0.013510869949996507,0.6554121245242187,0.6419012545742222
39,xgb,LOCO,pr_auc,Aneurysm,51,-0.015382663151658149,0.6572839177258804,0.6419012545742222
40,xgb,LOCO,pr_auc,stent overlap,70,-0.019257292614277555,0.6611585471884998,0.6419012545742222
41,xgb,LOCO,pr_auc,Previous CABG,32,-0.02124006574681858,0.6631413203210408,0.6419012545742222
42,xgb,LOCO,pr_auc,Slow flow,64,-0.022056402258542995,0.6639576568327652,0.6419012545742222
43,xgb,LOCO,pr_auc,Initial diagnosis-AMI,35,-0.022601492878545737,0.6645027474527679,0.6419012545742222
44,xgb,LOCO,pr_auc,TIMI-1,60,-0.024464484834673117,0.6663657394088953,0.6419012545742222
45,xgb,LOCO,pr_auc,Previous PCI,33,-0.024796770886236996,0.6666980254604592,0.6419012545742222
46,xgb,LOCO,pr_auc,Stent type-SES_other,80,-0.026071299671149073,0.6679725542453713,0.6419012545742222
47,xgb,LOCO,pr_auc,Bifurcation,49,-0.026604642794136657,0.6685058973683589,0.6419012545742222
48,xgb,LOCO,pr_auc,Max-stent diameter,3,-0.0280617499746445,0.6699630045488667,0.6419012545742222
49,xgb,LOCO,pr_auc,P-LCX,56,-0.028336520041571833,0.670237774615794,0.6419012545742222
50,xgb,LOCO,pr_auc,HL,25,-0.02959406502832984,0.671495319602552,0.6419012545742222
51,xgb,LOCO,pr_auc,Stent type-SES_xiencev,84,-0.03088114289899546,0.6727823974732177,0.6419012545742222
52,xgb,LOCO,pr_auc,Stent type-SES_partner,81,-0.03233089844195325,0.6742321530161755,0.6419012545742222
53,xgb,LOCO,pr_auc,Age,0,-0.03437815856420057,0.6762794131384228,0.6419012545742222
54,xgb,LOCO,pr_auc,Previous MI,34,-0.03798159294615999,0.6798828475203822,0.6419012545742222
55,xgb,LOCO,pr_auc,HDL,17,-0.04045679613666642,0.6823580507108886,0.6419012545742222
56,xgb,LOCO,pr_auc,P-RCA,57,-0.04298921290123403,0.6848904674754562,0.6419012545742222
57,xgb,LOCO,pr_auc,Stent type-SES_resolute,82,-0.044233026226085825,0.686134280800308,0.6419012545742222
58,xgb,LOCO,pr_auc,2-vessel disease,42,-0.044276635856188684,0.6861778904304109,0.6419012545742222
59,xgb,LOCO,pr_auc,Moderate/severe calcification,45,-0.04851578674675594,0.6904170413209781,0.6419012545742222
60,xgb,LOCO,pr_auc,Fiberinogen,21,-0.05608209436072231,0.6979833489349445,0.6419012545742222
