model,algorithm,metric,feature,rank,in_topk
cat,LOCO,pr_auc,"Age, years",,False
cat,LOCO,pr_auc,Male sex,,False
cat,LOCO,pr_auc,Current drinking,50.0,True
cat,LOCO,pr_auc,Diabetes mellitus,,False
cat,LOCO,pr_auc,aspirin,,False
cat,LOCO,pr_auc,Hypertension,9.0,True
cat,LOCO,pr_auc,Dapt,,False
cat,LOCO,pr_auc,Dyslipidemia,,False
cat,LOCO,pr_auc,HbA1C,,False
cat,LOCO,pr_auc,Clopidogrel,10.0,True
cat,LOCO,pr_auc,Current smoker,35.0,True
cat,SHAP,pr_auc,"Age, years",,False
cat,SHAP,pr_auc,Male sex,,False
cat,SHAP,pr_auc,Current drinking,,False
cat,SHAP,pr_auc,Diabetes mellitus,,False
cat,SHAP,pr_auc,aspirin,,False
cat,SHAP,pr_auc,Hypertension,,False
cat,SHAP,pr_auc,Dapt,,False
cat,SHAP,pr_auc,Dyslipidemia,,False
cat,SHAP,pr_auc,HbA1C,,False
cat,SHAP,pr_auc,Clopidogrel,12.0,True
cat,SHAP,pr_auc,Current smoker,14.0,True
cat,FFS,pr_auc,"Age, years",,False
cat,FFS,pr_auc,Male sex,,False
cat,FFS,pr_auc,Current drinking,,False
cat,FFS,pr_auc,Diabetes mellitus,,False
cat,FFS,pr_auc,aspirin,,False
cat,FFS,pr_auc,Hypertension,,False
cat,FFS,pr_auc,Dapt,,False
cat,FFS,pr_auc,Dyslipidemia,,False
cat,FFS,pr_auc,HbA1C,,False
cat,FFS,pr_auc,Clopidogrel,7.0,True
cat,FFS,pr_auc,Current smoker,,False
lgb,LOCO,pr_auc,"Age, years",,False
lgb,LOCO,pr_auc,Male sex,,False
lgb,LOCO,pr_auc,Current drinking,35.0,True
lgb,LOCO,pr_auc,Diabetes mellitus,,False
lgb,LOCO,pr_auc,aspirin,,False
lgb,LOCO,pr_auc,Hypertension,36.0,True
lgb,LOCO,pr_auc,Dapt,,False
lgb,LOCO,pr_auc,Dyslipidemia,,False
lgb,LOCO,pr_auc,HbA1C,,False
lgb,LOCO,pr_auc,Clopidogrel,6.0,True
lgb,LOCO,pr_auc,Current smoker,17.0,True
lgb,SHAP,pr_auc,"Age, years",,False
lgb,SHAP,pr_auc,Male sex,,False
lgb,SHAP,pr_auc,Current drinking,10.0,True
lgb,SHAP,pr_auc,Diabetes mellitus,,False
lgb,SHAP,pr_auc,aspirin,,False
lgb,SHAP,pr_auc,Hypertension,,False
lgb,SHAP,pr_auc,Dapt,,False
lgb,SHAP,pr_auc,Dyslipidemia,,False
lgb,SHAP,pr_auc,HbA1C,,False
lgb,SHAP,pr_auc,Clopidogrel,,False
lgb,SHAP,pr_auc,Current smoker,28.0,True
lgb,FFS,pr_auc,"Age, years",,False
lgb,FFS,pr_auc,Male sex,,False
lgb,FFS,pr_auc,Current drinking,,False
lgb,FFS,pr_auc,Diabetes mellitus,,False
lgb,FFS,pr_auc,aspirin,,False
lgb,FFS,pr_auc,Hypertension,,False
lgb,FFS,pr_auc,Dapt,,False
lgb,FFS,pr_auc,Dyslipidemia,,False
lgb,FFS,pr_auc,HbA1C,,False
lgb,FFS,pr_auc,Clopidogrel,,False
lgb,FFS,pr_auc,Current smoker,,False
lr,LOCO,pr_auc,"Age, years",,False
lr,LOCO,pr_auc,Male sex,,False
lr,LOCO,pr_auc,Current drinking,33.0,True
lr,LOCO,pr_auc,Diabetes mellitus,,False
lr,LOCO,pr_auc,aspirin,,False
lr,LOCO,pr_auc,Hypertension,,False
lr,LOCO,pr_auc,Dapt,,False
lr,LOCO,pr_auc,Dyslipidemia,,False
lr,LOCO,pr_auc,HbA1C,,False
lr,LOCO,pr_auc,Clopidogrel,8.0,True
lr,LOCO,pr_auc,Current smoker,18.0,True
lr,SHAP,pr_auc,"Age, years",,False
