rank,model,algorithm,metric,feature,index,shap_value,mean_abs_shap
1,cat,SHAP,pr_auc,eGFR,13,0.16784584065870933,0.16784584065870933
2,cat,SHAP,pr_auc,LV,7,0.13396793360741824,0.13396793360741824
3,cat,SHAP,pr_auc,1.1:1Post dilation,71,0.1136919733793678,0.1136919733793678
4,cat,SHAP,pr_auc,Men,22,0.11033254165601754,0.11033254165601754
5,cat,SHAP,pr_auc,Fiberinogen,21,-0.10370088366617096,0.10370088366617096
6,cat,SHAP,pr_auc,HGB,10,0.08476472830537925,0.08476472830537925
7,cat,SHAP,pr_auc,Cre,12,-0.0821077507761802,0.0821077507761802
8,cat,SHAP,pr_auc,LDL,16,0.08200970954006877,0.08200970954006877
9,cat,SHAP,pr_auc,HbA1c,20,0.07825345313145733,0.07825345313145733
10,cat,SHAP,pr_auc,Initial diagnosis-AMI,35,0.06997303595342082,0.06997303595342082
11,cat,SHAP,pr_auc,CKD5,14,0.050942145365904044,0.050942145365904044
12,cat,SHAP,pr_auc,Clopidogrel,76,0.04765241374974655,0.04765241374974655
13,cat,SHAP,pr_auc,NO.of vessels,1,0.04423528441149061,0.04423528441149061
14,cat,SHAP,pr_auc,Current smoker,26,0.04405073847906621,0.04405073847906621
15,cat,SHAP,pr_auc,Platelet,11,0.04381032905118618,0.04381032905118618
16,cat,SHAP,pr_auc,TCL,15,0.0433307311203157,0.0433307311203157
17,cat,SHAP,pr_auc,No postdilation,72,0.04080920022737512,0.04080920022737512
18,cat,SHAP,pr_auc,P-RCA,57,-0.03899953439200431,0.03899953439200431
19,cat,SHAP,pr_auc,Total stent length,4,-0.03863693638859119,0.03863693638859119
20,cat,SHAP,pr_auc,Stent type-SES_partner,81,0.03728705704429299,0.03728705704429299
21,cat,SHAP,pr_auc,Pre-TIMI flow-3,58,0.03728612169503445,0.03728612169503445
22,cat,SHAP,pr_auc,No.of stents per lesion,6,-0.03447257366864984,0.03447257366864984
23,cat,SHAP,pr_auc,Age,0,-0.030715566128216343,0.030715566128216343
24,cat,SHAP,pr_auc,PES,67,0.0271844986963706,0.0271844986963706
25,cat,SHAP,pr_auc,Previous PCI,33,-0.02353803937779947,0.02353803937779947
26,cat,SHAP,pr_auc,UA,38,0.023007819226503655,0.023007819226503655
27,cat,SHAP,pr_auc,Min-stent diameter,2,0.016409952043280933,0.016409952043280933
28,cat,SHAP,pr_auc,TG,18,0.015695020779844422,0.015695020779844422
29,cat,SHAP,pr_auc,Stent type-SES_tivoli,83,0.01525605573851096,0.01525605573851096
30,cat,SHAP,pr_auc,HDL,17,-0.009014084439792926,0.009014084439792926
31,cat,SHAP,pr_auc,Aspirin,75,-0.00536459280355796,0.00536459280355796
32,cat,SHAP,pr_auc,Stent release pressure,5,-0.003825546975787187,0.003825546975787187
33,cat,SHAP,pr_auc,LVEF,8,-0.0032365189617984693,0.0032365189617984693
34,cat,SHAP,pr_auc,Max-stent diameter,3,-0.0032250995314959197,0.0032250995314959197
35,cat,SHAP,pr_auc,Fast-Glu,19,-0.001011834042595468,0.001011834042595468
36,cat,SHAP,pr_auc,stent overlap,70,0.0008831858488460686,0.0008831858488460686
37,cat,SHAP,pr_auc,STEMI,36,0.0005982890594749962,0.0005982890594749962
38,cat,SHAP,pr_auc,NSTEMI,37,0.0004778097350284843,0.0004778097350284843
39,cat,SHAP,pr_auc,CaI,9,-0.00043927449389964885,0.00043927449389964885
40,cat,SHAP,pr_auc,Stent type-SES_xiencev,84,-0.0002145753211130523,0.0002145753211130523
