rank,model,algorithm,metric,feature,index,shap_value,mean_abs_shap
1,lgb,SHAP,pr_auc,eGFR,13,0.19797565774364806,0.19797565774364806
2,lgb,SHAP,pr_auc,HbA1c,20,0.18864940492050833,0.18864940492050833
3,lgb,SHAP,pr_auc,Cre,12,-0.16116776203616237,0.16116776203616237
4,lgb,SHAP,pr_auc,LDL,16,0.16002219726658146,0.16002219726658146
5,lgb,SHAP,pr_auc,No postdilation,72,0.13446221255553897,0.13446221255553897
6,lgb,SHAP,pr_auc,HGB,10,0.08642090339717326,0.08642090339717326
7,lgb,SHAP,pr_auc,Men,22,0.08022860696895225,0.08022860696895225
8,lgb,SHAP,pr_auc,Initial diagnosis-AMI,35,0.075167487627197,0.075167487627197
9,lgb,SHAP,pr_auc,1.1:1Post dilation,71,0.07011350256455448,0.07011350256455448
10,lgb,SHAP,pr_auc,Current drinking,27,0.06485615613339749,0.06485615613339749
11,lgb,SHAP,pr_auc,CaI,9,-0.06312306856560161,0.06312306856560161
12,lgb,SHAP,pr_auc,LV,7,0.05758491755802068,0.05758491755802068
13,lgb,SHAP,pr_auc,TCL,15,0.056099039910374,0.056099039910374
14,lgb,SHAP,pr_auc,Platelet,11,0.05061233661704051,0.05061233661704051
15,lgb,SHAP,pr_auc,Fiberinogen,21,-0.048391480474457266,0.048391480474457266
16,lgb,SHAP,pr_auc,LVEF,8,0.04261169200965744,0.04261169200965744
17,lgb,SHAP,pr_auc,HDL,17,-0.04181913504096969,0.04181913504096969
18,lgb,SHAP,pr_auc,Fast-Glu,19,-0.038280090609154105,0.038280090609154105
19,lgb,SHAP,pr_auc,Min-stent diameter,2,-0.03755903588837711,0.03755903588837711
20,lgb,SHAP,pr_auc,Max-stent diameter,3,-0.031882595219670164,0.031882595219670164
21,lgb,SHAP,pr_auc,Pre-TIMI flow-3,58,0.024531490574498334,0.024531490574498334
22,lgb,SHAP,pr_auc,Stent type-SES_tivoli,83,0.024007679082388707,0.024007679082388707
23,lgb,SHAP,pr_auc,TG,18,-0.02082674577055347,0.02082674577055347
24,lgb,SHAP,pr_auc,Stent type-SES_xiencev,84,0.01856199922264216,0.01856199922264216
25,lgb,SHAP,pr_auc,Stent release pressure,5,-0.017739074756023113,0.017739074756023113
26,lgb,SHAP,pr_auc,HL,25,-0.01173348490282675,0.01173348490282675
27,lgb,SHAP,pr_auc,Stent type-SES_partner,81,0.010499548734173272,0.010499548734173272
28,lgb,SHAP,pr_auc,Current smoker,26,-0.010304539203836347,0.010304539203836347
29,lgb,SHAP,pr_auc,Stent type-SES_xx,86,-0.010093247899629334,0.010093247899629334
30,lgb,SHAP,pr_auc,P-RCA,57,-0.009983931531220033,0.009983931531220033
31,lgb,SHAP,pr_auc,TIMI-0,61,-0.00904706262242529,0.00904706262242529
32,lgb,SHAP,pr_auc,Thrombus aspiration,63,-0.007137403941246734,0.007137403941246734
33,lgb,SHAP,pr_auc,Aspirin,75,-0.006692702054336757,0.006692702054336757
34,lgb,SHAP,pr_auc,DAPT,78,0.0054576286284256535,0.0054576286284256535
35,lgb,SHAP,pr_auc,Age,0,-0.004741256177444667,0.004741256177444667
36,lgb,SHAP,pr_auc,Bifurcation,49,0.0040056666959796755,0.0040056666959796755
37,lgb,SHAP,pr_auc,Previous PCI,33,-0.003902676597075169,0.003902676597075169
38,lgb,SHAP,pr_auc,STEMI,36,-0.000782191515615166,0.000782191515615166
39,lgb,SHAP,pr_auc,Total stent length,4,0.0002037744645436157,0.0002037744645436157
40,lgb,SHAP,pr_auc,NSTEMI,37,-8.278383358127917e-05,8.278383358127917e-05
