rank,model,algorithm,metric,feature,index,shap_value,mean_abs_shap
1,lr,SHAP,pr_auc,CKD60,73,-0.24246939886114327,0.24246939886114327
2,lr,SHAP,pr_auc,eGFR,13,0.23860098327494605,0.23860098327494605
3,lr,SHAP,pr_auc,P-LM,54,-0.17383796159311932,0.17383796159311932
4,lr,SHAP,pr_auc,DAPT,78,-0.15034796659782482,0.15034796659782482
5,lr,SHAP,pr_auc,Cre,12,-0.1327111381752726,0.1327111381752726
6,lr,SHAP,pr_auc,LDL,16,-0.13018115430209753,0.13018115430209753
7,lr,SHAP,pr_auc,CKD5,14,-0.11759808312848519,0.11759808312848519
8,lr,SHAP,pr_auc,Total stent length,4,-0.1070790803933291,0.1070790803933291
9,lr,SHAP,pr_auc,Min-stent diameter,2,-0.09794728696191832,0.09794728696191832
10,lr,SHAP,pr_auc,Max-stent diameter,3,-0.08859784461813743,0.08859784461813743
11,lr,SHAP,pr_auc,Clopidogrel,76,0.08682721733185902,0.08682721733185902
12,lr,SHAP,pr_auc,UA,38,-0.07740093929515938,0.07740093929515938
13,lr,SHAP,pr_auc,P-RCA,57,-0.075232883337111,0.075232883337111
14,lr,SHAP,pr_auc,STEMI,36,-0.07361282703267645,0.07361282703267645
15,lr,SHAP,pr_auc,HGB,10,0.06893511969028271,0.06893511969028271
16,lr,SHAP,pr_auc,Stent type-SES_xiencev,84,-0.06687361346679774,0.06687361346679774
17,lr,SHAP,pr_auc,No postdilation,72,0.056285464497026774,0.056285464497026774
18,lr,SHAP,pr_auc,Men,22,0.05150184720697413,0.05150184720697413
19,lr,SHAP,pr_auc,Initial diagnosis-AMI,35,0.045573731668266136,0.045573731668266136
20,lr,SHAP,pr_auc,TIMI-0,61,0.03861651863037717,0.03861651863037717
21,lr,SHAP,pr_auc,NSTEMI,37,0.03573253159958133,0.03573253159958133
22,lr,SHAP,pr_auc,Stent type-SES_resolute,82,-0.03112701136643507,0.03112701136643507
23,lr,SHAP,pr_auc,No.of stents per lesion,6,0.025826807483285502,0.025826807483285502
24,lr,SHAP,pr_auc,TG,18,-0.022937929020354155,0.022937929020354155
25,lr,SHAP,pr_auc,LVEF,8,-0.02067902289426729,0.02067902289426729
26,lr,SHAP,pr_auc,Stent type-SES_tivoli,83,0.019838669463782925,0.019838669463782925
27,lr,SHAP,pr_auc,Previous PCI,33,-0.01818417354380244,0.01818417354380244
28,lr,SHAP,pr_auc,1.1:1Post dilation,71,0.0173585495984534,0.0173585495984534
29,lr,SHAP,pr_auc,LV,7,-0.01651785496256653,0.01651785496256653
30,lr,SHAP,pr_auc,TCL,15,0.010871333985894124,0.010871333985894124
31,lr,SHAP,pr_auc,PES,67,0.010366227236215208,0.010366227236215208
32,lr,SHAP,pr_auc,Stent type-SES_xx,86,0.0035888196536904143,0.0035888196536904143
33,lr,SHAP,pr_auc,Thrombus aspiration,63,0.0032683315859180747,0.0032683315859180747
34,lr,SHAP,pr_auc,Moderate/severe tortuosity,46,0.001858533086858321,0.001858533086858321
35,lr,SHAP,pr_auc,EVS,69,0.0015551712789340986,0.0015551712789340986
36,lr,SHAP,pr_auc,Chronic total occlusion,44,0.0013624879025542133,0.0013624879025542133
37,lr,SHAP,pr_auc,ZES,68,0.0007206555699202754,0.0007206555699202754
38,lr,SHAP,pr_auc,History of HF,31,0.0006216720371132138,0.0006216720371132138
39,lr,SHAP,pr_auc,Ticagrelor,77,0.0005467528728633451,0.0005467528728633451
40,lr,SHAP,pr_auc,Stent type-SES_xv,85,0.00040182081877807176,0.00040182081877807176
