rank,model,algorithm,metric,feature,index,shap_value,mean_abs_shap
1,rf_b,SHAP,pr_auc,HGB,10,0.17155662698843352,0.17155662698843352
2,rf_b,SHAP,pr_auc,Fiberinogen,21,-0.1655307770363206,0.1655307770363206
3,rf_b,SHAP,pr_auc,eGFR,13,0.13721357703306689,0.13721357703306689
4,rf_b,SHAP,pr_auc,1.1:1Post dilation,71,0.13184589503639627,0.13184589503639627
5,rf_b,SHAP,pr_auc,No postdilation,72,0.1314502215111523,0.1314502215111523
6,rf_b,SHAP,pr_auc,LV,7,0.1298743168297635,0.1298743168297635
7,rf_b,SHAP,pr_auc,HbA1c,20,0.11745843558943017,0.11745843558943017
8,rf_b,SHAP,pr_auc,LDL,16,0.08895252703488896,0.08895252703488896
9,rf_b,SHAP,pr_auc,CKD5,14,0.07259087922784327,0.07259087922784327
10,rf_b,SHAP,pr_auc,Men,22,-0.05680070270537417,0.05680070270537417
11,rf_b,SHAP,pr_auc,Cre,12,0.053949640341233875,0.053949640341233875
12,rf_b,SHAP,pr_auc,Diabetes,23,-0.05283734907671435,0.05283734907671435
13,rf_b,SHAP,pr_auc,LVEF,8,0.04872894651019007,0.04872894651019007
14,rf_b,SHAP,pr_auc,TCL,15,-0.04445945211660435,0.04445945211660435
15,rf_b,SHAP,pr_auc,Previous PCI,33,0.036980661816404345,0.036980661816404345
16,rf_b,SHAP,pr_auc,Min-stent diameter,2,-0.03560094691291118,0.03560094691291118
17,rf_b,SHAP,pr_auc,CKD90,74,0.03524254979884647,0.03524254979884647
18,rf_b,SHAP,pr_auc,stent overlap,70,-0.03425954233441699,0.03425954233441699
19,rf_b,SHAP,pr_auc,Stent type-SES_resolute,82,0.031519320445793086,0.031519320445793086
20,rf_b,SHAP,pr_auc,Fast-Glu,19,0.030986082245545638,0.030986082245545638
21,rf_b,SHAP,pr_auc,Max-stent diameter,3,0.029789940797683157,0.029789940797683157
22,rf_b,SHAP,pr_auc,NO.of vessels,1,0.029184894845961984,0.029184894845961984
23,rf_b,SHAP,pr_auc,UA,38,0.027980595288705196,0.027980595288705196
24,rf_b,SHAP,pr_auc,Pre-TIMI flow-3,58,0.01827680966758271,0.01827680966758271
25,rf_b,SHAP,pr_auc,Stent type-SES_partner,81,0.017775937184229935,0.017775937184229935
26,rf_b,SHAP,pr_auc,TIMI-0,61,-0.015676768271383285,0.015676768271383285
27,rf_b,SHAP,pr_auc,HDL,17,-0.01392851058374053,0.01392851058374053
28,rf_b,SHAP,pr_auc,Clopidogrel,76,0.013903222886667588,0.013903222886667588
29,rf_b,SHAP,pr_auc,Stent release pressure,5,0.010935228000035178,0.010935228000035178
30,rf_b,SHAP,pr_auc,Initial diagnosis-AMI,35,-0.009320904419098325,0.009320904419098325
31,rf_b,SHAP,pr_auc,Stent type-SES_tivoli,83,-0.00906809449128387,0.00906809449128387
32,rf_b,SHAP,pr_auc,Age,0,0.008456098175578651,0.008456098175578651
33,rf_b,SHAP,pr_auc,Platelet,11,0.007561030879519606,0.007561030879519606
34,rf_b,SHAP,pr_auc,ZES,68,0.007357258682464415,0.007357258682464415
35,rf_b,SHAP,pr_auc,Proximal,48,-0.006568757567405573,0.006568757567405573
36,rf_b,SHAP,pr_auc,CaI,9,-0.0033428502224970872,0.0033428502224970872
37,rf_b,SHAP,pr_auc,TG,18,-0.0019508443012229773,0.0019508443012229773
38,rf_b,SHAP,pr_auc,No.of stents per lesion,6,0.0015137083001706352,0.0015137083001706352
39,rf_b,SHAP,pr_auc,Total stent length,4,0.001475361473334983,0.001475361473334983
40,rf_b,SHAP,pr_auc,PES,67,0.0010008102262962855,0.0010008102262962855
