rank,model,algorithm,metric,feature,index,shap_value,mean_abs_shap
1,rf,SHAP,pr_auc,1.1:1Post dilation,71,0.20653444811290456,0.20653444811290456
2,rf,SHAP,pr_auc,Fiberinogen,21,-0.16394412093369967,0.16394412093369967
3,rf,SHAP,pr_auc,eGFR,13,0.14234587242567873,0.14234587242567873
4,rf,SHAP,pr_auc,LV,7,0.13055640439261654,0.13055640439261654
5,rf,SHAP,pr_auc,No postdilation,72,0.12836241428259534,0.12836241428259534
6,rf,SHAP,pr_auc,Platelet,11,0.10258356852020704,0.10258356852020704
7,rf,SHAP,pr_auc,HGB,10,0.08949097136313675,0.08949097136313675
8,rf,SHAP,pr_auc,LDL,16,0.0857383153025532,0.0857383153025532
9,rf,SHAP,pr_auc,HbA1c,20,0.08401420557830436,0.08401420557830436
10,rf,SHAP,pr_auc,Proximal,48,-0.07338563757417932,0.07338563757417932
11,rf,SHAP,pr_auc,Clopidogrel,76,0.06314671872560025,0.06314671872560025
12,rf,SHAP,pr_auc,LVEF,8,0.05990583606751373,0.05990583606751373
13,rf,SHAP,pr_auc,Total stent length,4,-0.051144008784667724,0.051144008784667724
14,rf,SHAP,pr_auc,Cre,12,-0.04831067773975337,0.04831067773975337
15,rf,SHAP,pr_auc,No.of stents per lesion,6,-0.047875352290849583,0.047875352290849583
16,rf,SHAP,pr_auc,Men,22,0.04209886440136458,0.04209886440136458
17,rf,SHAP,pr_auc,NO.of vessels,1,-0.04048938261278172,0.04048938261278172
18,rf,SHAP,pr_auc,Initial diagnosis-AMI,35,0.03953642457200027,0.03953642457200027
19,rf,SHAP,pr_auc,Max-stent diameter,3,0.03839477899725578,0.03839477899725578
20,rf,SHAP,pr_auc,HDL,17,0.03605006736368303,0.03605006736368303
21,rf,SHAP,pr_auc,CKD5,14,0.032163601870372954,0.032163601870372954
22,rf,SHAP,pr_auc,Min-stent diameter,2,0.026431906486965674,0.026431906486965674
23,rf,SHAP,pr_auc,UA,38,0.02470268183213577,0.02470268183213577
24,rf,SHAP,pr_auc,Diabetes,23,-0.022285239010617228,0.022285239010617228
25,rf,SHAP,pr_auc,CaI,9,-0.021428471856708053,0.021428471856708053
26,rf,SHAP,pr_auc,TIMI-0,61,0.02034516496291771,0.02034516496291771
27,rf,SHAP,pr_auc,stent overlap,70,-0.0196776302433987,0.0196776302433987
28,rf,SHAP,pr_auc,Age,0,-0.018983030231047953,0.018983030231047953
29,rf,SHAP,pr_auc,Current smoker,26,-0.01840340399736053,0.01840340399736053
30,rf,SHAP,pr_auc,TG,18,0.01789500227354166,0.01789500227354166
31,rf,SHAP,pr_auc,Stent type-SES_partner,81,-0.0170768062149907,0.0170768062149907
32,rf,SHAP,pr_auc,Fast-Glu,19,0.015232490891518674,0.015232490891518674
33,rf,SHAP,pr_auc,Stent type-SES_tivoli,83,0.012088083908519839,0.012088083908519839
34,rf,SHAP,pr_auc,Pre-TIMI flow-3,58,0.010674492012356356,0.010674492012356356
35,rf,SHAP,pr_auc,Stent release pressure,5,0.01044782529821021,0.01044782529821021
36,rf,SHAP,pr_auc,Stent type-SES_resolute,82,0.0091966651451536,0.0091966651451536
37,rf,SHAP,pr_auc,CKD90,74,0.009089570547198004,0.009089570547198004
38,rf,SHAP,pr_auc,TCL,15,0.005646662055930762,0.005646662055930762
39,rf,SHAP,pr_auc,PES,67,0.005478270591995566,0.005478270591995566
40,rf,SHAP,pr_auc,Previous PCI,33,-0.0030660855090317123,0.0030660855090317123
