rank,model,algorithm,metric,feature,index,shap_value,mean_abs_shap
1,xgb_b,SHAP,pr_auc,eGFR,13,0.22237456045186899,0.22237456045186899
2,xgb_b,SHAP,pr_auc,Fiberinogen,21,-0.2149615083790783,0.2149615083790783
3,xgb_b,SHAP,pr_auc,1.1:1Post dilation,71,0.1733523498459024,0.1733523498459024
4,xgb_b,SHAP,pr_auc,HbA1c,20,0.1655582464848142,0.1655582464848142
5,xgb_b,SHAP,pr_auc,Cre,12,-0.14970197877714803,0.14970197877714803
6,xgb_b,SHAP,pr_auc,HGB,10,0.1183814832782332,0.1183814832782332
7,xgb_b,SHAP,pr_auc,LDL,16,0.10524586036499586,0.10524586036499586
8,xgb_b,SHAP,pr_auc,LV,7,0.08618479146937513,0.08618479146937513
9,xgb_b,SHAP,pr_auc,Platelet,11,0.0642076175876463,0.0642076175876463
10,xgb_b,SHAP,pr_auc,Fast-Glu,19,-0.0621599604617545,0.0621599604617545
11,xgb_b,SHAP,pr_auc,CaI,9,-0.06128012267976777,0.06128012267976777
12,xgb_b,SHAP,pr_auc,Previous PCI,33,0.05583749263896463,0.05583749263896463
13,xgb_b,SHAP,pr_auc,Total stent length,4,-0.04793775721294112,0.04793775721294112
14,xgb_b,SHAP,pr_auc,UA,38,0.03595148940530701,0.03595148940530701
15,xgb_b,SHAP,pr_auc,Stent type-SES_xiencev,84,0.03537320677358986,0.03537320677358986
16,xgb_b,SHAP,pr_auc,Cardiogenic shock,39,0.030091688985107102,0.030091688985107102
17,xgb_b,SHAP,pr_auc,Age,0,-0.025232786259982893,0.025232786259982893
18,xgb_b,SHAP,pr_auc,PES,67,-0.02267936937346937,0.02267936937346937
19,xgb_b,SHAP,pr_auc,Diabetes,23,-0.021290552643238977,0.021290552643238977
20,xgb_b,SHAP,pr_auc,Lesion location-Ostial,47,-0.020613812299380245,0.020613812299380245
21,xgb_b,SHAP,pr_auc,Initial diagnosis-AMI,35,0.01948090167582516,0.01948090167582516
22,xgb_b,SHAP,pr_auc,Slow flow,64,-0.017740868369597082,0.017740868369597082
23,xgb_b,SHAP,pr_auc,No postdilation,72,-0.01729603477907776,0.01729603477907776
24,xgb_b,SHAP,pr_auc,EVS,69,0.0164096292182134,0.0164096292182134
25,xgb_b,SHAP,pr_auc,Stent type-SES_partner,81,-0.014239503152268329,0.014239503152268329
26,xgb_b,SHAP,pr_auc,Stent type-SES_tivoli,83,0.012753557834563268,0.012753557834563268
27,xgb_b,SHAP,pr_auc,Stent type-SES_xx,86,-0.012253686982338419,0.012253686982338419
28,xgb_b,SHAP,pr_auc,Previous MI,34,0.012087969331936892,0.012087969331936892
29,xgb_b,SHAP,pr_auc,Clopidogrel,76,-0.010902558493452692,0.010902558493452692
30,xgb_b,SHAP,pr_auc,CKD5,14,-0.01035676784762348,0.01035676784762348
31,xgb_b,SHAP,pr_auc,ZES,68,0.00993322966828489,0.00993322966828489
32,xgb_b,SHAP,pr_auc,STEMI,36,0.009376008665854649,0.009376008665854649
33,xgb_b,SHAP,pr_auc,Pre-TIMI flow-3,58,0.007513380938186223,0.007513380938186223
34,xgb_b,SHAP,pr_auc,Stent type-SES_resolute,82,-0.005263690846377402,0.005263690846377402
35,xgb_b,SHAP,pr_auc,TCL,15,0.004739430780112779,0.004739430780112779
36,xgb_b,SHAP,pr_auc,Current drinking,27,0.004691449796953327,0.004691449796953327
37,xgb_b,SHAP,pr_auc,Ticagrelor,77,0.004562903386087686,0.004562903386087686
38,xgb_b,SHAP,pr_auc,LVEF,8,-0.0027628140491791843,0.0027628140491791843
39,xgb_b,SHAP,pr_auc,Thrombus aspiration,63,-0.0013690038801492856,0.0013690038801492856
40,xgb_b,SHAP,pr_auc,TIMI-0,61,-0.001356115668882431,0.001356115668882431
