rank,model,algorithm,metric,feature,index,shap_value,mean_abs_shap
1,xgb,SHAP,pr_auc,eGFR,13,0.19291896921878443,0.19291896921878443
2,xgb,SHAP,pr_auc,Fiberinogen,21,-0.14003858920379392,0.14003858920379392
3,xgb,SHAP,pr_auc,LV,7,0.13106089039997856,0.13106089039997856
4,xgb,SHAP,pr_auc,HGB,10,0.12248854257852551,0.12248854257852551
5,xgb,SHAP,pr_auc,Men,22,0.08776895807659478,0.08776895807659478
6,xgb,SHAP,pr_auc,Cre,12,-0.0871032045285443,0.0871032045285443
7,xgb,SHAP,pr_auc,HbA1c,20,0.07472450726255442,0.07472450726255442
8,xgb,SHAP,pr_auc,Platelet,11,0.06605608410978042,0.06605608410978042
9,xgb,SHAP,pr_auc,LDL,16,0.05043397697191036,0.05043397697191036
10,xgb,SHAP,pr_auc,1.1:1Post dilation,71,0.049819514513471136,0.049819514513471136
11,xgb,SHAP,pr_auc,Bifurcation,49,-0.04719824128539875,0.04719824128539875
12,xgb,SHAP,pr_auc,Stent type-SES_other,80,0.04611202225142195,0.04611202225142195
13,xgb,SHAP,pr_auc,Lesion location-Ostial,47,-0.04088695518214304,0.04088695518214304
14,xgb,SHAP,pr_auc,TCL,15,-0.04032772554846513,0.04032772554846513
15,xgb,SHAP,pr_auc,Total stent length,4,-0.03193878326197901,0.03193878326197901
16,xgb,SHAP,pr_auc,Fast-Glu,19,-0.03087229051444878,0.03087229051444878
17,xgb,SHAP,pr_auc,Initial diagnosis-AMI,35,0.02811825409156794,0.02811825409156794
18,xgb,SHAP,pr_auc,Cardiogenic shock,39,-0.023019728874730066,0.023019728874730066
19,xgb,SHAP,pr_auc,Stent release pressure,5,0.021425001181982213,0.021425001181982213
20,xgb,SHAP,pr_auc,Stent type-SES_xiencev,84,0.02018240396231062,0.02018240396231062
21,xgb,SHAP,pr_auc,Stent type-SES_tivoli,83,0.020106507363467436,0.020106507363467436
22,xgb,SHAP,pr_auc,CaI,9,-0.019475085957436383,0.019475085957436383
23,xgb,SHAP,pr_auc,TG,18,-0.01666810725293068,0.01666810725293068
24,xgb,SHAP,pr_auc,Previous CABG,32,-0.014269732634691112,0.014269732634691112
25,xgb,SHAP,pr_auc,Previous PCI,33,0.013160610848715754,0.013160610848715754
26,xgb,SHAP,pr_auc,No reflow,65,0.011930459042895834,0.011930459042895834
27,xgb,SHAP,pr_auc,ZES,68,-0.011526937099050007,0.011526937099050007
28,xgb,SHAP,pr_auc,Stent type-SES_xx,86,0.01067107851680302,0.01067107851680302
29,xgb,SHAP,pr_auc,Visual thrombus,50,-0.010606271869049253,0.010606271869049253
30,xgb,SHAP,pr_auc,LVEF,8,0.01058891387386707,0.01058891387386707
31,xgb,SHAP,pr_auc,Stent type-SES_resolute,82,0.010226850518505115,0.010226850518505115
32,xgb,SHAP,pr_auc,No postdilation,72,0.008979962784329925,0.008979962784329925
33,xgb,SHAP,pr_auc,Previous MI,34,-0.007349576134581341,0.007349576134581341
34,xgb,SHAP,pr_auc,Age,0,0.007266115023969752,0.007266115023969752
35,xgb,SHAP,pr_auc,stent overlap,70,0.007021217590129504,0.007021217590129504
36,xgb,SHAP,pr_auc,PES,67,0.006853745588133213,0.006853745588133213
37,xgb,SHAP,pr_auc,Thrombus aspiration,63,0.0027141108087840745,0.0027141108087840745
38,xgb,SHAP,pr_auc,Min-stent diameter,2,0.002563429999086544,0.002563429999086544
39,xgb,SHAP,pr_auc,2-vessel disease,42,-0.0015789429103870642,0.0015789429103870642
40,xgb,SHAP,pr_auc,Dissection,66,-0.0006093477653841364,0.0006093477653841364
