rank,feature,importance_score,n_methods,selection_freq,shap_mean_abs,mutual_info,in_mi_top,in_shap_top
1,CaI,0.9936708860759493,2,1.0,0.0,0.0205361899217161,True,False
2,LV,0.9873417721518988,2,1.0,0.0,0.0128177086517509,True,False
3,eGFR,0.9810126582278481,2,1.0,0.0,0.009424154238492,True,False
4,HbA1c,0.9525316455696202,2,0.875,0.0,0.007327655246093,True,False
5,LDL,0.9240506329113924,1,0.25,0.0,0.0093673265920197,True,False
6,1.1:1Post dilation,0.9050632911392404,2,0.5,0.0,0.0040566762551876,True,False
7,Fiberinogen,0.8544303797468354,1,0.125,0.0,0.0037119467854342,True,False
8,Stent type-SES,0.8417721518987342,1,0.125,0.0,0.0031760145468466,True,False
9,Slow flow,0.8227848101265822,0,0.125,0.0,0.0029405755524651,False,False
10,Age,0.810126582278481,1,0.75,0.0,0.0020647843985153,False,False
11,Previous PCI,0.7531645569620253,0,0.125,0.0,0.001986193289458,False,False
12,Initial diagnosis-AMI,0.7468354430379747,0,0.125,0.0,0.0019824390789471,False,False
13,TCL,0.740506329113924,0,0.25,0.0,0.0011674221578965,False,False
14,Lesion location-Ostial,0.6677215189873418,1,0.0,0.0,0.0052930961846577,True,False
15,Cre,0.6677215189873418,1,0.875,0.0,0.0003384316064194,False,False
16,P-RCA,0.6613924050632911,1,0.0,0.0,0.004830218218337,True,False
17,HGB,0.6550632911392404,1,0.0,0.0,0.0043645032628729,True,False
18,HDL,0.6424050632911392,1,0.0,0.0,0.0038233184129834,True,False
19,Current drinking,0.629746835443038,1,0.0,0.0,0.0032021243406621,True,False
20,No postdilation,0.620253164556962,0,0.25,0.0,7.935866704444905e-05,False,False
21,stent overlap,0.6170886075949367,1,0.0,0.0,0.0030808523296055,True,False
22,P-LCX,0.6107594936708861,1,0.0,0.0,0.0030142200122851,True,False
23,Stroke/TIA,0.5981012658227849,0,0.0,0.0,0.0028083739523179,False,False
24,Max-stent diameter,0.5917721518987342,0,0.0,0.0,0.0026902531761694,False,False
25,CKD5,0.5854430379746836,0,0.0,0.0,0.002577817859116,False,False
26,Aneurysm,0.5791139240506329,0,0.0,0.0,0.0025052773372051,False,False
27,STEMI,0.5727848101265822,0,0.0,0.0,0.0024852525821639,False,False
28,CKD90,0.5664556962025317,0,0.0,0.0,0.002380219286866,False,False
29,Fast-Glu,0.560126582278481,0,0.0,0.0,0.0023414198467213,False,False
30,Aspirin,0.5537974683544304,0,0.0,0.0,0.0023310279450634,False,False
31,Diabetes,0.5474683544303798,0,0.0,0.0,0.0020856307113303,False,False
32,LVEF,0.5443037974683544,1,0.625,0.0,0.0,False,False
33,Min-stent diameter,0.5221518987341772,0,0.0,0.0,0.0017776305029493,False,False
34,UA,0.5158227848101267,0,0.0,0.0,0.0016641970974595,False,False
35,Current smoker,0.509493670886076,0,0.0,0.0,0.0014151132300563,False,False
36,TG,0.5031645569620253,0,0.0,0.0,0.0012094211814719,False,False
37,Dissection,0.49050632911392406,0,0.0,0.0,0.0011021451848427,False,False
38,No reflow,0.48417721518987344,0,0.0,0.0,0.0009940313294662,False,False
39,EVS,0.4778481012658228,0,0.0,0.0,0.0009285478581808,False,False
40,Multi-vessel CAD,0.47151898734177217,0,0.0,0.0,0.0008915599493459,False,False
41,Pre-TIMI flow-3,0.4651898734177215,0,0.0,0.0,0.000867383808963,False,False
42,Thrombus aspiration,0.4588607594936709,0,0.0,0.0,0.0008655401956654,False,False
43,TIMI-0,0.4525316455696203,0,0.0,0.0,0.0008650599996842,False,False
44,PES,0.44620253164556967,0,0.0,0.0,0.0008363383804046,False,False
45,No.of stents per lesion,0.439873417721519,0,0.0,0.0,0.000754201234979,False,False
46,Ulceration,0.43354430379746833,0,0.0,0.0,0.0005948953556635,False,False
47,NSTEMI,0.4272151898734177,0,0.0,0.0,0.0005640373308264,False,False
48,ZES,0.4208860759493671,0,0.0,0.0,0.0004428877999185,False,False
49,Previous MI,0.41455696202531644,0,0.0,0.0,0.0004263480814405,False,False
50,Moderate/severe tortuosity,0.40822784810126583,0,0.0,0.0,0.0004255718102554,False,False
51,Visual thrombus,0.4018987341772152,0,0.0,0.0,0.0003633217977361,False,False
52,Proximal,0.39556962025316456,0,0.0,0.0,0.0003553174434223,False,False
53,P-LAD,0.38291139240506333,0,0.0,0.0,0.0003005204510981,False,False
54,3-vessel disease,0.370253164556962,0,0.0,0.0,1.0192317477120127e-05,False,False
55,Men,0.28164556962025317,0,0.0,0.0,0.0,False,False
56,Hypertension,0.28164556962025317,0,0.0,0.0,0.0,False,False
57,HL,0.28164556962025317,0,0.0,0.0,0.0,False,False
58,History of peripheral vascualr disease,0.28164556962025317,0,0.0,0.0,0.0,False,False
59,Chronic renal insufficiency,0.28164556962025317,0,0.0,0.0,0.0,False,False
60,History of HF,0.28164556962025317,0,0.0,0.0,0.0,False,False
61,Previous CABG,0.28164556962025317,0,0.0,0.0,0.0,False,False
62,Cardiogenic shock,0.28164556962025317,0,0.0,0.0,0.0,False,False
