rank,feature,mutual_info
1,CaI,0.02053618992171613
2,LV,0.012817708651750914
3,eGFR,0.009424154238492077
4,LDL,0.009367326592019776
5,HbA1c,0.007327655246093023
6,Lesion location-Ostial,0.005293096184657786
7,P-RCA,0.004830218218337068
8,HGB,0.004364503262872965
9,1.1:1Post dilation,0.004056676255187686
10,HDL,0.003823318412983445
11,Fiberinogen,0.0037119467854342947
12,Current drinking,0.003202124340662138
13,Stent type-SES,0.003176014546846684
14,stent overlap,0.0030808523296055323
15,P-LCX,0.0030142200122851293
16,Slow flow,0.0029405755524651855
17,Stroke/TIA,0.002808373952317922
18,Max-stent diameter,0.0026902531761694437
19,CKD5,0.0025778178591160383
20,Aneurysm,0.0025052773372051806
21,STEMI,0.0024852525821639215
22,CKD90,0.0023802192868660477
23,Fast-Glu,0.0023414198467213154
24,Aspirin,0.0023310279450634575
25,Diabetes,0.0020856307113303885
26,Age,0.002064784398515318
27,Previous PCI,0.001986193289458038
28,Initial diagnosis-AMI,0.001982439078947129
29,Min-stent diameter,0.0017776305029493233
30,UA,0.0016641970974595743
31,Current smoker,0.0014151132300563862
32,TG,0.0012094211814719369
33,TCL,0.0011674221578965582
34,Dissection,0.001102145184842751
35,No reflow,0.000994031329466294
36,EVS,0.0009285478581808615
37,Multi-vessel CAD,0.0008915599493459769
38,Pre-TIMI flow-3,0.000867383808963007
39,Thrombus aspiration,0.0008655401956654263
40,TIMI-0,0.0008650599996842256
41,PES,0.0008363383804046443
42,No.of stents per lesion,0.0007542012349790461
43,Ulceration,0.0005948953556635939
44,NSTEMI,0.000564037330826439
45,ZES,0.00044288779991852323
46,Previous MI,0.0004263480814405973
47,Moderate/severe tortuosity,0.0004255718102554873
48,Visual thrombus,0.00036332179773612694
49,Proximal,0.0003553174434223205
50,Cre,0.0003384316064194426
51,P-LAD,0.00030052045109818515
52,No postdilation,7.935866704444905e-05
53,3-vessel disease,1.0192317477120127e-05
54,Clopidogrel,0.0
55,DAPT,0.0
56,Ticagrelor,0.0
57,CKD60,0.0
58,Platelet,0.0
59,TIMI-2,0.0
60,TIMI-1,0.0
61,Staged PCI,0.0
62,LVEF,0.0
63,Total stent length,0.0
64,Stent release pressure,0.0
65,Vessel dialation,0.0
66,P-LM,0.0
67,2-vessel disease,0.0
68,Cardiogenic shock,0.0
69,Moderate/severe calcification,0.0
70,Bifurcation,0.0
71,Chronic total occlusion,0.0
72,Single-vessel disease,0.0
73,NO.of vessels,0.0
74,Chronic renal insufficiency,0.0
75,History of HF,0.0
76,Previous CABG,0.0
77,History of peripheral vascualr disease,0.0
78,HL,0.0
79,Hypertension,0.0
80,Men,0.0
