row_index,vlst,split
1413,0,train
2617,0,train
4328,0,train
3463,0,train
3458,0,train
4533,0,train
3543,0,train
3413,0,train
308,0,train
848,0,train
123,0,train
1773,0,train
1871,0,train
4294,0,train
4283,0,train
2148,0,train
1742,0,train
3081,0,train
4350,0,train
4179,0,train
621,0,train
2078,0,train
1627,0,train
4845,0,train
4239,0,train
2608,0,train
1190,0,train
634,0,train
4013,0,train
2985,0,train
3197,0,train
1675,0,train
2402,0,train
4639,0,train
2384,0,train
1730,0,train
3200,0,train
3796,0,train
3997,0,train
4316,0,train
2974,0,train
1111,0,train
1991,0,train
291,0,train
3968,0,train
2170,0,train
283,0,train
68,0,train
1422,0,train
1974,0,train
4200,0,train
1261,0,train
3269,0,train
2503,0,train
1233,0,train
2847,0,train
838,0,train
1662,0,train
1754,0,train
923,0,train
4232,0,train
4939,0,train
2659,0,train
4662,0,train
2784,0,train
3964,0,train
1490,0,train
3660,0,train
1440,0,train
4166,0,train
32,0,train
270,0,train
3290,0,train
3716,0,train
877,0,train
3024,0,train
3362,0,train
342,0,train
48,0,train
3275,0,train
5091,0,train
3168,0,train
3479,0,train
3864,0,train
3626,0,train
1295,0,train
1188,0,train
1078,0,train
736,0,train
4329,0,train
807,0,train
3758,0,train
2907,0,train
1001,0,train
737,0,train
3759,0,train
3309,0,train
1327,0,train
1653,0,train
3246,0,train
4769,0,train
256,0,train
75,0,train
2124,0,train
3411,0,train
3395,0,train
3754,0,train
3846,0,train
3958,0,train
2144,0,train
1536,0,train
2663,0,train
4768,0,train
2176,0,train
4777,0,train
288,0,train
3466,0,train
1559,0,train
461,0,train
5170,1,train
631,0,train
3611,0,train
1650,0,train
4446,0,train
4470,0,train
489,0,train
2121,0,train
586,0,train
2115,0,train
3808,0,train
2196,0,train
2168,0,train
721,0,train
4099,0,train
158,0,train
651,0,train
4236,0,train
4546,0,train
1159,0,train
1726,0,train
4281,0,train
5027,0,train
3078,0,train
5018,0,train
108,0,train
1949,0,train
3824,0,train
2642,0,train
1411,0,train
944,0,train
1809,0,train
4254,0,train
2661,0,train
4062,0,train
1265,0,train
4661,0,train
2837,0,train
368,0,train
534,0,train
856,0,train
142,0,train
1504,0,train
3931,0,train
1464,0,train
458,0,train
1797,0,train
2500,0,train
1367,0,train
809,0,train
3982,0,train
4557,0,train
2654,0,train
393,0,train
2022,0,train
5105,1,train
582,0,train
2644,0,train
1310,0,train
1277,0,train
4255,0,train
3198,0,train
533,0,train
4110,0,train
416,0,train
1018,0,train
1849,0,train
2216,0,train
3831,0,train
669,0,train
4953,0,train
3127,0,train
1006,0,train
4520,0,train
891,0,train
2752,0,train
212,0,train
2584,0,train
1488,0,train
5076,0,train
1541,0,train
2347,0,train
195,0,train
4789,0,train
3089,0,train
120,0,train
1180,0,train
4582,0,train
1231,0,train
1402,0,train
2299,0,train
3822,0,train
2962,0,train
4576,0,train
4714,0,train
2662,0,train
4198,0,train
1259,0,train
3649,0,train
4504,0,train
1992,0,train
2984,0,train
2598,0,train
2069,0,train
2338,0,train
2236,0,train
4241,0,train
1428,0,train
4722,0,train
4369,0,train
4211,0,train
1395,0,train
4336,0,train
4461,0,train
3257,0,train
286,0,train
2166,0,train
219,0,train
168,0,train
4683,0,train
4849,0,train
3145,0,train
1988,0,train
1519,0,train
2008,0,train
1132,0,train
5033,0,train
4653,0,train
2432,0,train
4374,0,train
1511,0,train
3231,0,train
2154,0,train
3154,0,train
4778,0,train
3050,0,train
2213,0,train
1491,0,train
