rank,feature,shap_mean_abs
1,eGFR,1.2287657388603848
2,CaI,1.0867295475813843
3,Cre,0.809272604510454
4,LV,0.4827617252302283
5,LDL,0.36586881392415543
6,No postdilation,0.28122106086998033
7,HbA1c,0.2672812491128154
8,Previous PCI,0.2604177939187852
9,1.1:1Post dilation,0.2483237464381324
10,Stent type-SES,0.24019117024629263
11,TCL,0.23685035844300842
12,TG,0.22128222820839794
13,CKD90,0.13765721102005307
14,Men,0.13141116714890186
15,HDL,0.1173626971817674
16,CKD5,0.10254247331826093
17,No.of stents per lesion,0.07976535911898168
18,Total stent length,0.07681066221387607
19,Fiberinogen,0.06944252460233784
20,HGB,0.06438927106186237
21,stent overlap,0.05328632272414605
22,Ulceration,0.052194217883416896
23,Diabetes,0.052085452807279435
24,Dissection,0.05094727205407841
25,ZES,0.04907279097166318
26,TIMI-0,0.04764707885419498
27,Moderate/severe tortuosity,0.04721166151572852
28,Previous CABG,0.04616480637387257
29,Fast-Glu,0.043433667234536254
30,LVEF,0.04110931554749443
31,History of peripheral vascualr disease,0.04063932387026063
32,Cardiogenic shock,0.03985112189403633
33,Clopidogrel,0.039663759513488016
34,Chronic renal insufficiency,0.038952895908571046
35,History of HF,0.0387934155371043
36,CKD60,0.03872696715143597
37,Age,0.037290804299235515
38,TIMI-1,0.03643771414974103
39,PES,0.036322434139847544
40,Initial diagnosis-AMI,0.0357768582156471
41,NO.of vessels,0.03542555085590817
42,3-vessel disease,0.03540897494321676
43,Thrombus aspiration,0.03519403054024005
44,Lesion location-Ostial,0.03501365927699356
45,Moderate/severe calcification,0.03430582055319642
46,Visual thrombus,0.033727856196606544
47,Ticagrelor,0.03342926409746062
48,No reflow,0.033212211553126425
49,NSTEMI,0.032777163666077754
50,Stroke/TIA,0.03242997804808714
51,Multi-vessel CAD,0.032015189129666666
52,Chronic total occlusion,0.032015120643404726
53,Staged PCI,0.03179690714098391
54,Slow flow,0.03177281552258163
55,Current drinking,0.03176091898186738
56,Vessel dialation,0.031704647095982794
57,P-RCA,0.031664539798465174
58,P-LM,0.03148958828645303
59,EVS,0.031225358545512324
60,Aneurysm,0.030835843015306525
61,STEMI,0.03065500606929074
62,P-LCX,0.030389638285299322
63,TIMI-2,0.030174264656452805
64,Bifurcation,0.029399663523791437
65,2-vessel disease,0.02933171618926314
66,DAPT,0.0292932518272849
67,UA,0.02835683677323006
68,Pre-TIMI flow-3,0.02734729505625242
69,Aspirin,0.026823259721336173
70,P-LAD,0.02673142610156498
71,Hypertension,0.02669750948132628
72,Previous MI,0.026674203163018592
73,Min-stent diameter,0.026389277690284433
74,HL,0.02537463701596256
75,Single-vessel disease,0.024956332292773904
76,Current smoker,0.024847263129439388
77,Platelet,0.02401321480161833
78,Max-stent diameter,0.02387912790269793
79,Stent release pressure,0.023705602528323117
80,Proximal,0.02252468573787626
