row_index,vlst,split
2026,0,test
3911,0,test
3068,0,test
2012,0,test
1908,0,test
1245,0,test
5084,0,test
2192,0,test
2595,0,test
4462,0,test
1970,0,test
520,0,test
2736,0,test
735,0,test
2538,0,test
4944,0,test
3531,0,test
1303,0,test
1680,0,test
1332,0,test
5176,1,test
1604,0,test
1131,0,test
4779,0,test
863,0,test
2800,0,test
3099,0,test
2129,0,test
1785,0,test
2573,0,test
3884,0,test
4983,0,test
1495,0,test
1824,0,test
2089,0,test
1136,0,test
4583,0,test
2708,0,test
3304,0,test
294,0,test
16,0,test
5052,0,test
3280,0,test
137,0,test
5113,1,test
1348,0,test
1396,0,test
1914,0,test
3498,0,test
334,0,test
3343,0,test
395,0,test
3924,0,test
3030,0,test
2898,0,test
2808,0,test
1012,0,test
167,0,test
3681,0,test
4551,0,test
5159,1,test
3211,0,test
2747,0,test
2862,0,test
545,0,test
1435,0,test
3981,0,test
2849,0,test
1059,0,test
1250,0,test
3385,0,test
3969,0,test
1300,0,test
2731,0,test
2524,0,test
345,0,test
1997,0,test
5087,0,test
3376,0,test
1733,0,test
1603,0,test
4463,0,test
830,0,test
3115,0,test
579,0,test
1076,0,test
4960,0,test
3476,0,test
2958,0,test
1958,0,test
4146,0,test
1868,0,test
3962,0,test
362,0,test
3775,0,test
2106,0,test
4285,0,test
913,0,test
4726,0,test
384,0,test
1631,0,test
1968,0,test
722,0,test
4919,0,test
4792,0,test
3374,0,test
706,0,test
4934,0,test
1516,0,test
2961,0,test
606,0,test
4277,0,test
143,0,test
4314,0,test
3561,0,test
5093,1,test
4495,0,test
4798,0,test
3974,0,test
523,0,test
2930,0,test
2931,0,test
2393,0,test
3171,0,test
466,0,test
2403,0,test
525,0,test
2919,0,test
2690,0,test
2000,0,test
3891,0,test
987,0,test
1155,0,test
3054,0,test
2611,0,test
1308,0,test
3776,0,test
1834,0,test
3522,0,test
1663,0,test
2871,0,test
160,0,test
4937,0,test
2033,0,test
3612,0,test
920,0,test
3812,0,test
1028,0,test
1599,0,test
3242,0,test
3953,0,test
3045,0,test
3991,0,test
2760,0,test
388,0,test
2993,0,test
250,0,test
3345,0,test
3070,0,test
4728,0,test
4264,0,test
4439,0,test
5019,0,test
4630,0,test
189,0,test
563,0,test
4634,0,test
3177,0,test
3294,0,test
696,0,test
5162,1,test
3216,0,test
1633,0,test
453,0,test
235,0,test
614,0,test
4178,0,test
1527,0,test
3487,0,test
1889,0,test
3618,0,test
2482,0,test
3646,0,test
4485,0,test
3446,0,test
3028,0,test
2674,0,test
3430,0,test
4413,0,test
129,0,test
826,0,test
2362,0,test
127,0,test
2055,0,test
2541,0,test
4803,0,test
3354,0,test
2745,0,test
3627,0,test
400,0,test
1555,0,test
5051,0,test
4890,0,test
922,0,test
419,0,test
628,0,test
1199,0,test
3302,0,test
3005,0,test
3993,0,test
54,0,test
3577,0,test
4894,0,test
738,0,test
1848,0,test
1853,0,test
3629,0,test
4793,0,test
1933,0,test
674,0,test
3507,0,test
4723,0,test
673,0,test
3762,0,test
2616,0,test
4161,0,test
2709,0,test
3652,0,test
4469,0,test
244,0,test
1645,0,test
1355,0,test
4297,0,test
1959,0,test
2139,0,test
3583,0,test
4454,0,test
747,0,test
562,0,test
732,0,test
2914,0,test
1331,0,test
3687,0,test
1166,0,test
4875,0,test
4968,0,test
3057,0,test
4721,0,test
3241,0,test
2712,0,test
1379,0,test
