row_index,heldout_position,vlst,role
2026,0,0,vlst=0
3911,1,0,vlst=0
3068,2,0,vlst=0
2012,3,0,vlst=0
1908,4,0,vlst=0
1245,5,0,vlst=0
5084,6,0,vlst=0
2192,7,0,vlst=0
2595,8,0,vlst=0
4462,9,0,vlst=0
1970,10,0,vlst=0
520,11,0,vlst=0
2736,12,0,vlst=0
735,13,0,vlst=0
2538,14,0,vlst=0
4944,15,0,vlst=0
3531,16,0,vlst=0
1303,17,0,vlst=0
1680,18,0,vlst=0
1332,19,0,vlst=0
5176,20,1,vlst=1
1604,21,0,vlst=0
1131,22,0,vlst=0
4779,23,0,vlst=0
863,24,0,vlst=0
2800,25,0,vlst=0
3099,26,0,vlst=0
2129,27,0,vlst=0
1785,28,0,vlst=0
2573,29,0,vlst=0
3884,30,0,vlst=0
4983,31,0,vlst=0
1495,32,0,vlst=0
1824,33,0,vlst=0
2089,34,0,vlst=0
1136,35,0,vlst=0
4583,36,0,vlst=0
2708,37,0,vlst=0
3304,38,0,vlst=0
294,39,0,vlst=0
16,40,0,vlst=0
5052,41,0,vlst=0
3280,42,0,vlst=0
137,43,0,vlst=0
5113,44,1,vlst=1
1348,45,0,vlst=0
1396,46,0,vlst=0
1914,47,0,vlst=0
3498,48,0,vlst=0
334,49,0,vlst=0
3343,50,0,vlst=0
395,51,0,vlst=0
3924,52,0,vlst=0
3030,53,0,vlst=0
2898,54,0,vlst=0
2808,55,0,vlst=0
1012,56,0,vlst=0
167,57,0,vlst=0
3681,58,0,vlst=0
4551,59,0,vlst=0
5159,60,1,vlst=1
3211,61,0,vlst=0
2747,62,0,vlst=0
2862,63,0,vlst=0
545,64,0,vlst=0
1435,65,0,vlst=0
3981,66,0,vlst=0
2849,67,0,vlst=0
1059,68,0,vlst=0
1250,69,0,vlst=0
3385,70,0,vlst=0
3969,71,0,vlst=0
1300,72,0,vlst=0
2731,73,0,vlst=0
2524,74,0,vlst=0
345,75,0,vlst=0
1997,76,0,vlst=0
5087,77,0,vlst=0
3376,78,0,vlst=0
1733,79,0,vlst=0
1603,80,0,vlst=0
4463,81,0,vlst=0
830,82,0,vlst=0
3115,83,0,vlst=0
579,84,0,vlst=0
1076,85,0,vlst=0
4960,86,0,vlst=0
3476,87,0,vlst=0
2958,88,0,vlst=0
1958,89,0,vlst=0
4146,90,0,vlst=0
1868,91,0,vlst=0
3962,92,0,vlst=0
362,93,0,vlst=0
3775,94,0,vlst=0
2106,95,0,vlst=0
4285,96,0,vlst=0
913,97,0,vlst=0
4726,98,0,vlst=0
384,99,0,vlst=0
1631,100,0,vlst=0
1968,101,0,vlst=0
722,102,0,vlst=0
4919,103,0,vlst=0
4792,104,0,vlst=0
3374,105,0,vlst=0
706,106,0,vlst=0
4934,107,0,vlst=0
1516,108,0,vlst=0
2961,109,0,vlst=0
606,110,0,vlst=0
4277,111,0,vlst=0
143,112,0,vlst=0
4314,113,0,vlst=0
3561,114,0,vlst=0
5093,115,1,vlst=1
4495,116,0,vlst=0
4798,117,0,vlst=0
3974,118,0,vlst=0
523,119,0,vlst=0
2930,120,0,vlst=0
2931,121,0,vlst=0
2393,122,0,vlst=0
3171,123,0,vlst=0
466,124,0,vlst=0
2403,125,0,vlst=0
525,126,0,vlst=0
2919,127,0,vlst=0
2690,128,0,vlst=0
2000,129,0,vlst=0
3891,130,0,vlst=0
987,131,0,vlst=0
1155,132,0,vlst=0
3054,133,0,vlst=0
2611,134,0,vlst=0
1308,135,0,vlst=0
3776,136,0,vlst=0
1834,137,0,vlst=0
3522,138,0,vlst=0
1663,139,0,vlst=0
2871,140,0,vlst=0
