rank,feature,shap_mean_abs
1,eGFR,1.0438694748121828
2,WBC,1.0201812538511557
3,LV,0.8695080954679987
4,1.1:1Post dilation,0.6905873588056997
5,LDL,0.49731089905689024
6,No postdilation,0.29575993620909274
7,Cre,0.24491764544700448
8,CKD5,0.18717699491367604
9,HbA1c,0.17826841306090604
10,Previous PCI,0.13561406661055594
11,Stent type-SES,0.11246743133279247
12,CaI,0.07930227118826325
13,HGB,0.06636229075305922
14,Men,0.055266866963207775
15,Fiberinogen,0.050181378983719147
16,History of HF,0.04828635722403425
17,TCL,0.04799852972058234
18,CKD90,0.04259580154463095
19,Previous CABG,0.04243937354209996
20,No.of stents per lesion,0.042298846830048586
21,P-LM,0.04214461886491922
22,History of peripheral vascualr disease,0.03542107729051764
23,Cardiogenic shock,0.03157908590262774
24,Total stent length,0.030751021082487326
25,stent overlap,0.029568338642832707
26,Initial diagnosis-AMI,0.027051379825409005
27,DAPT,0.02628237267596387
28,Vessel dialation,0.025199935619585095
29,P-RCA,0.022611091737021517
30,Lesion location-Ostial,0.022211580612062413
31,Platelet,0.02183997355472553
32,CKD60,0.021337655299947092
33,Ticagrelor,0.020636498200655284
34,Chronic renal insufficiency,0.02029875632940583
35,TIMI-1,0.020145580872639755
36,STEMI,0.01967938955782769
37,Previous MI,0.018981642139905556
38,TIMI-2,0.018238526941143172
39,Dissection,0.01696722369837719
40,Diabetes,0.01605226826760254
41,UA,0.01583309147444605
42,Clopidogrel,0.015743332412761192
43,Slow flow,0.015705381728300664
44,Pre-TIMI flow-3,0.014727054452978576
45,TIMI-0,0.014626414144921135
46,Ulceration,0.014159879538981884
47,Aneurysm,0.014021817043833852
48,Moderate/severe tortuosity,0.013465554358420397
49,HDL,0.013408854689938153
50,Chronic total occlusion,0.010953728852938629
51,Stroke/TIA,0.010918584900859108
52,Age,0.010694989402933078
53,Moderate/severe calcification,0.010689533435630477
54,Visual thrombus,0.010673390780604898
55,No reflow,0.010534444383609225
56,LVEF,0.010276041202121467
57,Thrombus aspiration,0.009625149781190823
58,Aspirin,0.009546576468633057
59,Hypertension,0.00914433211805933
60,PES,0.009053035974524606
61,TG,0.008720769267943636
62,EVS,0.008546055486965883
63,Staged PCI,0.008220290092513204
64,P-LAD,0.007911252337191149
65,Fast-Glu,0.007883911778581203
66,NSTEMI,0.007870556276730192
67,ZES,0.007443794014862955
68,Current smoker,0.007323007892379329
69,HL,0.007306987584432059
70,Multi-vessel CAD,0.007135961622595515
71,P-LCX,0.007081630671842946
72,2-vessel disease,0.006746690556585143
73,Min-stent diameter,0.006673108402608454
74,Single-vessel disease,0.006551568442985132
75,Bifurcation,0.0062333390449037865
76,3-vessel disease,0.006194144730487823
77,Current drinking,0.006115445747766173
78,Max-stent diameter,0.005890125592622174
79,NO.of vessels,0.005478167828164182
80,Stent release pressure,0.005351638290077
81,Proximal,0.004469749818975443
