rank,feature,mutual_info
1,CaI,0.0192237713404523
2,WBC,0.018360336407357
3,LV,0.0151775929456068
4,eGFR,0.0099310250041235
5,1.1:1Post dilation,0.0079321310724431
6,LDL,0.0076931314225316
7,No postdilation,0.007535002743443
8,HbA1c,0.0074394028517916
9,HGB,0.0046063945021785
10,Fast-Glu,0.0044291042218111
11,TCL,0.0042571991189126
12,Fiberinogen,0.0040403484518958
13,ZES,0.0037828222997431
14,Visual thrombus,0.0037066173809059
15,CKD5,0.0031448047692765
16,HDL,0.0031171651005601
17,Previous PCI,0.0028652450123947
18,PES,0.002774519707446
19,Diabetes,0.0027645101781379
20,LVEF,0.0026035371521213
21,History of HF,0.0025890191401574
22,Previous CABG,0.0025101993198586
23,Total stent length,0.0024169957381641
24,TIMI-0,0.0024100425627859
25,Cre,0.0022812077976053
26,Men,0.0021879159486257
27,Current drinking,0.0021133186949933
28,Initial diagnosis-AMI,0.0020478943727562
29,DAPT,0.0018520400438839
30,CKD90,0.001815570559519
31,Age,0.0017310918931854
32,Stent type-SES,0.0016465880017706
33,TG,0.0015201185220585
34,Dissection,0.0015187721557745
35,NO.of vessels,0.0014908460164577
36,Clopidogrel,0.0014193539468505
37,Single-vessel disease,0.0013773561492946
38,Stroke/TIA,0.0011305687215055
39,P-LAD,0.0011038553952442
40,Bifurcation,0.0011015922371622
41,3-vessel disease,0.001092136386642
42,STEMI,0.0010859036751897
43,Lesion location-Ostial,0.001044652086418
44,UA,0.0009236038236852
45,EVS,0.0007532938004681
46,NSTEMI,0.0006049278737509
47,HL,0.000589283234299
48,2-vessel disease,0.0005285689436238
49,P-RCA,0.0005247076204866
50,P-LCX,0.0004795460753441
51,Ulceration,0.0004274938885291
52,Aspirin,0.0004067814816786
53,Moderate/severe calcification,0.0003558504572804
54,Chronic renal insufficiency,0.0003434872943544
55,Proximal,0.0001909960853301
56,Stent release pressure,0.0001291276415871
57,No.of stents per lesion,0.0001278633009009
58,Slow flow,0.0001038666075927
59,Aneurysm,2.791245094102557e-05
60,Ticagrelor,0.0
61,CKD60,0.0
62,Platelet,0.0
63,Max-stent diameter,0.0
64,Min-stent diameter,0.0
65,stent overlap,0.0
66,Vessel dialation,0.0
67,P-LM,0.0
68,Pre-TIMI flow-3,0.0
69,TIMI-2,0.0
70,No reflow,0.0
71,Thrombus aspiration,0.0
72,Staged PCI,0.0
73,TIMI-1,0.0
74,Cardiogenic shock,0.0
75,Multi-vessel CAD,0.0
76,Moderate/severe tortuosity,0.0
77,Chronic total occlusion,0.0
78,History of peripheral vascualr disease,0.0
79,Previous MI,0.0
80,Current smoker,0.0
81,Hypertension,0.0
