rank,feature,importance_score,n_methods,selection_freq,shap_mean_abs,mutual_info,in_mi_top,in_shap_top
1,WBC,0.9875,3,1.0,0.0609390566969941,0.018360336407357,True,True
2,LV,0.9666666666666668,3,0.6,0.0524679751170209,0.0151775929456068,True,True
3,eGFR,0.9583333333333334,3,0.5,0.0771297267945773,0.0099310250041235,True,True
4,1.1:1Post dilation,0.8937499999999999,2,0.3,0.0171921182410742,0.0079321310724431,True,True
5,CaI,0.8833333333333333,2,0.2,0.0135497945838429,0.0192237713404523,True,True
6,Cre,0.875,2,0.5,0.1584529411411902,0.0022812077976053,False,True
7,HbA1c,0.8645833333333334,2,0.3,0.0090979315182631,0.0074394028517916,True,True
8,No postdilation,0.8625000000000002,2,0.2,0.01390412318741,0.007535002743443,True,True
9,LDL,0.8229166666666666,2,0.1,0.0252947635438068,0.0076931314225316,True,True
10,Fiberinogen,0.8000000000000002,2,0.6,0.0039860387874597,0.0040403484518958,True,False
11,LVEF,0.7416666666666667,0,0.2,0.004711544642357,0.0026035371521213,False,False
12,STEMI,0.7312500000000001,0,0.4,0.0086268992274727,0.0010859036751897,False,False
13,HGB,0.7229166666666668,1,0.1,0.0045375076050587,0.0046063945021785,True,False
14,Fast-Glu,0.7104166666666667,1,0.1,0.0043170540568397,0.0044291042218111,True,False
15,ZES,0.6875,2,0.6,0.0018942201739745,0.0037828222997431,True,False
