model,fold,n,n_pos,pr_auc,roc_auc
Logistic Regression,1,1037,18,0.17688768833093874,0.8177952240758914
Logistic Regression,2,1037,18,0.25488646389268316,0.919256351542907
Logistic Regression,3,1037,18,0.20134840085082578,0.8170319485334205
Logistic Regression,4,1037,19,0.3369292226606313,0.9050253334712025
Logistic Regression,5,1037,19,0.4481297810541569,0.8764347016854513
Random Forest,1,1037,18,0.40606232896694244,0.904536037509541
Random Forest,2,1037,18,0.44431160938472847,0.8728328426561989
Random Forest,3,1037,18,0.36232085502670575,0.8558499618362229
Random Forest,4,1037,19,0.2575595648427482,0.9091097094405955
Random Forest,5,1037,19,0.4512030661937529,0.8978388998035365
XGBoost,1,1037,18,0.6705502222222305,0.9605277505179368
XGBoost,2,1037,18,0.703767432687566,0.9447715625340748
XGBoost,3,1037,18,0.6118309436530347,0.8740050158107076
XGBoost,4,1037,19,0.7293727406445398,0.9675317960914073
XGBoost,5,1037,19,0.5084955907218485,0.9363044152621238
LightGBM,1,1037,18,0.7248548698178627,0.9664158761312834
LightGBM,2,1037,18,0.640665928679715,0.9457529168029659
LightGBM,3,1037,18,0.575884180530772,0.8885617707992585
LightGBM,4,1037,19,0.7013869738077074,0.9680488057077861
LightGBM,5,1037,19,0.48105919190871177,0.9602419605004653
CatBoost,1,1037,18,0.5665900790512614,0.9585650419801549
CatBoost,2,1037,18,0.6603197454377868,0.9325591538545415
CatBoost,3,1037,18,0.5910371133350032,0.927543343146876
CatBoost,4,1037,19,0.5914544118706826,0.9614827835797747
CatBoost,5,1037,19,0.5241293233721178,0.9286009719780788
TabPFN thinking v3,1,1037,18,0.8320273426251688,0.9928034020281321
TabPFN thinking v3,2,1037,18,0.7626322414548135,0.9846799694689783
TabPFN thinking v3,3,1037,18,0.7742873470655128,0.9682150256242504
TabPFN thinking v3,4,1037,19,0.8908194773092817,0.9943128942198325
TabPFN thinking v3,5,1037,19,0.9075355054302421,0.9814910557336367
TabPFN thinking v3.5,1,1037,18,0.8802096944909705,0.9943844727946789
TabPFN thinking v3.5,2,1037,18,0.907810752631137,0.9934576382073929
TabPFN thinking v3.5,3,1037,18,0.9433693711402691,0.9986915276414786
TabPFN thinking v3.5,4,1037,19,0.9858299595141697,0.9996380932685348
TabPFN thinking v3.5,5,1037,19,0.896132741527478,0.9962775307620721
TabPFN v3,1,1037,18,0.7173169467471125,0.984298331697743
TabPFN v3,2,1037,18,0.7722184269003267,0.9797186784429178
TabPFN v3,3,1037,18,0.6849174004425898,0.9528404754116235
TabPFN v3,4,1037,19,0.7396996608119881,0.9798883259228621
TabPFN v3,5,1037,19,0.7289404133390446,0.9737876124495916
TabPFN v3.5,1,1037,18,0.9364578794480756,0.9977646930541926
TabPFN v3.5,2,1037,18,0.8995558251560727,0.99084069349035
TabPFN v3.5,3,1037,18,0.823728530472755,0.9828263002944063
TabPFN v3.5,4,1037,19,0.9594779598038516,0.9991727846137938
TabPFN v3.5,5,1037,19,0.8782703368997292,0.9906421259435426
