iter	Passed	Remaining
0	55	11013
1	61	6111
2	68	4478
3	75	3698
4	81	3189
5	88	2854
6	94	2602
7	100	2415
8	108	2295
9	114	2175
10	121	2081
11	127	2001
12	134	1930
13	140	1870
14	147	1814
15	153	1768
16	160	1728
17	166	1687
18	173	1651
19	180	1620
20	187	1594
21	193	1565
22	200	1541
23	207	1518
24	213	1496
25	220	1476
26	226	1454
27	233	1434
28	240	1416
29	246	1396
30	253	1379
31	259	1362
32	265	1345
33	272	1330
34	278	1315
35	285	1301
36	292	1287
37	298	1273
38	305	1260
39	311	1247
40	318	1234
41	325	1222
42	331	1210
43	338	1199
44	344	1186
45	351	1175
46	357	1163
47	364	1153
48	370	1141
49	376	1130
50	383	1120
51	389	1109
52	396	1100
53	403	1090
54	409	1080
55	416	1071
56	422	1060
57	429	1051
58	435	1041
59	442	1031
60	448	1022
61	455	1013
62	462	1004
63	468	996
64	475	987
65	481	978
66	488	969
67	494	960
68	501	951
69	507	942
70	513	933
71	520	924
72	526	915
73	532	906
74	538	897
75	544	888
76	551	880
77	557	871
78	563	863
79	570	855
80	576	846
81	582	838
82	589	830
83	595	823
84	602	815
85	608	806
86	615	798
87	621	791
88	627	783
89	634	775
90	640	767
91	646	759
92	653	751
93	659	743
94	666	736
95	673	729
96	679	721
97	686	714
98	692	706
99	698	698
100	704	691
101	711	683
102	717	675
103	723	668
104	730	660
105	736	653
106	742	645
107	749	638
108	755	630
109	761	622
110	767	615
111	774	608
112	780	600
113	786	593
114	793	586
115	799	579
116	805	571
117	812	564
118	818	557
119	825	550
120	831	543
121	839	537
122	846	530
123	853	523
124	859	515
125	866	508
126	872	501
127	878	494
128	885	487
129	891	480
130	898	473
131	904	466
132	911	459
133	917	452
134	924	444
135	930	437
136	936	430
137	943	423
138	949	416
139	956	409
140	962	402
141	968	395
142	974	388
143	981	381
144	987	374
145	994	367
146	1000	360
147	1006	353
148	1012	346
149	1019	339
150	1025	332
151	1031	325
152	1038	319
153	1045	312
154	1051	305
155	1058	298
156	1065	291
157	1072	285
158	1078	278
159	1085	271
160	1091	264
161	1100	258
162	1106	251
163	1113	244
164	1119	237
165	1126	230
166	1132	223
167	1138	216
168	1145	210
169	1151	203
170	1157	196
171	1164	189
172	1170	182
173	1177	175
174	1183	169
175	1190	162
176	1196	155
177	1202	148
178	1208	141
179	1215	135
180	1221	128
181	1228	121
182	1234	114
183	1240	107
184	1247	101
185	1253	94
186	1260	87
187	1267	80
188	1273	74
189	1280	67
190	1287	60
191	1294	53
192	1300	47
193	1307	40
194	1314	33
195	1320	26
196	1327	20
197	1334	13
198	1341	6
199	1347	0
