iter	PRAUC	Logloss
0	0.8918594639	0.6613647599
1	0.8894399438	0.6368731276
2	0.9480863948	0.6207262233
3	0.9520239965	0.6056732471
4	0.9533747896	0.5896434977
5	0.9553661963	0.569135971
6	0.9553924947	0.5540281249
7	0.9622624382	0.543966724
8	0.9639076917	0.5284110837
9	0.9620915413	0.5158367685
10	0.965598925	0.5002487939
11	0.9695772564	0.4878102105
12	0.9690865272	0.4826275813
13	0.9713811644	0.4696872249
14	0.9709897272	0.4637021312
15	0.9724216637	0.4589383266
16	0.972130863	0.4521938363
17	0.9716749128	0.4472428938
18	0.973352014	0.4389166786
19	0.9731499137	0.4348663206
20	0.9729060196	0.4294963773
21	0.972703499	0.422993923
22	0.9749784442	0.4146695254
23	0.9743255421	0.4113198406
24	0.9761855038	0.4057862256
25	0.9759077692	0.401930507
26	0.9769372659	0.3989197085
27	0.9780386972	0.3949200468
28	0.9790824637	0.3915144651
29	0.9788581352	0.3881964084
30	0.9789286002	0.384678499
31	0.9800475013	0.3824784159
32	0.9801747438	0.3791572915
33	0.9799771806	0.3758671777
34	0.9796092269	0.3724636902
35	0.9802496277	0.3700053351
36	0.9806533427	0.3683025635
37	0.9811685912	0.3647519111
38	0.9811860703	0.3612127576
39	0.9808231968	0.359726844
40	0.9817920107	0.3549983777
41	0.9820723186	0.3526586819
42	0.9816500928	0.3488233474
43	0.9823859402	0.3443708462
44	0.9822047582	0.3407408562
45	0.9818118091	0.3392025953
46	0.9822639278	0.3358849905
47	0.9827380011	0.3321080234
48	0.9828209023	0.3301268339
49	0.9829291457	0.3255913382
50	0.983881697	0.3223577004
51	0.9836049274	0.3206556246
52	0.9847855947	0.3159647838
53	0.984911097	0.3149824756
54	0.9847809766	0.3115742304
55	0.9847934602	0.3105727413
56	0.9846225802	0.3077834235
57	0.9847691732	0.3068747162
58	0.9852497436	0.3029683213
59	0.9853634896	0.3002690361
60	0.9857329952	0.2975944172
61	0.9861027418	0.29633679
62	0.986753965	0.2917021649
63	0.9873603061	0.2887428871
64	0.9875801895	0.2873779962
65	0.9876865707	0.2853852698
66	0.9885281707	0.2803448415
67	0.9890354716	0.2786001298
68	0.9892851425	0.2772193036
69	0.9894650499	0.2749078378
70	0.9901550179	0.2716706874
71	0.9907453699	0.2677306249
72	0.9907841474	0.2671634568
73	0.9913017137	0.2643091212
74	0.9917115965	0.2611085039
75	0.9917960387	0.2599058836
76	0.9921353859	0.2587006466
77	0.9922726119	0.256974442
78	0.9925262995	0.2558795789
79	0.992583488	0.2522015786
80	0.9925881364	0.2518722376
81	0.9929530408	0.2477332419
82	0.9930129755	0.2471026573
83	0.9934510068	0.2435709607
84	0.9935818405	0.2418603189
85	0.9939938849	0.2398605427
86	0.99405248	0.2373691752
87	0.9941384414	0.236546032
88	0.9941436485	0.2353301767
89	0.9940774737	0.2345868831
90	0.9941810041	0.2339038693
91	0.9944078575	0.2325174877
92	0.9944344503	0.2318323746
93	0.9946662517	0.229007256
94	0.9947170324	0.2268697269
95	0.9947562942	0.2262537911
96	0.9948730842	0.2251166881
97	0.99506673	0.223940604
98	0.9952190038	0.2224884534
99	0.9954440908	0.2214174869
100	0.995535232	0.2207501358
101	0.9957121057	0.2193291229
102	0.995964302	0.2159918623
103	0.9958914067	0.2145107671
104	0.9959784827	0.2127461436
105	0.9960676455	0.2118230702
106	0.9961688868	0.2109248265
107	0.9962788499	0.2090592734
108	0.9962660213	0.2075216207
109	0.9964431413	0.2052862784
110	0.9965366119	0.2041038447
111	0.9966033639	0.2031422944
112	0.9969144026	0.2018170831
113	0.9969121248	0.1999015634
114	0.9970329911	0.1988317748
115	0.9971205963	0.1977636948
116	0.9971453133	0.1962124577
117	0.997176974	0.1950591864
118	0.9973064168	0.1940716591
119	0.9972979787	0.192779567
120	0.9973546913	0.1915882081
121	0.9974268087	0.1908842948
122	0.9974278073	0.1900515635
123	0.9974188778	0.1892710579
124	0.9974957148	0.1879263964
125	0.997606335	0.1871360973
126	0.9975854858	0.1863086434
127	0.9976314168	0.1853229321
128	0.9977058735	0.1842951745
129	0.9977505687	0.1825927949
130	0.9978342668	0.1816110197
131	0.9978795755	0.1811554781
132	0.9979053148	0.1804651954
133	0.9979167868	0.1798589648
134	0.9979659869	0.1792397843
135	0.9979258703	0.1786568612
136	0.9979901404	0.1778526928
137	0.9980015295	0.1771854732
138	0.9980315523	0.1765261809
139	0.9980102355	0.1754481939
140	0.9980995064	0.1748904755
141	0.9981288831	0.1743240332
142	0.9981278748	0.173446572
143	0.9982463852	0.1719883841
144	0.9983100061	0.1713551994
145	0.9983099458	0.1708187284
146	0.9983978053	0.169785673
147	0.9983978053	0.1695040816
148	0.998507861	0.16866015
149	0.9984990038	0.1680605419
150	0.9985128337	0.1678037219
151	0.9985798764	0.1660129335
152	0.9985839926	0.1656522016
153	0.9986211505	0.1651718844
154	0.9986398967	0.1644675361
155	0.9986724852	0.1630680815
156	0.9986302195	0.1620976409
157	0.9986543345	0.1613283403
158	0.998706459	0.1608106471
159	0.9987283475	0.1602289586
160	0.998725509	0.1597493176
161	0.9987451619	0.1591603101
162	0.9987529961	0.1578185575
163	0.9987813462	0.1566101074
164	0.9988045457	0.1559447024
165	0.9988183274	0.1542936298
166	0.9988530849	0.1534316848
167	0.9988985213	0.1526080213
168	0.9989423969	0.1518767184
169	0.9989869169	0.1512421716
170	0.999012468	0.1503712084
171	0.9990217316	0.1493010464
172	0.999043728	0.1487367382
173	0.9990447686	0.1483819223
174	0.9990773251	0.1475021335
175	0.9991470199	0.1463058529
176	0.9991894565	0.144085954
177	0.9991988909	0.1428242951
178	0.9992293728	0.1415607915
179	0.9992538217	0.1407569314
180	0.9992796004	0.1403239029
181	0.9992784464	0.1397005818
182	0.9993282589	0.1384778705
183	0.9993638361	0.1374003832
184	0.9993923501	0.1368922844
185	0.9994157895	0.1364672439
186	0.9994203309	0.1360355405
187	0.9994691902	0.134607966
188	0.999478359	0.1339545107
189	0.9994682754	0.13325944
190	0.9994671452	0.1321973854
191	0.9995055156	0.1315377472
192	0.9995270023	0.130840391
193	0.9995363286	0.1302698128
194	0.9995401949	0.129793792
195	0.9995458792	0.1275327776
196	0.9995597552	0.1272070813
197	0.999559386	0.1267159777
198	0.9995682531	0.1260859977
199	0.9995771253	0.1256351193
