iter	Passed	Remaining
0	49	9915
1	52	5228
2	55	3658
3	58	2871
4	61	2402
5	64	2086
6	67	1864
7	70	1695
8	73	1567
9	76	1459
10	79	1372
11	83	1301
12	86	1238
13	89	1185
14	92	1135
15	95	1093
16	98	1055
17	100	1020
18	104	990
19	106	962
20	110	937
21	113	915
22	116	893
23	119	873
24	122	854
25	125	837
26	128	820
27	131	806
28	134	792
29	137	777
30	140	765
31	143	752
32	146	740
33	149	730
34	152	719
35	155	709
36	158	698
37	161	689
38	164	680
39	167	670
40	170	661
41	173	653
42	176	644
43	179	637
44	182	629
45	185	621
46	188	614
47	191	607
48	195	601
49	197	593
50	200	586
51	203	580
52	206	573
53	210	568
54	213	562
55	216	556
56	219	550
57	222	545
58	226	540
59	229	534
60	232	529
61	235	524
62	238	519
63	241	513
64	244	508
65	248	503
66	251	498
67	254	493
68	257	488
69	260	483
70	263	478
71	266	473
72	269	468
73	272	464
74	275	459
75	279	455
76	282	450
77	285	446
78	288	441
79	290	436
80	294	432
81	297	428
82	300	423
83	303	419
84	306	415
85	309	410
86	313	406
87	316	402
88	319	397
89	322	393
90	325	389
91	328	385
92	331	381
93	334	377
94	338	373
95	342	370
96	345	367
97	348	362
98	351	358
99	354	354
100	357	350
101	360	346
102	363	342
103	367	338
104	370	334
105	373	331
106	376	327
107	379	323
108	382	319
109	385	315
110	389	311
111	392	308
112	395	304
113	398	300
114	401	296
115	404	292
116	407	289
117	410	285
118	413	281
119	416	277
120	419	274
121	422	270
122	425	266
123	429	263
124	432	259
125	435	255
126	438	251
127	441	248
128	444	244
129	447	240
130	451	237
131	454	233
132	457	230
133	460	226
134	463	223
135	466	219
136	470	216
137	473	212
138	476	209
139	480	205
140	483	202
141	487	198
142	490	195
143	494	192
144	497	188
145	500	185
146	504	181
147	507	178
148	510	174
149	514	171
150	517	168
151	521	164
152	525	161
153	528	157
154	532	154
155	535	151
156	538	147
157	542	144
158	545	140
159	548	137
160	552	133
161	555	130
162	558	126
163	562	123
164	565	119
165	568	116
166	572	113
167	575	109
168	579	106
169	582	102
170	585	99
171	589	95
172	592	92
173	596	89
174	599	85
175	602	82
176	606	78
177	609	75
178	612	71
179	616	68
180	619	65
181	622	61
182	626	58
183	629	54
184	632	51
185	636	47
186	639	44
187	642	41
188	645	37
189	648	34
190	651	30
191	654	27
192	657	23
193	660	20
194	663	17
195	667	13
196	670	10
197	673	6
198	677	3
199	680	0
