iter	Passed	Remaining
0	24	24007
1	46	23429
2	69	23107
3	92	23120
4	115	23031
5	139	23034
6	161	22947
7	184	22885
8	207	22829
9	230	22781
10	252	22722
11	275	22684
12	297	22624
13	320	22591
14	343	22555
15	367	22576
16	389	22537
17	412	22502
18	436	22522
19	460	22556
20	484	22582
21	508	22585
22	531	22588
23	554	22549
24	576	22502
25	599	22453
26	621	22397
27	643	22338
28	666	22307
29	690	22321
30	714	22347
31	739	22363
32	763	22368
33	787	22379
34	811	22379
35	836	22391
36	860	22400
37	884	22400
38	908	22386
39	932	22387
40	957	22395
41	981	22388
42	1006	22390
43	1030	22379
44	1053	22361
45	1079	22377
46	1103	22369
47	1127	22364
48	1152	22369
49	1176	22360
50	1201	22358
51	1226	22368
52	1252	22378
53	1276	22370
54	1300	22352
55	1324	22331
56	1346	22278
57	1368	22232
58	1390	22184
59	1415	22173
60	1439	22163
61	1463	22148
62	1487	22126
63	1511	22111
64	1536	22097
65	1560	22088
66	1585	22073
67	1609	22054
68	1633	22039
69	1657	22024
70	1682	22016
71	1706	21994
72	1730	21974
73	1745	21847
74	1769	21829
75	1794	21817
76	1818	21800
77	1842	21782
78	1866	21764
79	1890	21743
80	1915	21732
81	1934	21654
82	1958	21639
83	1982	21617
84	2005	21593
85	2028	21561
86	2050	21521
87	2072	21479
88	2088	21382
89	2110	21342
90	2132	21304
91	2154	21263
92	2175	21220
93	2197	21179
94	2218	21137
95	2240	21099
96	2262	21062
97	2285	21038
98	2309	21016
99	2332	20991
100	2355	20963
101	2376	20925
102	2391	20828
103	2413	20796
104	2436	20767
105	2458	20733
106	2479	20696
107	2503	20675
108	2520	20599
109	2541	20566
110	2564	20537
111	2586	20503
112	2608	20472
113	2621	20376
114	2636	20287
115	2658	20259
116	2680	20226
117	2695	20145
118	2717	20121
119	2740	20093
120	2757	20029
121	2779	20001
122	2801	19972
123	2823	19947
124	2845	19920
125	2868	19899
126	2891	19873
127	2913	19846
128	2935	19817
129	2956	19787
130	2979	19763
131	3001	19735
132	3023	19710
133	3045	19683
134	3067	19656
135	3090	19631
136	3113	19611
137	3136	19593
138	3151	19521
139	3174	19500
140	3189	19432
141	3212	19411
142	3227	19341
143	3249	19317
144	3272	19296
145	3294	19273
146	3317	19248
147	3338	19220
148	3352	19146
149	3373	19118
150	3396	19094
151	3412	19039
152	3435	19016
153	3458	18997
154	3480	18975
155	3503	18953
156	3525	18930
157	3548	18911
158	3570	18887
159	3593	18868
160	3617	18848
161	3639	18825
162	3662	18804
163	3684	18783
164	3707	18760
165	3730	18743
166	3753	18721
167	3775	18698
168	3798	18677
169	3821	18656
170	3844	18638
171	3867	18618
172	3890	18598
173	3913	18576
174	3935	18553
175	3958	18531
176	3980	18507
177	4002	18484
178	4024	18461
179	4047	18438
180	4070	18416
181	4092	18394
182	4114	18370
183	4137	18348
184	4159	18325
185	4182	18306
186	4205	18285
187	4228	18262
188	4250	18239
189	4273	18217
190	4296	18196
191	4317	18169
192	4338	18142
193	4360	18117
194	4373	18053
195	4395	18032
196	4418	18011
197	4442	17993
198	4465	17974
199	4488	17952
200	4511	17933
201	4533	17910
202	4556	17888
203	4578	17866
204	4601	17845
205	4625	17826
206	4647	17803
207	4670	17784
208	4693	17762
209	4715	17740
210	4738	17719
211	4761	17697
212	4783	17674
213	4806	17653
214	4828	17631
215	4846	17590
216	4869	17568
217	4892	17548
218	4914	17527
219	4937	17504
220	4960	17484
221	4982	17461
222	5005	17439
223	5028	17418
224	5050	17396
225	5073	17375
226	5095	17352
227	5117	17329
228	5140	17307
229	5163	17286
230	5185	17264
231	5208	17242
232	5230	17219
233	5253	17197
234	5276	17176
235	5298	17154
236	5320	17129
237	5342	17105
238	5364	17081
239	5386	17057
240	5409	17035
241	5431	17013
242	5453	16988
243	5475	16964
244	5497	16940
245	5519	16918
246	5541	16894
247	5563	16869
248	5585	16845
249	5607	16822
250	5629	16799
251	5651	16775
252	5673	16751
253	5695	16727
254	5717	16703
255	5740	16682
256	5762	16659
257	5784	16635
258	5806	16611
259	5828	16587
260	5850	16564
261	5872	16541
262	5894	16517
263	5917	16496
264	5940	16475
265	5963	16454
266	5985	16432
267	6008	16410
268	6030	16387
269	6053	16367
270	6077	16347
271	6100	16326
272	6123	16305
273	6146	16285
274	6169	16264
275	6192	16243
276	6214	16221
277	6237	16200
278	6260	16178
279	6283	16158
280	6306	16137
281	6329	16115
282	6351	16093
283	6374	16071
284	6397	16049
285	6420	16029
286	6444	16009
287	6467	15988
288	6489	15965
289	6512	15944
290	6537	15927
291	6559	15905
292	6582	15884
293	6606	15864
294	6629	15843
295	6652	15823
296	6675	15800
297	6697	15777
298	6722	15759
299	6749	15748
300	6780	15746
301	6804	15726
302	6827	15705
303	6850	15683
304	6873	15661
305	6896	15640
306	6919	15619
307	6942	15598
308	6965	15576
309	6988	15554
310	7011	15533
311	7034	15511
312	7057	15490
313	7080	15468
314	7103	15447
315	7126	15426
316	7149	15404
317	7172	15382
318	7194	15359
319	7217	15337
320	7241	15316
321	7263	15294
322	7286	15272
323	7308	15249
324	7331	15227
325	7354	15204
326	7375	15180
327	7398	15157
328	7420	15134
329	7443	15112
330	7466	15089
331	7487	15065
332	7510	15042
333	7532	15019
334	7554	14996
335	7577	14973
336	7599	14951
337	7621	14927
338	7643	14904
339	7667	14883
340	7692	14866
341	7716	14845
342	7740	14825
343	7761	14801
344	7783	14777
345	7806	14755
346	7827	14730
347	7850	14707
348	7872	14684
349	7894	14661
350	7917	14638
351	7939	14615
352	7961	14591
353	7983	14568
354	8005	14545
355	8028	14523
356	8050	14500
357	8072	14477
358	8095	14454
359	8117	14431
360	8140	14409
361	8162	14385
362	8184	14362
363	8206	14339
364	8229	14317
365	8251	14294
366	8274	14271
367	8296	14248
368	8319	14226
369	8342	14204
370	8365	14182
371	8387	14160
372	8411	14140
373	8436	14121
374	8458	14097
375	8481	14074
376	8503	14052
377	8526	14030
378	8549	14008
379	8572	13986
380	8596	13965
381	8618	13943
382	8641	13921
383	8664	13899
384	8687	13877
385	8710	13855
386	8732	13832
387	8755	13810
388	8778	13788
389	8801	13766
390	8824	13743
391	8846	13720
392	8868	13697
393	8890	13673
394	8912	13650
395	8934	13627
396	8956	13604
397	8979	13581
398	9001	13558
399	9024	13536
400	9046	13513
401	9068	13490
402	9091	13467
403	9113	13444
404	9135	13421
405	9157	13397
406	9179	13374
407	9201	13351
408	9223	13328
409	9246	13305
410	9269	13284
411	9293	13263
412	9316	13241
413	9339	13220
414	9362	13197
415	9386	13176
416	9408	13154
417	9432	13133
418	9455	13111
419	9478	13089
420	9502	13068
421	9524	13045
422	9547	13023
423	9570	13002
424	9593	12979
425	9617	12958
426	9640	12936
427	9663	12914
428	9686	12892
429	9708	12870
430	9732	12848
431	9754	12825
432	9777	12803
433	9799	12780
434	9822	12758
435	9846	12736
436	9870	12716
437	9894	12696
438	9919	12675
439	9943	12655
440	9968	12635
441	9992	12615
442	10017	12595
443	10041	12574
444	10066	12554
445	10091	12534
446	10115	12514
447	10140	12494
448	10164	12473
449	10188	12452
450	10213	12433
451	10238	12412
452	10262	12392
453	10287	12372
454	10312	12352
455	10337	12331
456	10361	12311
457	10385	12290
458	10410	12270
459	10434	12249
460	10459	12229
461	10484	12208
462	10509	12188
463	10533	12167
464	10557	12146
465	10582	12126
466	10606	12105
467	10630	12084
468	10654	12063
469	10679	12042
470	10704	12022
471	10728	12001
472	10752	11980
473	10776	11959
474	10801	11938
475	10825	11917
476	10848	11894
477	10870	11871
478	10893	11848
479	10916	11825
480	10938	11802
481	10961	11779
482	10983	11756
