iter	Passed	Remaining
0	24	24521
1	48	24319
2	72	24098
3	96	24118
4	120	24001
5	144	24007
6	168	23951
7	192	23865
8	216	23814
9	239	23753
10	263	23710
11	287	23660
12	311	23629
13	335	23620
14	359	23594
15	384	23631
16	408	23614
17	432	23570
18	456	23544
19	480	23541
20	504	23523
21	528	23494
22	552	23463
23	576	23453
24	600	23437
25	625	23423
26	649	23397
27	673	23366
28	696	23334
29	720	23304
30	745	23293
31	769	23270
32	793	23239
33	817	23227
34	841	23189
35	864	23161
36	888	23136
37	912	23102
38	936	23070
39	958	23010
40	981	22962
41	1004	22906
42	1027	22868
43	1050	22815
44	1072	22754
45	1095	22715
46	1117	22661
47	1140	22613
48	1162	22565
49	1185	22526
50	1208	22487
51	1231	22446
52	1254	22416
53	1277	22382
54	1300	22340
55	1323	22302
56	1345	22261
57	1368	22226
58	1391	22195
59	1414	22153
60	1436	22110
61	1458	22069
62	1480	22021
63	1502	21978
64	1525	21939
65	1547	21902
66	1569	21861
67	1591	21819
68	1614	21784
69	1636	21744
70	1659	21708
71	1680	21664
72	1702	21622
73	1715	21472
74	1739	21448
75	1761	21421
76	1784	21387
77	1807	21360
78	1830	21342
79	1854	21322
80	1878	21312
81	1896	21232
82	1920	21217
83	1943	21195
84	1967	21178
85	1991	21170
86	2015	21150
87	2039	21132
88	2055	21036
89	2077	21005
90	2099	20971
91	2121	20935
92	2142	20899
93	2164	20864
94	2186	20826
95	2208	20794
96	2231	20771
97	2252	20736
98	2274	20704
99	2297	20676
100	2319	20647
101	2341	20612
102	2354	20508
103	2377	20479
104	2398	20447
105	2421	20419
106	2442	20384
107	2464	20356
108	2480	20278
109	2502	20245
110	2524	20216
111	2545	20185
112	2567	20155
113	2580	20058
114	2594	19965
115	2616	19938
116	2637	19908
117	2651	19819
118	2674	19796
119	2696	19770
120	2712	19706
121	2734	19680
122	2756	19654
123	2778	19630
124	2800	19605
125	2824	19594
126	2846	19568
127	2868	19541
128	2890	19514
129	2911	19485
130	2933	19462
131	2955	19435
132	2977	19409
133	2999	19383
134	3021	19356
135	3042	19331
136	3064	19303
137	3086	19279
138	3099	19198
139	3120	19171
140	3134	19094
141	3155	19067
142	3168	18990
143	3190	18964
144	3212	18941
145	3234	18920
146	3256	18894
147	3278	18873
148	3291	18798
149	3313	18773
150	3335	18753
151	3352	18703
152	3374	18680
153	3397	18661
154	3418	18638
155	3441	18618
156	3463	18594
157	3485	18572
158	3506	18549
159	3528	18526
160	3551	18509
161	3573	18486
162	3596	18465
163	3618	18444
164	3640	18422
165	3663	18404
166	3685	18385
167	3709	18372
168	3733	18359
169	3757	18347
170	3782	18336
171	3806	18324
172	3829	18304
173	3851	18283
174	3873	18262
175	3896	18242
176	3918	18219
177	3941	18199
178	3964	18185
179	3988	18171
180	4011	18152
181	4034	18131
182	4055	18107
183	4078	18085
184	4100	18063
185	4122	18043
186	4145	18023
187	4168	18002
188	4191	17984
189	4214	17965
190	4237	17950
191	4260	17927
192	4282	17906
193	4305	17886
194	4318	17827
195	4341	17808
196	4363	17786
197	4385	17764
198	4408	17745
199	4431	17725
200	4454	17706
201	4476	17685
202	4499	17664
203	4521	17643
204	4544	17623
205	4567	17603
206	4588	17579
207	4611	17559
208	4632	17534
209	4655	17512
210	4677	17492
211	4700	17471
212	4722	17449
213	4745	17428
214	4767	17408
215	4787	17376
216	4813	17367
217	4837	17352
218	4861	17336
219	4885	17320
220	4909	17306
221	4932	17287
222	4955	17265
223	4977	17243
224	5000	17223
225	5027	17217
226	5053	17208
227	5080	17201
228	5102	17180
229	5125	17158
230	5147	17135
231	5169	17114
232	5191	17090
233	5214	17068
234	5235	17044
235	5258	17023
236	5280	16999
237	5302	16976
238	5324	16953
239	5346	16930
240	5368	16908
241	5391	16886
242	5413	16863
243	5435	16839
244	5456	16816
245	5479	16795
246	5501	16772
247	5523	16749
248	5545	16726
249	5568	16705
250	5591	16684
251	5612	16660
252	5635	16637
253	5657	16614
254	5679	16592
255	5702	16571
256	5723	16548
