model,family,split,pr_auc,roc_auc,f1,precision,recall,pr_auc_cv_mean,pr_auc_cv_std,source
lr,baseline,test,0.474,0.943,0.157,0.088,0.778,,,advanced.ipynb
rf,baseline,test,0.599,0.941,0.556,0.556,0.556,,,advanced.ipynb
cat,baseline,test,0.429,0.954,0.426,0.302,0.722,,,advanced.ipynb
xgb,baseline,test,0.673,0.971,0.516,0.615,0.444,0.662,0.04,results.ipynb
lgb,baseline,test,0.705,0.936,0.288,0.174,0.833,0.648,0.05,results.ipynb
tabpfn,tabpfn,test,0.765,0.994,0.636,0.550,0.750,0.775,0.057,results.ipynb
tabpfn_ref,tabpfn,test,0.818,0.991,0.755,0.800,0.714,,,tabpfn.ipynb
tabpfn_blend_optuna,tabpfn,test,0.779,0.991,0.686,0.647,0.722,,,results.ipynb
tabpfn_blend_stacking,tabpfn,test,0.816,0.992,0.750,0.750,0.750,,,tabpfn.ipynb
adv_7way,advanced,test,0.705,0.955,0.537,0.478,0.611,,,results.ipynb
