feature,importance,score_without
eGFR,0.333471,0.484574
Cre,0.296360,0.521685
Visual thrombus,0.282919,0.535126
P-LM,0.245415,0.572630
Moderate/severe tortuosity,0.243414,0.574631
Lesion location-Ostial,0.240790,0.577255
Moderate/severe calcification,0.236493,0.581552
Thrombus aspiration,0.230130,0.587915
Ticagrelor,0.228485,0.589560
stent overlap,0.227062,0.590983
Bifurcation,0.224982,0.593062
Dissection,0.219404,0.598641
Proximal,0.217347,0.600698
Ulceration,0.215492,0.602553
Pre-TIMI flow-3,0.213126,0.604919
