Feature,P-value,Test,Family,p_bonferroni,p_holm,p_fdr_bh,Sig Bonferroni (p_adj<0.05),Sig Holm (p_adj<0.05),Sig FDR (q<0.05),Multiplicity family
Time since stent implantation,1.6979128236682988e-34,Mann-Whitney U,continuous,1.392288515408005e-32,1.392288515408005e-32,1.392288515408005e-32,Yes,Yes,Yes,all_association_tests
WBC,7.902144282841582e-21,Mann-Whitney U,continuous,6.479758311930098e-19,6.400736869101682e-19,3.239879155965049e-19,Yes,Yes,Yes,all_association_tests
eGFR,4.6430610786181575e-20,Welch t-test,continuous,3.807310084466889e-18,3.714448862894526e-18,1.269103361488963e-18,Yes,Yes,Yes,all_association_tests
LV,5.4383309460018465e-17,Welch t-test,continuous,4.459431375721514e-15,4.2962814473414585e-15,1.1148578439303785e-15,Yes,Yes,Yes,all_association_tests
CKD5,1.1864369030549834e-05,Mann-Whitney U,continuous,0.0009728782605050864,0.0008779633082606876,0.00010254328646121962,Yes,Yes,Yes,all_association_tests
No.of stents per lesion,0.00014121979786497457,Mann-Whitney U,continuous,0.011580023424927916,0.010167825446278169,0.0010527294022661742,Yes,Yes,Yes,all_association_tests
HbA1c,0.0001975000249745339,Mann-Whitney U,continuous,0.01619500204791178,0.013825001748217372,0.001245769388300906,Yes,Yes,Yes,all_association_tests
NO.of vessels,0.0004766856673643825,Welch t-test,continuous,0.039088224723879364,0.03289131104814239,0.002792016051705669,Yes,Yes,Yes,all_association_tests
Total stent length,0.0011222634842722242,Mann-Whitney U,continuous,0.09202560571032238,0.07631391693051125,0.0061350403806881585,No,No,Yes,all_association_tests
Fiberinogen,0.011910976196995151,Mann-Whitney U,continuous,0.9767000481536025,0.7265695480167043,0.04439545673425466,No,No,Yes,all_association_tests
Fast-Glu,0.02458279422964183,Mann-Whitney U,continuous,1.0,1.0,0.07753035103194732,No,No,No,all_association_tests
LVEF,0.03330140576588231,Mann-Whitney U,continuous,1.0,1.0,0.09752554545722676,No,No,No,all_association_tests
HGB,0.038765041300497856,Welch t-test,continuous,1.0,1.0,0.1096114960910629,No,No,No,all_association_tests
CaI,0.050713641980663055,Mann-Whitney U,continuous,1.0,1.0,0.13861728808047902,No,No,No,all_association_tests
Min-stent diameter,0.10584011246770593,Welch t-test,continuous,1.0,1.0,0.24796826349576817,No,No,No,all_association_tests
LDL,0.32742239625050396,Mann-Whitney U,continuous,1.0,1.0,0.6101962839213937,No,No,No,all_association_tests
TCL,0.3807222453766603,Welch t-test,continuous,1.0,1.0,0.693760536019692,No,No,No,all_association_tests
Age,0.4633458211201912,Welch t-test,continuous,1.0,1.0,0.7759467307290165,No,No,No,all_association_tests
TG,0.5582882325538095,Mann-Whitney U,continuous,1.0,1.0,0.8570923964523113,No,No,No,all_association_tests
Platelet,0.8159502280273638,Mann-Whitney U,continuous,1.0,1.0,1.0,No,No,No,all_association_tests
Cre,0.8785448928231391,Mann-Whitney U,continuous,1.0,1.0,1.0,No,No,No,all_association_tests
Max-stent diameter,0.8854726672269677,Welch t-test,continuous,1.0,1.0,1.0,No,No,No,all_association_tests
HDL,0.8993117604945001,Welch t-test,continuous,1.0,1.0,1.0,No,No,No,all_association_tests
Stent release pressure,0.9486375470511298,Welch t-test,continuous,1.0,1.0,1.0,No,No,No,all_association_tests
1.1:1Post dilation,1.2951772451909664e-10,Chi-square,binary,1.0620453410565924e-08,1.0102382512489538e-08,1.770075568427654e-09,Yes,Yes,Yes,all_association_tests
No postdilation,1.2951772451909664e-10,Chi-square,binary,1.0620453410565924e-08,1.0102382512489538e-08,1.770075568427654e-09,Yes,Yes,Yes,all_association_tests
CKD90,6.550244235288351e-06,Chi-square,binary,0.0005371200272936448,0.0004912683176466263,6.71400034117056e-05,Yes,Yes,Yes,all_association_tests
Previous PCI,1.25052788367341e-05,Fisher exact,binary,0.0010254328646121962,0.0009128853550815893,0.00010254328646121962,Yes,Yes,Yes,all_association_tests
3-vessel disease,0.0001807138876244862,Chi-square,binary,0.014818538785207868,0.012830686021338519,0.0012348782321006558,Yes,Yes,Yes,all_association_tests
Clopidogrel,0.002196624637642745,Chi-square,binary,0.18012322028670508,0.1471738507220639,0.011257701267919067,No,No,Yes,all_association_tests
Diabetes,0.002769502309228314,Chi-square,binary,0.22709918935672174,0.18278715240906873,0.013358775844513044,No,No,Yes,all_association_tests
PES,0.004421005519799075,Chi-square,binary,0.3625224526235241,0.28736535878693986,0.02014013625686245,No,No,Yes,all_association_tests
Multi-vessel CAD,0.006160274021242302,Chi-square,binary,0.5051424697418687,0.3942575373595073,0.025257123487093434,No,No,Yes,all_association_tests
Single-vessel disease,0.006160274021242302,Chi-square,binary,0.5051424697418687,0.3942575373595073,0.025257123487093434,No,No,Yes,all_association_tests
