Feature,Test,Rationale,Direction,Effect size,ES,Δ mean,Δ median,p,q (FDR),Sig,Note
Time since stent implantation,Mann-Whitney U,"skew>1 or kurt>3 → MW; |skew|=2.36, kurt=13.21",Negative,Mann-Whitney r,-0.170,-572.05,-683.00,1.70e-34,4.07e-33,***,Time-at-risk / structural
WBC,Mann-Whitney U,"skew>1 or kurt>3 → MW; |skew|=1.21, kurt=2.12",Positive,Mann-Whitney r,0.130,3.75,3.82,7.90e-21,9.48e-20,***,
eGFR,Welch t-test,"approx symmetric → Welch; |skew|=0.06, kurt=-0.58",Negative,Cohen's d,-0.712,-24.15,-17.58,4.64e-20,3.71e-19,***,
LV,Welch t-test,"approx symmetric → Welch; |skew|=0.97, kurt=2.47",Positive,Cohen's d,1.127,4.56,4.00,5.44e-17,3.26e-16,***,
CKD5,Mann-Whitney U,"skew>1 or kurt>3 → MW; |skew|=2.62, kurt=7.51",Positive,Mann-Whitney r,0.040,0.18,0.00,1.19e-05,5.69e-05,***,
No.of stents per lesion,Mann-Whitney U,"skew>1 or kurt>3 → MW; |skew|=2.13, kurt=4.70",Positive,Mann-Whitney r,0.037,0.21,0.00,0.0001,0.0006,***,
HbA1c,Mann-Whitney U,"skew>1 or kurt>3 → MW; |skew|=1.40, kurt=1.92",Positive,Mann-Whitney r,0.052,0.47,1.05,0.0002,0.0007,***,
NO.of vessels,Welch t-test,"approx symmetric → Welch; |skew|=0.24, kurt=-1.48",Positive,Cohen's d,0.388,0.32,0.00,0.0005,0.0014,**,
Total stent length,Mann-Whitney U,"skew>1 or kurt>3 → MW; |skew|=1.74, kurt=4.15",Positive,Mann-Whitney r,0.045,6.76,2.00,0.0011,0.0030,**,
Fiberinogen,Mann-Whitney U,"skew>1 or kurt>3 → MW; |skew|=1.62, kurt=5.65",Positive,Mann-Whitney r,0.035,0.20,0.17,0.0119,0.0286,*,
Fast-Glu,Mann-Whitney U,"skew>1 or kurt>3 → MW; |skew|=2.42, kurt=7.84",Positive,Mann-Whitney r,0.031,1.12,0.28,0.0246,0.0536,ns,
LVEF,Mann-Whitney U,"skew>1 or kurt>3 → MW; |skew|=1.48, kurt=7.42",Negative,Mann-Whitney r,-0.029,-0.60,-1.00,0.0333,0.0666,ns,
HGB,Welch t-test,"approx symmetric → Welch; |skew|=0.41, kurt=0.52",Positive,Cohen's d,0.179,2.90,0.00,0.0388,0.0716,ns,
CaI,Mann-Whitney U,"skew>1 or kurt>3 → MW; |skew|=2.83, kurt=9.43",Negative,Mann-Whitney r,-0.027,3.17,-4.52,0.0507,0.0869,ns,
Min-stent diameter,Welch t-test,"approx symmetric → Welch; |skew|=0.76, kurt=0.72",Negative,Cohen's d,-0.165,-0.07,0.00,0.1058,0.1693,ns,
LDL,Mann-Whitney U,"skew>1 or kurt>3 → MW; |skew|=1.06, kurt=4.67",Positive,Mann-Whitney r,0.014,0.19,0.06,0.3274,0.4911,ns,
TCL,Welch t-test,"approx symmetric → Welch; |skew|=0.87, kurt=2.75",Positive,Cohen's d,0.115,0.12,0.10,0.3807,0.5375,ns,
Age,Welch t-test,"approx symmetric → Welch; |skew|=0.07, kurt=-0.28",Positive,Cohen's d,0.088,0.88,2.00,0.4633,0.6178,ns,
TG,Mann-Whitney U,"skew>1 or kurt>3 → MW; |skew|=2.13, kurt=8.84",Positive,Mann-Whitney r,0.008,0.20,0.20,0.5583,0.7052,ns,
Platelet,Mann-Whitney U,"skew>1 or kurt>3 → MW; |skew|=1.32, kurt=6.92",Positive,Mann-Whitney r,0.003,-1.07,5.00,0.8160,0.9384,ns,
Cre,Mann-Whitney U,"skew>1 or kurt>3 → MW; |skew|=7.48, kurt=161.34",Positive,Mann-Whitney r,0.002,-0.09,-1.35,0.8785,0.9384,ns,
Max-stent diameter,Welch t-test,"approx symmetric → Welch; |skew|=0.59, kurt=0.30",Positive,Cohen's d,-0.014,-0.01,0.00,0.8855,0.9384,ns,
HDL,Welch t-test,"approx symmetric → Welch; |skew|=0.91, kurt=1.73",Negative,Cohen's d,-0.017,-0.00,0.00,0.8993,0.9384,ns,
Stent release pressure,Welch t-test,"approx symmetric → Welch; |skew|=0.07, kurt=-0.56",Negative,Cohen's d,-0.006,-0.02,0.00,0.9486,0.9486,ns,
