Feature,Type,Univariate OR,Adjusted OR,SE (logOR),Wald z,Wald p,Adj OR 95% CI low,Adj OR 95% CI high,Boot OR 95% CI low,Boot OR 95% CI high
WBC,continuous (per 1 SD),2.089663136414745,2.0494553630273713,,,,,,1.7826567069351347,2.491747678776848
eGFR,continuous (per 1 SD),0.4693078640446345,0.22273921357566334,,,,,,0.13437282383121898,0.31849089109512785
LV,continuous (per 1 SD),2.0979784014799367,2.079297064493571,,,,,,1.7344482110361576,2.590123499912328
CKD5,continuous (per 1 SD),1.2978151324042366,0.27767869855430183,,,,,,0.09229631860605894,0.4452717511924652
No.of stents per lesion,continuous (per 1 SD),1.3832887538492473,1.3762978065319087,,,,,,0.8635188379928438,2.163935090212338
HbA1c,continuous (per 1 SD),1.2823049321900368,0.9443682799461612,,,,,,0.7155775137557394,1.2013628196593797
NO.of vessels,continuous (per 1 SD),1.4691310129847681,0.9128266104276781,,,,,,0.5298264564654481,1.6033762207089457
Total stent length,continuous (per 1 SD),1.3782518755541076,1.1811441481456375,,,,,,0.7460102087129675,1.9700988504291763
Fiberinogen,continuous (per 1 SD),1.206527266241979,1.0647281195014642,,,,,,0.8768656140353646,1.270769973205911
1.1:1Post dilation,binary,0.18687409148758433,0.04161503371503019,,,,,,0.01799954136364598,0.06700764783906589
No postdilation,binary,5.33942708998483,0.28493313065009646,,,,,,0.18032229732655378,0.39610799030415866
CKD90,binary,2.6256460080713917,4.8288996289698725,,,,,,1.278153549430329,45.12435834743987
Previous PCI,binary,6.516470001276973,7.198626020604611,,,,,,2.225646751488299,19.39413028119734
3-vessel disease,binary,2.169855410935282,1.7300979316767702,,,,,,0.5842612570415533,5.550903714759128
Clopidogrel,binary,0.5035268225727981,0.526943000790691,,,,,,0.29197668900822893,0.8625409884782481
Diabetes,binary,1.8894576237752252,1.5826693083757806,,,,,,0.8561488240355924,2.873501775097466
PES,binary,2.1577311675248025,1.8500599194843823,,,,,,1.0012684144861295,4.116233294825402
