section,variable,label,non_vlst,vlst,non_vlst_mean,non_vlst_sd,vlst_mean,vlst_sd,test,p,in_paper_table,non_vlst_n,non_vlst_pct,vlst_n,vlst_pct,p_fmt
continuous,Age,"Age, years",59.83 (9.93),60.71 (11.33),59.830551737679166,9.926861031714544,60.70652173913044,11.33170020460278,Welch t,0.4633458211201912,True,,,,,0.463
continuous,LVEF,"LVEF, %",55.15 (4.52),54.55 (3.68),55.15393677596701,4.515211993860047,54.55434782608695,3.6775652792550173,Mann–Whitney U,0.03330140576588231,True,,,,,0.033
continuous,LV,LV (unnamed; not in Wang Table 1),44.55 (4.04),49.11 (4.23),44.54820341645396,4.0416482617725835,49.108695652173914,4.233452652021039,Welch t,5.4383309460018465e-17,True,,,,,5.44e-17
continuous,WBC,"WBC, 10^9/L",8.75 (3.24),12.49 (3.92),8.746701354800706,3.2416790083470666,12.49173913043478,3.9245862408626553,Mann–Whitney U,7.902144282841582e-21,True,,,,,7.90e-21
continuous,HGB,Haemoglobin,141.64 (16.22),144.53 (13.08),141.6355782446495,16.21643692783165,144.5326086956522,13.080856818188385,Welch t,0.038765041300497856,False,,,,,0.039
continuous,Platelet,Platelet count,225.31 (62.49),224.24 (56.09),225.31396033771844,62.49324076163431,224.2391304347826,56.08536851865119,Mann–Whitney U,0.8159502280273638,False,,,,,0.816
continuous,Cre,Creatinine,72.53 (24.81),72.44 (19.05),72.53072845081485,24.805582770147993,72.43804347826088,19.04981810297229,Mann–Whitney U,0.8785448928231391,True,,,,,0.879
continuous,eGFR,eGFR,120.03 (34.10),95.88 (19.63),120.02890830551738,34.10324313791288,95.87597826086957,19.629818037244927,Welch t,4.6430610786181575e-20,True,,,,,4.64e-20
continuous,CaI,CaI (unnamed; not in Wang Table 1),37.37 (61.64),40.55 (72.25),37.37311996858433,61.63920295385294,40.54513043478261,72.2511747186477,Mann–Whitney U,0.050713641980663055,True,,,,,0.051
continuous,TCL,"Total cholesterol, mmol/L",4.57 (1.05),4.69 (1.31),4.569776163361476,1.0458187560697019,4.690760869565217,1.3100484293503012,Welch t,0.3807222453766603,False,,,,,0.381
continuous,LDL,"LDL, mmol/L",2.86 (0.81),3.05 (1.08),2.860225800117809,0.8124642526826935,3.045434782608696,1.0840009458690554,Mann–Whitney U,0.32742239625050396,False,,,,,0.327
continuous,HDL,"HDL, mmol/L",1.13 (0.28),1.13 (0.35),1.1331494207736108,0.2794037119789818,1.1284782608695652,0.3511298397421982,Welch t,0.8993117604945001,False,,,,,0.899
continuous,TG,"Triglycerides, mmol/L",2.12 (1.39),2.32 (1.71),2.121325348517573,1.3906647402786139,2.3176086956521735,1.7131529762176976,Mann–Whitney U,0.5582882325538095,False,,,,,0.558
continuous,Fast-Glu,Fasting glucose,6.70 (2.73),7.82 (3.98),6.700347535833496,2.725163568275015,7.824239130434783,3.9808793643637106,Mann–Whitney U,0.02458279422964183,False,,,,,0.025
continuous,HbA1c,"HbA1c, %",5.80 (1.61),6.27 (1.53),5.8000785391714125,1.6143869065896725,6.274239130434783,1.5311629091237022,Mann–Whitney U,0.0001975000249745339,False,,,,,0.000
continuous,Fiberinogen,"Fibrinogen, g/L",3.17 (0.88),3.37 (1.01),3.1704162576084824,0.8797742066354363,3.365652173913044,1.0066693034352139,Mann–Whitney U,0.011910976196995151,True,,,,,0.012
continuous,NO.of vessels,Number of vessels,1.87 (0.82),2.18 (0.84),1.8658943648144513,0.8218593784913528,2.1847826086956523,0.8377015627690134,Welch t,0.0004766856673643825,False,,,,,0.000
continuous,No.of stents per lesion,Stents per lesion,1.21 (0.46),1.42 (0.65),1.2132338503828786,0.4559177183701464,1.423913043478261,0.6501681211518018,Mann–Whitney U,0.00014121979786497457,True,,,,,0.000
continuous,Total stent length,"Total stent length, mm",31.70 (15.62),38.46 (20.71),31.697820537993323,15.624559354716522,38.45652173913044,20.708554819537937,Mann–Whitney U,0.0011222634842722242,True,,,,,0.001
continuous,Min-stent diameter,"Min. stent diameter, mm",2.99 (0.41),2.92 (0.39),2.9906538386020025,0.4058524924452347,2.9239130434782608,0.3882532212152812,Welch t,0.10584011246770593,False,,,,,0.106
continuous,Stent release pressure,"Stent release pressure, atm",13.95 (2.98),13.93 (2.80),13.953858236795602,2.9848450903198303,13.934782608695652,2.804252453035133,Welch t,0.9486375470511298,False,,,,,0.949
binary,Men,Men,3489 (68.51%),68 (73.91%),,,,,Chi-square,0.2680570836658024,True,3489.0,68.50579226389162,68.0,73.91304347826087,0.268
binary,Diabetes,Diabetes,1293 (25.39%),36 (39.13%),,,,,Chi-square,0.002769502309228314,True,1293.0,25.387787158845473,36.0,39.130434782608695,0.003
binary,Hypertension,Hypertension,2670 (52.42%),51 (55.43%),,,,,Chi-square,0.5666751649351782,True,2670.0,52.42489691733752,51.0,55.43478260869565,0.567
binary,HL,Dyslipidaemia (HL),1612 (31.65%),28 (30.43%),,,,,Chi-square,0.8036093917908292,True,1612.0,31.651286078931868,28.0,30.434782608695652,0.804
binary,Current smoker,Current smoker,2860 (56.16%),54 (58.70%),,,,,Chi-square,0.6264718289130093,True,2860.0,56.15550755939525,54.0,58.69565217391305,0.626
binary,Current drinking,Current drinking,751 (14.75%),13 (14.13%),,,,,Chi-square,0.868929809834284,False,751.0,14.745729432554487,13.0,14.130434782608695,0.869
binary,Stroke/TIA,Stroke / TIA,367 (7.21%),12 (13.04%),,,,,Chi-square,0.03301329283908383,False,367.0,7.205968977027292,12.0,13.043478260869565,0.033
binary,Previous PCI,Previous PCI,94 (1.85%),10 (10.87%),,,,,Fisher,1.25052788367341e-05,True,94.0,1.8456705281759278,10.0,10.869565217391305,1.25e-05
binary,Previous MI,Previous MI,347 (6.81%),10 (10.87%),,,,,Chi-square,0.12778791286616617,True,347.0,6.813273119968584,10.0,10.869565217391305,0.128
binary,Previous CABG,Previous CABG,140 (2.75%),4 (4.35%),,,,,Fisher,0.3251434623364961,False,140.0,2.7488709994109564,4.0,4.3478260869565215,0.325
binary,History of HF,History of HF,135 (2.65%),2 (2.17%),,,,,Fisher,1.0,False,135.0,2.6506970351462793,2.0,2.1739130434782608,1.000
