Feature,Correlation,Abs_Correlation
Time since stent implantation,-0.5383538401143654,0.5383538401143654
WBC,0.1502029608414167,0.1502029608414167
LV,0.1472445045669807,0.1472445045669807
eGFR,-0.09365721371707741,0.09365721371707741
1.1:1Post dilation,-0.08926551318755799,0.08926551318755799
No postdilation,0.08926551318755745,0.08926551318755745
Previous PCI,0.08497349923754337,0.08497349923754337
CKD90,0.06260233311723953,0.06260233311723953
No.of stents per lesion,0.06036049706183503,0.06036049706183503
Total stent length,0.05665098561587252,0.05665098561587252
Fast-Glu,0.05384391209217551,0.05384391209217551
3-vessel disease,0.0520026909595266,0.0520026909595266
NO.of vessels,0.05114928385236094,0.05114928385236094
CKD5,0.04861479257928424,0.04861479257928424
Clopidogrel,-0.04252747824350276,0.04252747824350276
Diabetes,0.04155470078687828,0.04155470078687828
PES,0.03953017685657357,0.03953017685657357
HbA1c,0.03878733592897861,0.03878733592897861
Multi-vessel CAD,0.03803974930657244,0.03803974930657244
Single-vessel disease,-0.03803974930657185,0.03803974930657185
Aspirin,-0.03500538857331529,0.03500538857331529
stent overlap,0.03466883869404937,0.03466883869404937
TIMI-0,0.03318034359973495,0.03318034359973495
Pre-TIMI flow-3,-0.031849438340720904,0.031849438340720904
LDL,0.02988308803397195,0.02988308803397195
Stroke/TIA,0.02960716662235993,0.02960716662235993
Fiberinogen,0.029210766650388784,0.029210766650388784
ZES,-0.026767962377462304,0.026767962377462304
Initial diagnosis-AMI,0.0267418274174872,0.0267418274174872
Bifurcation,0.025259048326055144,0.025259048326055144
EVS,-0.023727094433756903,0.023727094433756903
HGB,0.023655262853439635,0.023655262853439635
Min-stent diameter,-0.021725017614509422,0.021725017614509422
Previous MI,0.02114911673724919,0.02114911673724919
NSTEMI,0.02100799631717582,0.02100799631717582
UA,-0.01916011688280211,0.01916011688280211
TG,0.01854973542499221,0.01854973542499221
LVEF,-0.01758374045024342,0.01758374045024342
DAPT,-0.01682764473403033,0.01682764473403033
Men,0.015381127270743391,0.015381127270743391
TCL,0.015197793945125543,0.015197793945125543
Vessel dialation,0.013128245290585502,0.013128245290585502
Previous CABG,0.012846281136686259,0.012846281136686259
Age,0.011620139690611314,0.011620139690611314
Chronic renal insufficiency,0.011437305602621371,0.011437305602621371
2-vessel disease,-0.010176908638922674,0.010176908638922674
Aneurysm,0.010030342109727482,0.010030342109727482
Cardiogenic shock,0.009955336219168824,0.009955336219168824
Hypertension,0.00795694088443515,0.00795694088443515
Thrombus aspiration,-0.007789254842198259,0.007789254842198259
CKD60,0.007076326362483929,0.007076326362483929
Ticagrelor,-0.006838347168516206,0.006838347168516206
CaI,0.006772707279769218,0.006772707279769218
Current smoker,0.00675905302234321,0.00675905302234321
Ulceration,0.005207832049074471,0.005207832049074471
STEMI,0.0049729911812274805,0.0049729911812274805
History of peripheral vascualr disease,0.004960335546321368,0.004960335546321368
P-RCA,0.004540118554885555,0.004540118554885555
P-LCX,0.004257468509258629,0.004257468509258629
P-LAD,-0.004160519224297046,0.004160519224297046
History of HF,-0.003924483073805965,0.003924483073805965
No reflow,0.003492444978296152,0.003492444978296152
HL,-0.003453536577589544,0.003453536577589544
TIMI-1,0.0028579380083986966,0.0028579380083986966
Visual thrombus,-0.002792641558822966,0.002792641558822966
Slow flow,-0.0026241244031534705,0.0026241244031534705
Current drinking,-0.0022916957212259967,0.0022916957212259967
Platelet,-0.002274910815997537,0.002274910815997537
Moderate/severe calcification,-0.0022252868757294594,0.0022252868757294594
HDL,-0.0021963914501030093,0.0021963914501030093
TIMI-2,-0.0021542995828188662,0.0021542995828188662
Max-stent diameter,-0.0018564377548653164,0.0018564377548653164
Chronic total occlusion,-0.001676902557554994,0.001676902557554994
P-LM,0.0014202051765244566,0.0014202051765244566
Staged PCI,0.0012573507159787131,0.0012573507159787131
Lesion location-Ostial,-0.0010875294171318938,0.0010875294171318938
Moderate/severe tortuosity,-0.000882554421835331,0.000882554421835331
Dissection,0.0008655585864964844,0.0008655585864964844
Stent release pressure,-0.0008447350394807608,0.0008447350394807608
Cre,-0.0004951596901089317,0.0004951596901089317
Proximal,0.0003677111441786262,0.0003677111441786262
