Feature,logOR,OR,OR_lo,OR_hi,Domain model,n,events,pseudo_R2
Age,0.11288704681445258,1.1195054740972183,0.912551302929353,1.4828941715273647,Demographics / lifestyle,5185,92,-6.733250653464648
Men,0.30921184418995673,1.3623509460684209,0.8848100208625822,2.397164794675442,Demographics / lifestyle,5185,92,-6.733250653464648
Current smoker,0.12342748726408645,1.131367962981265,0.73006114329231,1.682166748490859,Demographics / lifestyle,5185,92,-6.733250653464648
Current drinking,-0.1555633622305858,0.8559328413966426,0.36823835852903847,1.4329313423875298,Demographics / lifestyle,5185,92,-6.733250653464648
Age,0.17078194169955635,1.1862320530719126,0.962543021204158,1.5300865116995375,Comorbidities / history,5185,92,-6.261930980494612
Men,0.3451811678382795,1.4122457500024923,0.8408260263599817,2.6998426292185185,Comorbidities / history,5185,92,-6.261930980494612
Current smoker,0.20103790574733418,1.222671117207385,0.7548134293452505,1.947206524771535,Comorbidities / history,5185,92,-6.261930980494612
Current drinking,-0.23532529574729424,0.790313722116927,0.40076100373756174,1.4855579089782962,Comorbidities / history,5185,92,-6.261930980494612
Previous PCI,2.1306123562055714,8.420021285377153,3.6982893326348494,31.911936084212154,Comorbidities / history,5185,92,-6.261930980494612
Diabetes,0.6888967371135141,1.9915171538072527,1.1770302313977696,3.1959105610501175,Comorbidities / history,5185,92,-6.261930980494612
Stroke/TIA,0.5826028310594835,1.7906932422671333,0.8893124560191699,3.3013788829824717,Comorbidities / history,5185,92,-6.261930980494612
Previous MI,0.0692388693674619,1.0716921730076467,0.2783257207835563,2.1440433311265314,Comorbidities / history,5185,92,-6.261930980494612
Chronic renal insufficiency,0.8835820772756126,2.419551221416156,7.460294361785265e-05,7.590906970146926,Comorbidities / history,5185,92,-6.261930980494612
Age,0.13152559271283906,1.1405670975550475,0.9312597928187013,1.4121889864897512,Presentation / ACS,5185,92,-6.664545311592442
Men,0.29745116675794003,1.3464226235654604,0.8378187639154402,2.2414026294090363,Presentation / ACS,5185,92,-6.664545311592442
Current smoker,0.14049816705652904,1.1508469701254747,0.7997871782452934,1.9140660715668314,Presentation / ACS,5185,92,-6.664545311592442
Current drinking,-0.13226325671311265,0.8761103227937889,0.4260769666626822,1.5421772471666073,Presentation / ACS,5185,92,-6.664545311592442
Initial diagnosis-AMI,0.3778296757324653,1.4591143991186015,0.9645618822171654,2.366504236905774,Presentation / ACS,5185,92,-6.664545311592442
NSTEMI,0.2488552827063787,1.2825564115460175,0.6995318862371291,2.1916921993440135,Presentation / ACS,5185,92,-6.664545311592442
Cardiogenic shock,0.4121833496270727,1.5101112892892552,0.0001459185556442211,4.388268677959899,Presentation / ACS,5185,92,-6.664545311592442
Age,0.08053762211694292,1.0838696233449134,0.8574083943703584,1.3738588572660946,Anatomy / lesion,5185,92,-6.431381794063185
NO.of vessels,0.1903960089106093,1.2097285661047015,0.7327961447378538,1.9187927008115435,Anatomy / lesion,5185,92,-6.431381794063185
Men,0.3019726330961445,1.3525242118029264,0.7718040457904437,2.2662975061385002,Anatomy / lesion,5185,92,-6.431381794063185
Current smoker,0.19226909454203092,1.2119966147613563,0.7744227056858426,1.890245670685735,Anatomy / lesion,5185,92,-6.431381794063185
Current drinking,-0.1830037970660816,0.8327649936673762,0.463257179362414,1.6045119858168304,Anatomy / lesion,5185,92,-6.431381794063185
3-vessel disease,0.36683899100946593,1.4431655377815262,0.568916032994604,4.178864350820059,Anatomy / lesion,5185,92,-6.431381794063185
TIMI-0,0.5836884640311899,1.792638333529714,1.1573822236302282,2.8185786307588914,Anatomy / lesion,5185,92,-6.431381794063185
Bifurcation,0.43866595616886667,1.5506372200662462,0.7200839549599712,2.7802944719395457,Anatomy / lesion,5185,92,-6.431381794063185
Vessel dialation,0.5095174006169756,1.664487720336419,6.098205378558518e-05,5.352138211429135,Anatomy / lesion,5185,92,-6.431381794063185
Age,0.024538580591381153,1.0248421293599121,0.8058261834608318,1.3084098311995584,Procedural / stent,5185,92,-5.511897677289822
No.of stents per lesion,0.2274062426992039,1.2553397369711465,0.855949450679376,1.9134916853046893,Procedural / stent,5185,92,-5.511897677289822
Total stent length,0.30688895725076615,1.359190031494101,0.9192544805007107,1.9234698913500492,Procedural / stent,5185,92,-5.511897677289822
Men,0.42294176706624614,1.5264454039841722,0.9579217914612632,3.021047996591782,Procedural / stent,5185,92,-5.511897677289822
Current smoker,0.12643568920154352,1.134776470448488,0.6482565429078847,2.003788253119138,Procedural / stent,5185,92,-5.511897677289822
Current drinking,-0.21945092074425032,0.8029595653838388,0.3602573836537131,1.5118869967962363,Procedural / stent,5185,92,-5.511897677289822
1.1:1Post dilation,-1.9590098037280592,0.1409979674821528,0.06061676991092433,0.22207868997159919,Procedural / stent,5185,92,-5.511897677289822
PES,0.6809180800111445,1.9756907420375391,1.0220113378511082,5.560803773058856,Procedural / stent,5185,92,-5.511897677289822
ZES,0.10744767072069927,1.1134325940968244,0.27293410440790117,3.475452914483796,Procedural / stent,5185,92,-5.511897677289822
Age,0.24523161023845644,1.277917257652454,1.0452239677501731,1.5767704535440377,Cardiac function,5185,92,-5.293098884231028
LV,1.2472832890399648,3.4808735731092306,2.6844910801766657,4.784076799095692,Cardiac function,5185,92,-5.293098884231028
LVEF,0.2773690347426873,1.3196532790947249,1.0296877753314129,1.7040298819513098,Cardiac function,5185,92,-5.293098884231028
Men,0.07044376484220558,1.072984228296693,0.5903333661384472,2.0416303833935494,Cardiac function,5185,92,-5.293098884231028
Current smoker,-0.02321568896270811,0.9770517217721942,0.5944392836946776,1.7037637591768475,Cardiac function,5185,92,-5.293098884231028
Current drinking,0.07028664522400846,1.0728156546678704,0.47730642672639495,2.0227887900502752,Cardiac function,5185,92,-5.293098884231028
Age,-0.13915726468874198,0.8700911830789766,0.66863836755561,1.1707025995867073,Laboratory,5185,92,-4.592616727289097
WBC,1.0070119308459309,2.737409214243247,2.2049172424778734,3.345952890454372,Laboratory,5185,92,-4.592616727289097
eGFR,-1.926075582495127,0.14571893979565023,0.08318386570942263,0.20052724899880614,Laboratory,5185,92,-4.592616727289097
HbA1c,0.11665737157717414,1.1237343403983098,0.9165224182076923,1.3550374832134942,Laboratory,5185,92,-4.592616727289097
Fiberinogen,0.12233386529363477,1.1301313504368573,0.9269051811405001,1.4091603769056247,Laboratory,5185,92,-4.592616727289097
Men,1.1943298506018487,3.3013446348985847,1.7994279060782128,6.80026761517174,Laboratory,5185,92,-4.592616727289097
Current smoker,0.1262949535167851,1.1346167781423382,0.6254548610534335,1.9327285573289927,Laboratory,5185,92,-4.592616727289097
Current drinking,0.026334153725882978,1.026683961431738,0.5272224516040783,1.907299205092958,Laboratory,5185,92,-4.592616727289097
CKD90,-0.6068575114072381,0.5450610286535662,0.21472283322451585,1.1498536927997038,Laboratory,5185,92,-4.592616727289097
Age,0.061586289889650016,1.063522263788232,0.8684912764584497,1.3102444501175867,Medications (1y),5185,92,-6.575572255420531
Men,0.2674940993625367,1.3066859195334506,0.8455636022628994,2.5044707170757663,Medications (1y),5185,92,-6.575572255420531
Current smoker,0.14850724280419964,1.160101200129843,0.7766987661334686,1.7682249446443818,Medications (1y),5185,92,-6.575572255420531
Current drinking,-0.13299472136129328,0.8754697133848898,0.48488720263586205,1.3652563071348405,Medications (1y),5185,92,-6.575572255420531
Clopidogrel,-0.6075179363159278,0.544701175614522,0.3318547606609616,0.9090618506053311,Medications (1y),5185,92,-6.575572255420531
