Feature,Type,Univariate OR,Adjusted OR,SE (logOR),Wald p,95% CI (Wald)
WBC,continuous (per 1 SD),2.090,2.049,—,nan,"[—, —]"
eGFR,continuous (per 1 SD),0.469,0.223,—,nan,"[—, —]"
LV,continuous (per 1 SD),2.098,2.079,—,nan,"[—, —]"
CKD5,continuous (per 1 SD),1.298,0.278,—,nan,"[—, —]"
No.of stents per lesion,continuous (per 1 SD),1.383,1.376,—,nan,"[—, —]"
HbA1c,continuous (per 1 SD),1.282,0.944,—,nan,"[—, —]"
NO.of vessels,continuous (per 1 SD),1.469,0.913,—,nan,"[—, —]"
Total stent length,continuous (per 1 SD),1.378,1.181,—,nan,"[—, —]"
Fiberinogen,continuous (per 1 SD),1.207,1.065,—,nan,"[—, —]"
1.1:1Post dilation,binary,0.187,0.042,—,nan,"[—, —]"
No postdilation,binary,5.339,0.285,—,nan,"[—, —]"
CKD90,binary,2.626,4.829,—,nan,"[—, —]"
Previous PCI,binary,6.516,7.199,—,nan,"[—, —]"
3-vessel disease,binary,2.170,1.730,—,nan,"[—, —]"
Clopidogrel,binary,0.504,0.527,—,nan,"[—, —]"
Diabetes,binary,1.889,1.583,—,nan,"[—, —]"
PES,binary,2.158,1.850,—,nan,"[—, —]"
