rank,feature,importance,score_without,baseline,metric
1,eGFR,0.333471,0.484574,0.818045,pr_auc
2,Cre,0.29636,0.521685,0.8180449999999999,pr_auc
3,Visual thrombus,0.282919,0.535126,0.8180449999999999,pr_auc
4,P-LM,0.245415,0.57263,0.8180449999999999,pr_auc
5,Moderate/severe tortuosity,0.243414,0.574631,0.818045,pr_auc
6,Lesion location-Ostial,0.24079,0.577255,0.8180449999999999,pr_auc
7,Moderate/severe calcification,0.236493,0.581552,0.8180449999999999,pr_auc
8,Thrombus aspiration,0.23013,0.587915,0.8180449999999999,pr_auc
9,Ticagrelor,0.228485,0.58956,0.8180449999999999,pr_auc
10,stent overlap,0.227062,0.590983,0.818045,pr_auc
11,Bifurcation,0.224982,0.593062,0.818044,pr_auc
12,Dissection,0.219404,0.598641,0.8180449999999999,pr_auc
13,Proximal,0.217347,0.600698,0.8180449999999999,pr_auc
14,Ulceration,0.215492,0.602553,0.818045,pr_auc
15,Pre-TIMI flow-3,0.213126,0.604919,0.818045,pr_auc
