model,fold,n,n_pos,pr_auc,roc_auc
Logistic Regression,1,1037,18,0.21774715966722305,0.888071093664813
Logistic Regression,2,1037,18,0.30395824805111643,0.9496783338785302
Logistic Regression,3,1037,18,0.2566367586894916,0.909170210445971
Logistic Regression,4,1037,19,0.46619686823088435,0.9425085306586702
Logistic Regression,5,1037,19,0.48107881693115684,0.9279288594767863
Random Forest,1,1037,18,0.4739452158792191,0.931714098789663
Random Forest,2,1037,18,0.5446824842116258,0.9219278159415548
Random Forest,3,1037,18,0.4450832067077568,0.8502344346309018
Random Forest,4,1037,19,0.4315177219577482,0.9637834763726605
Random Forest,5,1037,19,0.6218092807282298,0.9351152931444525
XGBoost,1,1037,18,0.8084522415066568,0.9778104895867408
XGBoost,2,1037,18,0.6319907651482104,0.9081343364954749
XGBoost,3,1037,18,0.5225601015262871,0.891778432013957
XGBoost,4,1037,19,0.8330949806840721,0.9860924413194085
XGBoost,5,1037,19,0.6680384857652932,0.9515044979836624
LightGBM,1,1037,18,0.752732997775539,0.985279685966634
LightGBM,2,1037,18,0.7136469190097979,0.9464071529822266
LightGBM,3,1037,18,0.5399465934887056,0.9638534510958457
LightGBM,4,1037,19,0.7731552677447985,0.9857305345879434
LightGBM,5,1037,19,0.6916395049317896,0.9663943749353738
CatBoost,1,1037,18,0.5668459299113333,0.9749209464616726
CatBoost,2,1037,18,0.6560086699249219,0.9432995311307382
CatBoost,3,1037,18,0.6440218131680724,0.9631446952349798
CatBoost,4,1037,19,0.7081698503461148,0.9731154999482992
CatBoost,5,1037,19,0.6014839791978339,0.9516078999069382
TabPFN thinking mode,1,1037,18,0.9879227053140096,0.9997274015919747
TabPFN thinking mode,2,1037,18,0.9397399749373434,0.9971649765565369
TabPFN thinking mode,3,1037,18,0.9604277237210674,0.9988550866862937
TabPFN thinking mode,4,1037,19,0.9999999999999998,1.0
TabPFN thinking mode,5,1037,19,0.9999999999999998,1.0
TabPFN,1,1037,18,0.988090050835149,0.9997819212735798
TabPFN,2,1037,18,0.9381853385476575,0.9977646930541925
TabPFN,3,1037,18,0.9334243467176905,0.9965652600588812
TabPFN,4,1037,19,0.991674361341951,0.9998448971150864
TabPFN,5,1037,19,0.9677765843179373,0.9984489711508634
